Site097,Silene_acaulis,sample,cushion.open,Agrostis_borealis,Agrostis_scabra,Androsace_chamaejasme,Antennaria_alpina,Astragalus_kentrophyta,Carex_podocarpa,Cerastrium_nutans,Chrysosplenium_tetrandum,Cirsium_tweedyi,Claytonia_megarhiza,Deschampsia_caespitosa,Draba_longipes,Erigeron_aureus,Festuca_brachyphylla,Hedysarum_alpinum,Oxyria_digyna,Phleum_commutatum,Poa_alpina,Polemonium_viscosum,Polygonum_viviparum,Salix_arctica,Salix_reticulata,Saussurea_weberi,Saxifraga_lyallii,Saxifraga_oppositifolia,Sedum_roseum,Senecio_canus,Senecio_fremontii,Smelowskia_calycina,Stellaria_borealis,Taraxacum_officinale
,,65,cushion,,3,6,,5,3,,,,,,,14,,,,,5,1,,,,,,,,3,,9,,
,,66,cushion,,,,,,,,,,,,,,3,,,,4,,,,,,,,,,,7,,
,,67,cushion,,12,,1,,,,,,,,,,,,,,1,,4,,,,,,,,,7,,
,,68,cushion,,,,,,1,,,,,2,,,6,,,,4,,,,,,,,,,,18,,
,,69,cushion,,,,,,,,,,,,,,15,,,,5,,,,,,,,,,,1,,
,,70,cushion,1,13,1,,2,,,,,,,,2,12,,,,11,,,,,1,,,,6,,5,1,
,,71,cushion,,2,,,,,,,,,,,4,4,,,3,11,,,,,,,4,,,,3,,
,,72,cushion,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,
,,73,cushion,,21,,,4,,,,,,2,3,,4,,,,4,,,,,,2,7,,,,16,,
,,74,cushion,,7,2,,,7,1,,,,,,2,11,,,,13,,1,,,,,,2,,,20,1,
,,75,cushion,,,,,,3,,,,,,,,,,,,1,,,,,,,,,1,,2,,
,,76,cushion,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,1
,,77,cushion,13,,3,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,3
,,78,cushion,12,11,,,,,,,,,,,,,,,,1,,1,,,,1,,,,1,12,,
,,79,cushion,5,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,4,,
,,80,cushion,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
,,81,cushion,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,2,,1
,,82,cushion,15,,,,,,,,,,,,,,,,,,,,9,,,,,,,,5,,
,,83,cushion,9,,,,,,,,,,,,,,,,,,,,33,,,,,,,,3,,
,,84,cushion,4,,,,,2,,,,,,,,,,,,1,,,38,,,,,,3,,9,,
,,85,cushion,5,,3,,4,,,,,,,,,,,,,,,,,,,,3,,,,3,,
,,86,cushion,1,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,2,2
,,87,cushion,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,88,cushion,15,4,,,2,,,,,,,,,,,,,5,,,,,1,,,,1,,3,,
,,89,cushion,4,,,,,,,,,,,,,,,,,4,,,,,,,,,1,,8,,
,,90,cushion,19,2,,,,1,,,,,,,1,,,,,6,,3,,,,,,1,1,,3,,
,,91,cushion,3,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,11,,
,,92,cushion,7,,,,,1,,,,,,,,,,1,,2,,,,,2,,1,,1,,11,,
,,93,cushion,10,,,,1,,,3,,,,3,,,,,,6,,,,,,,,,,,8,1,
,,94,cushion,16,,,,,1,,,,,,,,,,,,6,,,,,,,,1,1,,3,,
,,95,cushion,3,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,2,,
,,96,cushion,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,97,cushion,2,11,,,2,7,2,,,,,,2,,,,,10,,,4,,,,7,,2,,4,,
