Site037,Eriogonum_umbellatum,sample,cushion.open,Agoseris_aurantiaca,Agoseris_glauca,Antennaria_lanata,Arenaria_congesta,Arnica_diversifolia,Carex_bigelowii,Castilleja_miniata,Cirsium_etonii,Draba_cana,Erigeron_simplex,Erigeron_tomentosa,Festuca_arizonica,Ivesia_gordoni,Minuartia_macrantha,Poa_alpina,Potentilla_gracilis,Sedum_debile,Senecio_amplectum,Silene_acaulis,Smelowskia_calycina,Solidago_multiradiata,Thalictrum_fendleri,Thlaspi_montanum,Trisetum_spicatum
,,50,open,,,,,,,,,,,,,,,,,,,,,2,,,
,,51,open,,,,1,,,,,,,,,1,,,,,,,,,,,
,,52,open,,,,,,,,1,,,,,1,,,,,,,,,,,
,,53,open,,,,,,,,,,,,,1,,,,,,,,,,,
,,54,open,,,,,,,,,,,,,1,,,,,,,,,,,
,,55,open,,,,,,,,,,,,,3,,,,,,,,,,,
,,56,open,,1,,,,,1,,,,,,2,,,,,,,,,,,1
,,57,open,,,,,,,,,,,,,,,,,,,,,,,,
,,58,open,,,,,,,1,,,,,,,,,,,,,,,,,
,,59,open,,,,,,,1,,,,,3,,,,,,,,,,,,1
,,60,open,,,,,1,,1,,,,,,,,,,,,,,,,,
,,61,open,,1,,1,,,1,,,,,2,,,,,,,,,,,,2
,,62,open,,,,,,,,,,,,,2,,,,,,,,,,,
,,63,open,,,,,,,,,,,,2,1,,,,,,,,6,,,
,,64,open,,,,,,,,,,,,,,,,,,,,,1,,,
,,65,open,,,,,,,,,,,,1,,,,,,,,,,,,
,,66,open,,,,,,,,,,,,3,,,,,,,,,,,,2
,,67,open,,,,,,,,,,,,,,,1,,,,,,,,,
,,68,open,,,,,1,,,,,,,,,,,,,,,,,,,
,,69,open,,,,,,,,,,,,,,,2,,,,,,,,,
,,70,open,,,,3,,,,,,,,,,,,,,,,,,,,
,,71,open,,,,,,,,,,,,,,,,,,,,,,,,
,,72,open,,,,,,,,,,,,,,,,,,,,,,,,
,,73,open,1,,,,,,,,,1,,,,,,,,,,,,,,1
,,74,open,,,,,,,,,,,,,,,1,,,,,,,,,
,,75,open,,,,2,,,,,,,,,,,,,1,,,,,,,2
,,76,open,,,,,,,,,,,,,1,,,,,,,,,,,
,,77,open,,,,,,,,,,,,,,,,,,,,,,,,1
,,78,open,,,,,,,,,,,,,,,3,,,,,,,,,
,,79,open,,,,,,,,,,,,,,,,,,,,,,,,
,,80,open,,,,,,,,,,,,,,,1,,,,,,,,,
