Site069,Silene_acaulis,sample,cushion.open,Anenome_occidentalis,Antennaria_alpina,Arctostaphylos_uvaursi,Anemone_sp,Bistorta_vivipara,Draba_oligosperma,Dryas_octopetala,Erigeron_sp4,PoaUnk3_sp,Lupinus_arcticus,Myosotis_alpestris,Pedicularis_sp,Polemonium_pulcherrimum,Potentilla_sp,Salix_cascadensis,Salix_sp,Saxifraga_bronchialis,Saxifraga_nivalis,Saxifraga_serpyllifolia,Sedum_sp,Gentiana_sp1
,,38,cushion,,,,,,,,,5,,,,,,,,,,,,
,,39,cushion,,,,,,,,,9,,,,,,2,,,,,,
,,40,cushion,,,,,,,,,2,,,,,,,,,,,,
,,41,cushion,,,,,,,,,8,,,,,1,1,,,,,,
,,42,cushion,2,,,,,,,,3,,,,,2,,,,,,,
,,43,cushion,,4,,,,,,,54,,2,,5,5,,6,,3,,3,
,,44,cushion,,,,,,,,,3,,,,,,,,,,,,
,,45,cushion,1,,,,,,,,9,,,,,,,,,,,,
,,46,cushion,,,,,,,,,3,,,,,,,,,,,,5
,,47,cushion,,3,,,,,,,4,,1,,,,,,,,,,
,,48,cushion,,,,,,,,,1,,,,,,,,,,,,
,,49,cushion,,,,,,,,,29,,2,,,11,4,,,,,3,
,,50,cushion,,1,,,,,,,13,,,,11,,4,,,,,,1
,,51,cushion,1,,,,,,,,27,,2,,1,,8,,,,,,
,,52,cushion,,,,,,,,,13,,,,,4,5,,,,,,
,,53,cushion,,,,,,,,,7,,1,,2,,,,,,2,,
,,54,cushion,,,,,1,,,,6,,,,,2,,,,,,,
,,55,cushion,1,,,,,,2,,3,,,,,5,1,,,,,,
,,56,cushion,,,,,1,,,,6,,2,,14,1,,,,,6,,
,,57,cushion,,,,,,,,,28,,,,,,,,,,,,
,,58,cushion,,5,,,7,,,,10,,,,,,,,,,,,
,,59,cushion,4,,,,,,,,3,,,,,6,,,,,,,
,,60,cushion,3,,,3,3,,,,,,,,,,,,,,,,
,,61,cushion,13,11,,,,,,,14,,,,,,,11,,,,2,
,,62,cushion,,,,5,,,,,7,,,,,1,11,,28,,,,
,,63,cushion,,,,,,,,,4,,,,7,,,2,,,,,
,,64,cushion,,4,,,1,,,,,,,,1,1,,3,,,,,
,,65,cushion,,,,,6,,6,,8,,,,,3,2,3,,,,,
,,66,cushion,,1,,,,,,,13,,,,4,3,,,,,,,
,,67,cushion,,,,,,,,,3,,,,,,,,,,,,
,,68,cushion,,,,,,,,,11,,1,,,,,,,,,,
,,69,cushion,,,,,,,,,5,,,,,1,,,3,,,,
,,70,cushion,,,,,5,,,,8,,,,,,,1,,,,1,
,,71,cushion,,1,,,2,,,,15,,4,,1,,,,,,,,
,,72,cushion,,,,,,,5,,4,,,,,,,,,,,,
,,73,cushion,,,,,,,,,5,,1,,2,1,,1,,,,,
,,1,open,,4,,,,,,,,,,,,,,,,,,,
,,2,open,,,,,,,,,6,15,,,13,,,,,,,,
,,3,open,,,,,,,1,,5,,,,,,,,,,,,
,,4,open,,9,,,,,,,3,5,,1,,,,,,,,,
,,5,open,,,,,,,,,21,,,,,,,1,,,,,1
,,6,open,,,,,,,,,11,2,,,,,,,,,,,
,,7,open,,,,,,,,,,,,,,2,,,,,,,
,,8,open,,,,,,,,,3,,,,,,,1,,,,,
,,9,open,,,,,,,,,3,,1,,,,,,,,,,
,,10,open,,,,,,,,,3,,,,,3,,,,,,,
,,11,open,,,,,,,,,7,,,,,5,,,,,,3,
,,12,open,,,,,,,,,3,,,,,,,,,,,,
,,13,open,,,,,,1,,,,,,,1,,1,,,,,,
,,14,open,,,1,,,,,,6,,,,,,,,,,,,
,,15,open,1,,,,,,,,24,,,,2,,,,1,,,,
,,16,open,,,,,,,,,12,,1,,,2,,,,,1,,
,,17,open,3,,,,,,,,21,,3,,,6,,3,,,,5,1
,,18,open,,1,,,,,,,11,,,,1,1,1,,,,,,
,,19,open,,,,,,,,,7,,,,,6,,,,,,3,
