Site056,Minuartia_recurva,sample,cushion.open,Agrostis_castellana,Agrostis_truncatula,Armeria_caespitosa,Deschampsia_flexuosa,Euphrasia_willkommii,Festuca_curvifolia,Festuca_iberica,Hieracium_myriadenum,Jasione_crispa,Jurinea_humilis,Luzula_hispanica,Nardus_stricta,Paronychia_polygonifolia,Plantago_alpina,Sedum_brevifolium,Sedum_candollei,Silene_ciliata
,,40,cushion,10,,,,,1,,,1,,,,,,,,
,,41,cushion,16,3,,,,6,,,2,,,,,,,3,4
,,42,cushion,8,,,,,,,,2,,,,,,2,,2
,,43,cushion,2,,5,6,,,,,,,,,,,1,,2
,,44,cushion,5,,,,,,,,,,,,,,,,1
,,45,cushion,,,,,,,,,1,,,,,,2,,2
,,46,cushion,3,,,,,6,,,,,,,,,3,1,
,,47,cushion,10,1,,,,,12,,1,,,,,,4,2,
,,48,cushion,4,,1,,,,18,,,,,,,,2,4,
,,49,cushion,11,10,,,,,22,27,,,,,,,,,
,,50,cushion,,4,,,,,,,,,7,,,,,,
,,51,cushion,,2,,,,,15,,,,,,,,,,
,,52,cushion,,12,,,,,,,,,,,,,,3,
,,53,cushion,,,,,,12,,,,,3,,,,6,,
,,54,cushion,,,,,,21,,7,,,,,,,,,
,,55,cushion,,,,,,15,,1,,,,,,,8,,
,,56,cushion,,,1,,,17,,4,2,,4,,,,,,
,,57,cushion,,,,,,14,,,1,,,,,,4,,
,,58,cushion,,,,,,14,,1,,,,,,,6,,
,,59,cushion,,,,,,3,,1,,,,,,,,,
,,60,cushion,,,2,,,6,,4,,,,,,,2,,
,,61,cushion,,,,,,2,,6,1,,,,,,,,
,,62,cushion,,12,1,,,3,,1,1,,2,,,,,,
,,63,cushion,,,,,,,,,,,,,,,,1,
,,64,cushion,,,,,,,,,,,6,,,,4,2,
,,65,cushion,,,,,,12,,,1,,,,,,1,2,
,,66,cushion,,,1,,,16,,5,,,,,,,2,,
,,67,cushion,,,,,,22,,,,,,,,,7,,
,,68,cushion,,,,,,,,,,,,,,,,,
,,69,cushion,,,1,,,30,,1,,,,,,,,,1
,,70,cushion,,5,,,,8,,,,,7,,,,,,
,,71,cushion,,,,,,19,,5,1,1,1,,,,1,1,
,,72,cushion,,2,,,,3,,,3,,,,,,,2,
,,73,cushion,,13,,,,13,,,1,,,,,,,1,
,,74,cushion,,4,,,,3,,,,,,,,,1,3,
,,75,cushion,,4,,,,1,,,,,,,,,,,
,,76,cushion,,5,,,,5,,,,,,,,,,,
,,77,cushion,,,,,,5,,,2,,8,,,,,4,1
,,78,cushion,,,1,,,43,,2,2,,2,,,,,,
,,79,cushion,,,1,,,14,,,,,,,,,,,
,,80,cushion,,,,,,,,,,,,,,,,,
,,81,cushion,,,,,,17,,,1,,2,,,3,,,
,,82,cushion,,,2,,,20,,,1,,1,,,,,,
,,83,cushion,,2,1,,,5,,,,,,,,,,1,
,,84,cushion,,,1,,,18,,,2,,4,,,2,,1,
,,85,cushion,,,2,,,10,,,1,,4,,,2,,,
,,86,cushion,,3,,,7,15,,,2,,,,,,,,1
,,87,cushion,,,,,,,27,,3,,,,,2,,,
,,88,cushion,,,,,11,2,9,4,1,,4,,,,,,1
,,89,cushion,,,,,,8,,,3,,,,,,,,2
,,90,cushion,,2,1,,,11,,,3,,4,,,4,,1,
,,91,cushion,,,1,,,,,1,1,,,,,,,2,
,,92,cushion,,1,2,,,,,,,,3,,,,,1,
,,93,cushion,,3,,,,,,,2,,7,,,,,2,
,,94,cushion,,3,,,,,,1,1,,,,,,,1,
,,95,cushion,,,,,,27,,3,2,,5,,,,,,1
,,96,cushion,,,,,,13,,,,5,5,,,,,1,
,,97,cushion,,4,,,,1,,,,,2,,,,,1,
,,98,cushion,,,,,,7,,,,,2,,,,,1,
,,99,cushion,,,1,,,13,,4,2,,1,,,1,,1,
,,100,cushion,,,1,,,,,,3,,2,,,,,,
,,101,cushion,,,,,,5,,,2,,,,,,2,,
,,1,open,,8,,,,,,,,,,,,,2,,2
,,2,open,18,2,,,,,,,,,,,,,6,1,
,,3,open,3,1,,,,,,,,,,,,,,,1
,,4,open,7,4,,,,1,,,,,,,,,1,,
,,5,open,18,,,,,,,,,,,,,,2,1,
,,6,open,,,,,,,,,,,,,,,3,,
,,7,open,,6,,,,,,18,1,,,,,,1,,
,,8,open,,1,,,,,,,,,,,,,6,,
,,9,open,,3,,,,,,,,,,,,,5,,
,,10,open,,5,,,,,,,,,,,,,1,,
,,11,open,7,9,,,,,,,,,,,,,3,1,
,,12,open,5,,,,,,,,1,,,,,,6,,
,,13,open,4,4,,,,,,,,,,,,,4,1,
,,14,open,,3,,,,,1,,,,,,,,1,,1
,,15,open,,,,,,1,1,,,,,,1,,2,,
,,16,open,4,1,1,,,,,,,,,,,,5,,
,,17,open,12,2,1,,,,,,1,,,,,,3,,
,,18,open,3,,1,,,,,,,,,,,,9,,
,,19,open,,5,,,,1,1,,,,,,,,,,1
,,20,open,,2,,,,,,,,,,,,,,,1
,,21,open,,1,,,,,1,,,,,,,,1,,
,,22,open,,,,,,,,,,,,,,,3,,
,,23,open,,,,,,,,,,,,,,,12,,
,,24,open,,14,,,,,,,,,,,1,,6,1,
,,25,open,,,,,,,,,,,,,,,,,
,,26,open,,3,,,,,,,,,,,,,3,,
,,27,open,6,,,,,,,,,,,,,,3,,
,,28,open,3,4,,,,1,,,,,,,,,1,,
,,29,open,1,1,,,,,,,,,,,,,,,
,,30,open,3,4,,,,,,,2,,,,,,1,1,
,,31,open,6,1,,,,,,,,,,,,,1,4,
,,32,open,3,6,,,,,,1,,,,,,,,1,
,,33,open,6,,,,,,,,,,,,,,,1,
,,34,open,7,3,,,,,,,,,,,,,3,,1
,,35,open,10,,,,,,,,,,,,,,,,
,,36,open,14,,,,,,5,,,,,,,,2,2,
,,37,open,3,5,,,,,,,,,,,,,2,,
,,38,open,5,10,,,,,,,,,,,,,1,,
,,39,open,3,2,,,,,,,1,,,,,,,,
,,40,open,7,9,,,,,,,,,,,,,1,,1
,,41,open,6,6,,,,,,,2,,,,,,,1,
,,42,open,,2,,,,,,,,,,,,,2,2,
,,43,open,,,,2,,,,,,,,,,,1,1,
,,44,open,,1,,,,,,,,,,,,,,,
,,45,open,,,,,,,,,,,,,,,,,
,,46,open,,1,,,,6,,1,,,,,,,2,1,
,,47,open,2,4,,,,,,,,,,,,,,1,
,,48,open,,4,1,,,,,,,,,,,,1,2,
,,49,open,,7,,,,,,12,,,,,,,,,
,,50,open,,6,,,,2,,,,,,,,,,1,
,,51,open,,2,,,,6,,,,,,,,,1,2,
,,52,open,,2,,,,,,,,,,,,,,5,
,,53,open,,,,,,8,,,,,,,,,6,,
,,54,open,,,,,,,,3,,,,,,,4,,
,,55,open,,3,,,,,,6,,,,,,,1,,
,,56,open,,,1,,,1,,1,,,,,,,12,,
,,57,open,,,1,,,2,,1,,,,,,,1,,
,,58,open,,,,,,1,,1,,,,,,,,,
,,59,open,,,,,,,,,,,,,,,,,
,,60,open,,,1,,,,,,,,,,,,,1,
,,61,open,,,1,,,,,3,1,,,,,,1,,
,,62,open,,,1,,,,,,,,,,,,2,2,
,,63,open,,,,,,,,,,,,,,,,1,
,,64,open,,,,,,12,,,,,,,,,8,4,
,,65,open,,,,,,5,,,,,,,,,,4,
,,66,open,,,,,,,3,3,,,,,,,2,,
,,67,open,,,,,,,,,,,,,,,3,,
,,68,open,,,,,,,,,,,,,,,8,,
,,69,open,,4,1,,,,,,,,,,,,,,
,,70,open,,1,,,,,,1,,,,,,,2,1,
,,71,open,,1,1,,,3,,,,,,,,,,4,
,,72,open,,,,,,2,,,,,,,,,,1,
,,73,open,,7,,,,,,,,,1,,,,,,
,,74,open,,3,,,,,,,,,,,,,,,
,,75,open,,,,,,1,,,,,,,,,,,
,,76,open,,2,,,,,,,,,,,,,,1,
,,77,open,,6,,,,7,,,,,,,,,2,1,
,,78,open,,1,2,,,,,,,,,,,,5,,
,,79,open,,,,,,2,,,,,,,,,,,
,,80,open,,,,,,,,,,,,,,,2,1,
,,81,open,,,1,,,,,1,,,,,,,,4,
,,82,open,,,1,,,2,,,,,,,,1,,,
,,83,open,,,1,,,,,,,,,,,,,,
,,84,open,,,3,,,,,4,,,,,,,,1,
,,85,open,,,2,,,5,,,,,,,,,,,
,,86,open,,6,,,4,,,,,,,,,,,,
,,87,open,,7,1,,3,,,,,,,,,,1,,
,,88,open,,,,,6,,,,,,,,,,1,,
,,89,open,,,,,,1,,,,,,,,,,,
,,90,open,,3,3,,,3,,,,,,,,,3,3,
,,91,open,,2,1,,,,,,,,1,,,,4,,
,,92,open,,3,1,,,4,,4,,,,,,,2,1,
,,93,open,,2,2,,,6,,,,,,,,,,1,
,,94,open,,11,,,,,,2,,,,,,,,5,
,,95,open,,,,,,3,,3,,,,,,,1,4,
,,96,open,,,,,,,,,,,,,,,,,
,,97,open,,5,,,,,,,,,1,,,,,2,
,,98,open,,,4,,,1,,4,,,,,,,,,
,,99,open,,,2,,,9,,,,,2,,,,,1,
,,100,open,,,2,,,,,,1,3,,,,,,,
,,101,open,,,2,,,2,,3,,2,,,,,3,,
