Site059,Azorella_madreporica,sample,cushion.open,Adesmia_echinus,Adesmia_sp1,Adesmia_subterranea,Calandrinia_caespitosa,Calandrinia_sp,Carex_sp,Cerastium_arvense,Chaetanthera_lycopodioides,Chaetanthera_pentacaenoides,BrasUnk_sp,Erigeron_andicola,Gayophytum_micranthum,Hordeum_comosum,Jarava_chrysophylla,Kurzamra_pulchella,Menonvillea_sp,Montiopsis_copiapina,Nassauvia_cumingii,Olsynium_junceum,Oxalis_sp,Phacelia_secunda,Poa_holciformis,Senecio_sp,Trisetum_oreophilum,Viola_montagnei,Viola_philippii
,,86,cushion,,,1,,,,,,1,,,,1,,3,,,,,4,,,,,,
,,87,cushion,,,1,,,,,,1,,,,3,,,,,,,1,,10,,,,
,,88,cushion,,1,1,,,,,,,,,,3,2,2,,,,,3,1,2,,,,
,,89,cushion,,,1,,,,,,,,,,2,,,,,,,1,,3,,,,
,,90,cushion,,,,,,,,,2,,,,,,,,,,,1,1,,,,,
,,91,cushion,,1,1,,,,,,1,,,,6,2,,,,,,3,,,,,,
,,92,cushion,,,1,,,,,,1,,,,,,,,,,,,,,,,,
,,93,cushion,,,1,,,,,,2,,,,4,1,,,,,,,,,,,,
,,94,cushion,,,,,,,,,1,,1,,,,,,,,,,,,,,,
,,95,cushion,,,1,,,,1,,,,,,2,2,,1,1,1,,2,,,7,,,
,,96,cushion,,,1,,,,,,,,,,3,,,,,,,,,,,,,
,,97,cushion,,,1,,4,,,,,,1,,1,,,,1,,,1,,,8,,,
,,98,cushion,,,,,1,,,,1,,,,1,,,,,,,2,,,,,,
,,99,cushion,,,,,,,,,,,1,,,,,,,,,1,,,3,,,
,,100,cushion,,,,,,,,,1,,,,,,,,,,,1,,,2,,,
,,1,open,,1,,,2,,,,1,9,1,,,,,,,,,,,,,,,1
,,2,open,,,,,,,,1,1,,,,1,,,,,,,,,,,,,1
,,3,open,,,,,,,1,2,1,,,,,,,,,,,,,,,,,
,,4,open,,,,,2,,,3,2,3,,,,,,,,,,,,,,,,1
,,5,open,,,,,,,,7,2,,1,,,,,,,,,,,,1,,,
,,6,open,,,,,,,,,1,2,,,,,,,,,,,,,,,,
,,7,open,,,,,13,,,2,26,,1,,,,,1,,,,,,,3,,,
,,8,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,open,,,,,1,,,,4,,,,,,,,,,,,,,1,,,
,,10,open,,,,,,,,,3,,,,,,,,,,,,,,,,,
,,11,open,,,,,,,,,2,4,,,,,,,,,,,,,1,,,
,,12,open,,,,,1,,,,1,,,,,,,,,,,,,,,,,
,,13,open,,,,,,,,,13,1,,1,,,,,,,,,,,,,,
,,14,open,,1,,,,,,5,18,1,,3,1,,,,,,,,1,,2,,,1
,,15,open,,,,,,,,1,5,,,,,,,,,,,,,,,,,
,,16,open,,,,,,,,,12,,,,,,,,,,,,,,,,,
,,17,open,,,,,,,1,,13,,1,,,,,,,,,,,,,,,1
,,18,open,,,,,,,,,9,,,,,,,,,,,,,,,,,
,,19,open,,,,,,,,,3,,,,,,,,,,,,,,,,,1
,,20,open,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,open,,1,,,,,,,11,,,,,,,1,,,,1,,,,,,1
,,22,open,,,,,,,,,2,,,,,,,,,,,,,,,,,1
,,23,open,,,,,,,,,4,,,,,,,,,,,,,,,,,
,,24,open,,,,,,,,,,,1,,,1,,,,,,,,,,,,
