Site065,Sibbaldia_sp,sample,cushion.open,Achillea_millefolium,Agoseris_aurantiaca,Anemone_occidentalis,Anenome_drummondii,Antennaria_alpina,Arabis_nuttalii,Artemisia_michauxiana,Astragalus_alpinus,Bupleurum_americanum,Carex_geyeri,Cerastium_arvense,Cirsium_scariosum,Claytonia_megarhiza,Cryptantha_celosioides,Danthonia_intermedia,Epilobium_angustifolium,Erigeron_compositus,Eriogonum_flavum,Eriophyllum_lanatum,Geum_triflorum,Linum_lewisii,Lomatium_sandbergii,Mertensia_longiflora,Minuartia_obtusiloba,Oxyria_digyna,Pedicularis_bracteosa,Pedicularis_parryi,Penstemon_fruticosa,Phacelia_lyallii,Phacelia_sericea,Plantago_eriopoda,Poa_alpina,Polygonum_viviparum,Potentilla_diversifolia,Saxifraga_occidentalis,Sedum_lanceolatum,Sedum_roseum,Senecio_canus,Silene_douglasii,Tiarella_trifoliata,Tofieldia_accidentalis
,,101,cushion,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,2,,,1,,,,,,,
,,102,cushion,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,4,,3,4,,,,,,,
,,103,cushion,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,1,,,,,,,
,,104,cushion,,1,,,,1,1,,,,,,,,12,,4,,,,,,,,,3,,,,,,,2,2,,,,,,,
,,1,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,open,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,3,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,4,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,open,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,open,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,19,open,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,
,,20,open,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,open,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,open,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,open,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27,open,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,28,open,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,29,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31,open,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,32,open,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,33,open,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,34,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35,open,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,36,open,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,
,,37,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,39,open,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,41,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,42,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,43,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,44,open,,,,,,,,,,,,,,,5,,2,,,,,,,,,,,,,,,,,,,,,1,,,
,,45,open,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,2,,,,1,,,
,,46,open,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,1,,,
,,47,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,48,open,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,49,open,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,
,,50,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
,,52,open,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,53,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,54,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
,,55,open,,,,,,,,,,,,,,,5,,,,2,,,,1,,,,,,,,,,,,,,,,,,
,,56,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,57,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,58,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,59,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,,60,open,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,
,,61,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,
,,62,open,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66,open,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,67,open,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,68,open,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1
