Site011,Azorella_madreporica,sample,cushion.open,Adesmia_sp1,Adesmia_sp,Barneoudia_major,Bromus_setifolius,Calandrinia_affinis,Cerastium_arvense,Chaetanthera_euphrasioides,Chaetanthera_lycopodioides,Erigeron_andicola,Galium_gilliesii,Hordeum_comosum,Junellia_uniflora,Montiopsis_potentilloides,Nassauvia_lagascae,Nassauvia_pyramidalis,Nastanthus_agglomeratus,Olsynium_scirpoideum,Oxalis_compacta,Perezia_carthamoides,Phacelia_secunda,Pozoa_coriacea,Rytidosperma_pictum,Senecio_looseri,Taraxacum_officinale,Thlaspi_magellanicum,Trisetum_preslei,Viola_atropurpurea,Viola_philippii
,,94,cushion,,,3,,,265,,,,,18,,,,,26,,,,,,,4,12,41,21,,
,,95,cushion,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,
,,96,cushion,,,,,,,,,1,,,,,,,1,,,,,,,,,8,,,
,,97,cushion,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
,,98,cushion,,,,,,,,,1,,,,,,,12,,,,,,,,,4,8,,
,,99,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,open,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,2,open,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,3,open,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,4,open,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,5,open,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,6,open,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,open,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,8,open,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,9,open,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,open,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,open,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,open,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
,,13,open,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,14,open,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
,,17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,open,,2,,,,,1,,,,,,,,,,,,,1,,,,,,,,
,,19,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,open,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,21,open,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,22,open,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,open,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,26,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27,open,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,28,open,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,30,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32,open,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,33,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,34,open,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35,open,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2
,,36,open,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,37,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38,open,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,39,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,41,open,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,42,open,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,
