Site101,Eriogonum_gracilipes,sample,cushion.open,AstUnk1_sp,Carex_sp15,CaryUnk5_sp,Draba_sp5,Draba_sp6,Festuca_sp9,Koeleria_macrantha,Penstemon_heterodoxus,Phlox_sp2,Plantago_sp2,Trifolium_andersonii
,,46,open,1,4,,,,6,6,,1,,15
,,47,open,,,,2,,,10,,,3,
,,48,open,,,,,,,,2,,2,2
,,49,open,1,,,,1,,,,1,,3
,,50,open,,,,1,,,5,,,1,6
,,51,open,,,,,,,3,,,4,5
,,52,open,,,,1,,,,,,5,8
,,53,open,,,,1,,,8,5,,1,3
,,54,open,,,,1,,,5,,,1,10
,,55,open,,,,,,,5,1,,,7
,,56,open,,,,,,1,6,6,3,1,
,,57,open,,,,,1,,1,,,,4
,,58,open,,,,,,,2,,,3,8
,,59,open,,,,,,,10,,,,5
,,60,open,,,2,,,,10,,2,1,4
,,61,open,,,,,,,,,,6,4
,,62,open,,,,1,,,3,,,1,6
,,63,open,,,,,,6,,,,1,1
,,64,open,,,,,,,15,,,5,3
,,65,open,,2,,,,,,,,,1
,,66,open,,8,,,,,,,2,2,3
,,67,open,,,,,,,,,,,8
,,68,open,,2,,,1,5,,,4,,4
,,69,open,,3,,3,,,,,,,5
,,70,open,,4,,1,,,6,,,,2
,,71,open,,,,,,,,2,,,2
,,72,open,,1,,,,,1,,,1,1
,,73,open,,4,,,,2,,,,1,5
,,74,open,5,,,,,1,,,,1,7
,,75,open,1,,,,,4,,2,1,1,9
,,76,open,,2,,,,1,,,,4,5
,,77,open,,,,,,,,,,8,3
,,78,open,2,,,,,,1,,,3,10
,,79,open,,,,1,,,,,,4,6
,,80,open,1,,,1,,,,,,5,10
