Site031,Silene_acaulis,sample,cushion.open,Arenaria_obtusifolia,Artemisia_scopulorum,Aster_alpigenus,Bupleurum_americanum,Carex_phaeocephala,Castilleja_pallescens,Cerastium_arvense,Douglasia_montana,Draba_paysonii,Draba_praealta,Erigeron_caespitosum,Erigeron_rydbergii,Eritrichium_nanum,Festuca_ovina,Gentiana_algida,Geum_rossii,Koeleria_crassipes,Lupinus_argenteus,Luzula_spicata,Phlox_pulvinata,Poa_alpina,Polemonium_viscosum,Polygonum_bistortioides,Potentilla_diversifolia,Sedum_lanceolatum,Senecio_canus,Smelowskia_calycina,Trifolium_nanum
,,34,cushion,10,,,,13,,,,,,,3,,20,,8,,,3,2,,,,4,,,5,
,,35,cushion,2,,,,,,,,,,,,,4,,3,,,,2,,,,,1,,,1
,,36,cushion,4,8,,,,,,,,,,,3,8,,4,2,,4,1,,,,,,,,2
,,37,cushion,3,7,,,7,,,,,1,,3,3,15,,14,,,,,,,,3,,,,1
,,38,cushion,,1,,,18,,,,,,,,1,6,,14,,,,,,,,7,,,5,3
,,39,cushion,,2,,,21,,3,,,,,,,16,,25,4,,3,12,,,3,,,,,
,,40,cushion,1,,,,8,,,,6,,,,,10,,36,,,,1,,,,8,,,,
,,41,cushion,1,,,,23,,,,,,,17,,,,25,,,,5,,,,,1,,2,1
,,42,cushion,2,,,,2,,,,,,,,,8,,14,,,2,1,,,,3,,,2,1
,,43,cushion,2,,,,16,,,,,,,4,,3,,11,,,,,,,,2,,,3,
,,44,cushion,,8,,,9,,,,1,,1,9,,10,,14,,,1,,,,2,3,,,,
,,45,cushion,3,,,,11,,,,3,,,,,6,,7,,,2,4,,,2,,,,,
,,46,cushion,5,6,,,16,,,,,,,,,4,,8,,,,4,,,3,,1,,1,
,,47,cushion,8,5,,,7,,,,1,,,,,11,,23,3,,,3,,,,,3,,,1
,,48,cushion,,,,,9,,,,,,,,2,,,2,,,,,,,,,,,,
,,49,cushion,4,1,,,11,,,,,,,,,,,5,,,,,,,,2,,,,
,,50,cushion,1,1,,,18,,,,,,,,1,,,9,,,,,,,,2,,,,
,,51,cushion,1,2,,,13,,,,,,,,1,,1,2,,,,,,,2,1,,,,
,,52,cushion,,5,,,5,,,,,,,,1,,,5,,,,,,,2,,,,,
,,53,cushion,,12,,,10,,,,,,,2,2,,,4,,,,1,,,,,,,,
,,54,cushion,,6,,,8,,,,,,,12,,,,7,,,1,,,,1,,,,,
,,55,cushion,1,14,,,14,,,,,,,,1,,,5,,,,2,,,1,,,,1,
,,56,cushion,4,6,,,7,,,,,,,,,,,6,,,,,,,,,,,,
,,57,cushion,3,2,,,,,,,,,,3,,2,,6,,,,1,,,,,,,1,
,,58,cushion,,3,,,10,,,,,,,2,2,2,,2,,,,1,,,,,,,,1
,,59,cushion,,6,,,14,,,,,,,2,,,,13,,,,1,,,,,,,4,
,,60,cushion,,,,,7,,,,,,,4,,1,,7,,,,1,,,,,,,7,
,,61,cushion,4,5,,,15,,,1,,,,5,,,,10,,,,1,,,,2,,,14,
,,62,cushion,2,2,,,4,,,,,,,2,,,,8,,,,,,,,,,,,1
,,63,cushion,2,5,,,15,,,,,,,,,,,3,,,,1,,,,1,,,,
,,64,cushion,4,1,,,2,,,,,,,5,,,,14,,,,3,,,,,,,2,4
,,65,cushion,2,2,,,5,,,,,,,,,,,12,,,1,1,,,,,,,,
,,66,cushion,4,6,,,14,,,,,,,10,1,,,1,,,,2,,,,,,,,
,,67,cushion,1,3,,,3,,,,,,,,,,,10,,,,,,,,,,,1,
,,68,cushion,1,12,,,26,,,,,,,,,2,,18,,,,1,,,3,2,,,6,
,,69,cushion,1,,,,4,,,,,,,,,,,13,,,,,,,3,3,,,,
,,70,cushion,3,,,,10,,,,,,,7,,2,,14,,,,1,,,2,,,,5,
,,71,cushion,3,2,,,16,,,,,,,3,,,,9,,,,2,,,,,,,6,
,,72,cushion,,4,,,16,,,,,,,,1,2,,16,,,,2,,,,,,,10,
,,1,open,1,5,1,,9,,,,,,,,,,,6,,,,,,,,1,,,,
,,2,open,,2,,,6,,,,,,,,,,,8,,,,1,,,,,,,,
,,3,open,,2,,,12,,,,,,,,,,,2,,,,,,,,,,,,
,,4,open,,9,,2,8,,,,,,,,,,,9,,,,,,,,,,,,
,,5,open,1,5,,,9,1,,,,,,,,,,4,,,,,,,,,,,,
,,6,open,1,7,,,5,,,,,,,,,,,5,,,,1,,,,,2,,,
,,7,open,2,4,,,6,1,,,,,,1,,,,6,,,,1,,,,,1,,,
,,8,open,,3,,,5,3,,,,,,,,,,6,,,,,,,,,1,,,
,,9,open,3,10,,,10,,,,2,,,2,,,,6,,,,,,,,1,,,,
,,10,open,,4,,,5,,,,,,,,,,,13,,,,,,,,,,,,2
,,11,open,,2,,,8,,,,,,,,,,,1,,,,,,,,,,,,
,,12,open,4,11,,,6,,,,,,,,,,,5,,3,,,,,,,2,,,
,,13,open,2,2,,,8,,,,,,,,,,,9,,,,2,,,,,,,,
,,14,open,,10,,,4,,,,,,,,,2,,4,,,,,,,,,,,,
,,15,open,,8,,,5,,,,,,,,,1,,6,,,,1,,,,,,,,
,,16,open,1,7,,,2,,,,,,,,,,,6,,4,,,,,,,2,,,
,,17,open,5,4,,,6,,,,,,,2,,,,3,,2,,1,,,,,4,,,
,,18,open,,9,,,5,,,,,,,,,3,,6,,,,,,,,,2,,,
,,19,open,9,15,,,22,,,,,,,,,,,6,,,,,,,,,,,,
,,20,open,3,4,,1,9,,,,,,,,,1,,3,,,,,,,,,,,,
