Site078,Arenaria_tetraquetra_amabilis,sample,cushion.open,Alyssum_nevadense,Anthyllis_vulneraria,Deschampsia_flexuosa,Cytisus_galianoi,Erigeron_frigidus,Eryngium_glaciale,Galium_pyrenaicum,Hormathophylla_spinosa,Jasione_amethystina,Leontodon_boryi,Leucanthemopsis_pectinata,Lotus_corniculatus,Nevadensia_purpurea,Ranunculus_demissus,Sideritis_glacialis,Thymus_serpylloides,Vaccinium_uliginosum,Viola_crassiuscula
,,99,cushion,,,,,,,1,,,,,,9,,,,,
,,100,cushion,,,,,,,,3,,,,,5,,,,,
,,1,open,,,,,,,1,,,,,,6,,,,,
,,2,open,,,,,,,,,,,,,5,,,,,
,,3,open,,,,,,,,,,,,,3,,,,,
,,4,open,,,,,,,,,,,,,,,,,,
,,5,open,,,,,,,5,,5,,,,,,,,,
,,6,open,,,,,,1,5,,3,,,,,,1,1,,
,,7,open,,,,,,,,,2,,,,5,,,,,
,,8,open,,,,,,,,,,,,,2,,,,,1
,,9,open,,,,,,,,,,,,,,,,,,
,,10,open,,,,,,,6,,,,,,1,,,,,
,,11,open,,,,,,,,,,,,,1,,,,,
,,12,open,,,,,,,3,,,,,,5,,1,,,
,,13,open,,,,,,,4,,2,,,,1,,,,,
,,14,open,,,,,,,,,,,,,3,,,,,
,,15,open,,,,,,,,,,,,,1,,,,,
,,16,open,,,,,,,4,,,,,,3,,,,,
,,17,open,,,,,,,2,,,,,,,,1,,,
,,18,open,,,,,,,13,,,,,,3,,,,,
,,19,open,,,,,,,1,,1,,,,,,,,,
,,20,open,,,,,,,,,,,,,3,,,,,
,,21,open,,,,,,,,,,,,,3,,,,,
,,22,open,,,,,,,1,,,,,,,,,,,
,,23,open,,,,,,,1,,,,,,2,,,,,
,,24,open,1,,,,,,2,,,,,,,,,1,,
,,25,open,,,,,,,,,2,,,,2,,,1,,
,,26,open,,,,,,,2,,,,,,3,,,,,
,,27,open,,,,,,,18,,1,,,,1,,,,,
,,28,open,,,,,,,4,,,,,,,,,,,
,,29,open,,,,,,,1,,,,,,5,,,,,
,,30,open,,,,,,,,,,,,,,,,,,
,,31,open,,,,,,,,,,,,,5,,,,,
,,32,open,,,,,,,4,,,,,,3,,,,,
,,33,open,,,,,,,,,1,,,,4,,,,,
,,34,open,,,,,,,,4,,,,,1,1,,,,
,,35,open,,,,,,,2,,,,,,6,,,,,
,,36,open,,,,,,,,,,,,,5,,,,,
,,37,open,,,,,,,5,,,,,,4,,,,,
,,38,open,,,,,,,16,,,,,,5,,,,,
,,39,open,,,,,,,,,,,,,7,,,,,
,,40,open,,,,,,,,,,,,,5,,,,,
,,41,open,,,,,,,,,,,,,4,,,,,
,,42,open,,,,,,,1,1,,,,,6,,,1,,
,,43,open,,,,,,,,,,,,,,,,1,,
,,44,open,,,,,,,,,,,,,,,,,,
,,45,open,,,,,,,,,,,,2,,,,,,
,,46,open,,,,,,,,,,,,14,,,,,,
,,47,open,,,,,,,,3,1,,,,2,,,,,
,,48,open,,,,,,,,,,,,,1,,,,,
,,49,open,,,,,,,,,,,,,,,,,,
,,50,open,,,,,,,,1,,,,,3,,,,,
,,51,open,,,,,,,,1,1,,,,,,,,,
,,52,open,,,,,,,2,,4,,,,3,,,,,
,,53,open,,,,,,,1,,,,,,10,,,,,
,,54,open,,,,,,,,,,,,,5,,,,,
,,55,open,,,,1,,,,,,,,,13,,,,,
,,56,open,,,,,,,15,,,,,,3,,,,,
,,57,open,1,,,,,,,,1,,,,,,,,,
,,58,open,,,,,,,1,,,,,,3,,,,,
,,59,open,,,,,,,8,2,,,,,3,,1,,,
,,60,open,,,,,,,3,,,,,,,,,,,
,,61,open,,,,,,,,,,,,,,,,,,
,,62,open,,,,,,1,7,,,,,,7,,,,1,
,,63,open,,,,,,,,,,,,,3,,,,,
,,64,open,,,,,,,,,,,,,1,,,,,
,,65,open,,,,,,,4,1,,,,,3,,,1,,
,,66,open,,,,,,,,1,,,,,3,,1,,,
,,67,open,,,,,,,,,,,,,,,,,,
,,68,open,,,,,,,12,,,,,,5,,,,,
,,69,open,,2,,,,,12,,,,,,4,,,,,
,,70,open,,,,,,,5,,,,,,,,,,,
,,71,open,,,,,,,,,,,,,1,,,,,
,,72,open,,,,,,,,,,,,,3,,,1,,
,,73,open,,,,,,,,,,,,,,,,,,
,,74,open,,,,,,,,,,,,,,,,,,
,,75,open,,,,,,,,,,,,,8,,,,,
,,76,open,,,,,,,,,,,,,2,,,,,
,,77,open,,,,,,,,,,,,,1,,,,,
,,78,open,,,,,,,,,,,,,1,,,,,
,,79,open,,,,,,1,2,,3,,,,3,,,,,
,,80,open,,,,,,,,,4,,,,,,,,,
,,81,open,,,3,,,,,,,,,,4,,,,,
,,82,open,,,6,,,,8,,,,,,1,1,,,,
,,83,open,,,,,,,,1,,,,,,,,,,
,,84,open,,,4,,,,,,,,,,,,,,,
,,85,open,,,,,,,,,,,,,4,2,,,,
,,86,open,,,,,,,,9,,,,,,,,,,1
,,87,open,,,,,,,,,1,,,,2,,,,,
,,88,open,,,2,,,,,,,,,,7,,,,,
,,89,open,,,,,,,,1,,,,2,,2,,,,
,,90,open,,,,,,,,1,,,,,,,,,,
,,91,open,,,,,,,,1,,,,,,,,,,
,,92,open,,,,,,,,9,,,,,,,,,,
,,93,open,,,,,,,,3,,,,,1,,,,,
,,94,open,,,8,,,,,,,,,,6,8,,,,
,,95,open,,,4,,,1,,2,,,,,,2,,,,
,,96,open,,,,,,,,,,,,,8,,,,,
,,97,open,,,,,,,1,,,,,,2,,,,,
,,98,open,,,,,,,2,,,,,,10,,,,,
,,99,open,,,,,,,,,,,,,2,,,,,
,,100,open,,,,,,,,,,,,,2,,,,,
