Site061,Laretia_acaulis,sample,cushion.open,Acaena_leptacantha,Acaena_pinnatifida,Adesmia_sp3,Barneoudia_major,Bromus_catharticus,Bromus_setifolius,Calandrinia_affinis,Calandrinia_caespitosa,Calandrinia_sp,Carex_sp,Carex_sp1,Cerastium_arvense,Chaetanthera_apiculata,Chaetanthera_euphrasioides,Chaetanthera_lycopodioides,Chaetanthera_pentacaenoides,Chaetanthera_planiseta,Chaetanthera_pusilla,Draba_sp,Erigeron_andicola,Festuca_magellanica,Galium_gilliesii,Gayophytum_humile,Geranium_sessiliflorum,Haplopappus_scrobiculatus,Hordeum_comosum,Hypochaeris_tenuifolia,Jaborosa_caulescens,Junellia_uniflora,Loasa_sigmoidea,Microsteris_gracilis,Montiopsis_potentilloides,Nassauvia_lagascae,Nassauvia_pyramidalis,Nastanthus_agglomeratus,Olsynium_scirpoideum,Oreopolus_glacialis,Oxalis_compacta,Perezia_carthamoides,Perezia_pilifera,Phacelia_secunda,Poa_alopecurus,Poa_pratensis,Pozoa_coriacea,Quinchamalium_chilense,Rhodophiala_uniflora,Rytidosperma_violaceum,Sanicula_graveolens,Senecio_bustillosianus,Senecio_looseri,Senecio_polygaloides,Taraxacum_officinale,Thlaspi_magellanicum,Trisetum_preslei,Tropaeolum_polyphyllum,Viola_philippii
,,12,open,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,6,,,,,1,,,,1,,,,,1,,,,,1,,,,,
,,13,open,,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,open,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,
,,15,open,,,,,,,,,,,,,,,,,9,,,,,,12,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,,16,open,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,2,,,1,,,,,1,,,,1,,1,,
,,17,open,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,1,,,,,,,
,,18,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,
,,19,open,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,1,2,11,,,,2,,,,,,,,,,,1,,2,,,,,,,
,,20,open,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,2,,
,,21,open,,,,,,,,,,,,4,,,,1,81,,,,,,,,,,,,,,,3,,1,,,,1,,,,1,2,1,,,,2,,,,2,,3,,
,,22,open,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,
,,23,open,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,open,,,,1,,,1,,21,2,,5,,6,,2,,,,1,,2,27,,,3,,,,2,168,17,3,,,,,1,,1,,3,3,,3,,,1,,,,3,1,,1,
,,25,open,,,,,,,,1,,,,,,6,1,,,,,,,,,,,2,,1,,,,11,,,,,,1,,,,,,,,,,,,,,2,,2,,
,,26,open,,,,2,,,,2,,,,,,,2,1,,,,,,,9,,,2,,,,,11,11,1,,1,,,,,,,,,,,,,,,,,3,,,,1
,,27,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,
,,28,open,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,
,,29,open,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,1,,2,,1,,
,,30,open,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,31,open,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,2,,,,,,,,,,,,,,,
,,32,open,,,,,,,,,,,,5,,,2,2,,,,,,,7,,1,,,,,,,,1,,1,,,,,,1,1,,,,,,,,,,,1,,,
,,33,open,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
,,34,open,,,,,,,,5,,1,,,,,,,,,,,1,,,,1,,,1,,1,,11,6,,,,,2,,,2,1,,1,,,,1,,,,2,,,,
,,35,open,,,,,,,2,,,,,5,,6,,,,,,,,,,,,3,,,,,,,3,1,1,,,1,2,,,1,,,2,,,,,2,,,,,,1
,,36,open,,,,,,,1,,,,1,,,,28,,,,,,,,,,,2,,,,,,14,3,,,3,,,,3,1,,,,,1,,,,,,3,,,,
,,37,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,
,,38,open,,,,,,,,2,,,,2,,3,,,9,,,,,,,,,2,1,,,3,2,,,,,,,5,,,1,1,,1,,,,1,,,,,,,,
,,39,open,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,
,,40,open,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,
,,41,open,,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,2,,,,2,,,,,1,,,,,,,1,,1,,2,,,,1
,,42,open,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,6,,,1,,,,,1,,,,,1,,,,,,,,,,,,1
,,43,open,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,44,open,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,45,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,
,,46,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,,47,open,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
,,48,open,,,,,,,2,1,53,1,,,,6,,,,,,,,,2,1,,,,,,,12,,2,,,,,1,2,,,1,,,3,,,1,,,,1,,,,
,,49,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,,50,open,,1,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,open,,,,,,,,1,,,,5,,,1,,,,,,1,,,1,,1,1,1,,,,3,,,,,,1,,,2,4,,,2,,,,,,,3,,,,1
,,52,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,
,,53,open,,,,,,,,1,,,,,,3,2,,5,,,,,,,,,,,,,,13,13,,,,,,,,1,1,2,,,1,,,,,,,2,,3,,1
,,54,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,1,,,,,,,,,,,,,,,
,,55,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
,,56,open,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,57,open,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,1,,,,
,,58,open,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,4,,,,,,,,,3,,,1,,,,,,1,,,,,,1
,,59,open,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60,open,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,14,13,,,,,,,,,2,,1,,1,,,1,,2,,,,,,
,,61,open,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,12,8,,,,3,,,,,1,2,,,,,,,,,,,,2,,
,,62,open,,,,,,,,,,,,2,,,,,,,,,,,6,1,,1,,,,,,6,,,,,,,,,1,,,,,,,,,,,,,,,
,,63,open,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,1,,,,,,,,,,,,
,,65,open,,,,,,,,,,,,,,,,,9,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
,,66,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,2,,,,,,,,1,,,,1,,4,,
