Site019,Discaria_nana,sample,cushion.open,Acaena_macrocephala,Acaena_pinnatifida,Anemone_multifida,Armeria_maritima,Azorella_monantha,Berberis_empetrifolia,Calandrinia_gayana,Carex_aphylla,Carex_caduca,Cerastium_arvense,Chuquiraga_avellanae,Draba_gilliesii,Erigeron_sp,Gamocarpa_selliana,Gaultheria_pumila,Geranium_sessiliflorum,Hordeum_comosum,Hypochaeris_tenuifolia,Leucheria_millefolium,Luzula_chilensis,Montiopsis_gayana,Mulinum_leptacanthum,Nastanthus_caespitosum,Oreopolus_glacialis,Plantago_barbata,Polygala_salasiana,Senecio_pachyphyllos,Senecio_portalesianus,Sisyrinchium_patagonicum,Trisetum_barbinode,Tristagma_nivale,Viola_cotyledon
,,83,cushion,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,1,4,,,3
,,84,cushion,,,,,,,,,,3,,,,12,,,2,,,,,,,,,,,,,2,,
,,85,cushion,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,3,,
,,86,cushion,,,,,,,,,,1,,1,,,,1,,,,,,,,,,27,,10,3,,,
,,87,cushion,,4,,,,,,,,,,2,,,,1,,,,,1,,,,,20,,6,,,3,
,,88,cushion,,,,,,,,,,8,,,,,,1,,,,,,,5,,,29,,,,,3,
,,89,cushion,,2,,,,,,,,,,,,,,,6,,,,,,3,,,11,,,,,,
,,90,cushion,,,,,,,,,,,,,,,2,4,,,,,,,,,,2,,2,,,,
,,91,cushion,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,5,7,,,2
,,92,cushion,1,,,4,,,,1,,,,1,,,,,2,,,,,,,,,,,2,,,,
,,93,cushion,,4,,,,,,,,,,1,,,,2,,,,,1,,,,,2,,4,2,,,
,,94,cushion,,,,,,,,,,,,2,4,,,3,2,,,,,,,,,26,,,3,2,1,
,,95,cushion,,6,,10,,,,,,6,,,2,,,1,5,,,,,,,,,42,,6,1,,12,
,,96,cushion,,3,,,,,,,1,14,,1,,,,1,2,6,,,3,,,,,4,,8,,1,1,
,,97,cushion,,1,,,,,,,,11,,,,,,1,,2,,,,,,,,19,,,,,,
,,98,cushion,3,,2,,,,,,,,,,7,,7,3,,,,,,,,,,12,,3,,,,
,,99,cushion,,,,3,,,,,,,,2,,1,6,3,3,,,,,,,,,,,3,,2,,
,,100,cushion,,2,,7,,,,,1,,,,1,,5,2,,,,,,,,,,9,,,,,,1
,,1,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,10,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,14,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,18,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,25,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,29,open,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
,,30,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,31,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,32,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33,open,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,
,,34,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35,open,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,36,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,37,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,38,open,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,39,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,40,open,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,41,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,42,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,43,open,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
,,44,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,45,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,46,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,47,open,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,2
,,48,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,49,open,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
,,50,open,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,2
,,51,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,53,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,54,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,56,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,57,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,58,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,60,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,62,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,64,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,67,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,68,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,70,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,71,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,72,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,73,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,75,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,76,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,77,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,78,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,79,open,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,80,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,81,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,82,open,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
,,83,open,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
,,84,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,85,open,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,86,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,87,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,88,open,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
,,89,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,90,open,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,91,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,92,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,93,open,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,94,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,95,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,96,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,97,open,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,2
,,98,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,99,open,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,100,open,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,2
