Site075,Silene_acaulis,sample,cushion.open,Achillea_sp,Agrostis_sp2,Antennaria_alpina,Antennaria_sp,Arnica_sp,Carex_nardina,Carex_sp10,Carex_sp11,CaryUnk4_sp,Doronicum_sp,Draba_sp2,Erigeron_sp7,Festuca_sp5,Festuca_sp6,Koeleria_sp3,Luetkea_sp,Luzula_sp4,Luzula_glabra,Penstemon_sp,Phlox_sp1,Phyllodoce_glandulosa,Poa_alpina,Potentilla_heptaphylla,Potentilla_villosa,Sibbaldia_sp,Solidago_sp1,Saxifraga_bronchialis,Taraxacum_sp1
,,3,open,,,,,,,3,,,,,,,,,,,,,,,,,,,3,,
,,4,open,,,,,,,3,,,,,,8,,1,,,,,,,,,,2,10,,
,,5,open,,,,,2,,1,,,,,,,,,,,,,,,,,,,,3,
,,6,open,,,,,5,,2,,,,,,2,,1,,,,,,,,,,,,,
,,7,open,,2,,,,,,,,,,,,,,,,,,,,,,,,13,,
,,8,open,,3,,,6,,1,,,,,,4,,3,,,,,,,,,,6,25,,
,,9,open,,,1,,1,,,,,,,,,,1,,,,,,,,,,1,,,
,,10,open,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
,,11,open,,,,,1,,,,,,,,2,,,,1,,,,,,,,3,,,
,,12,open,,,,,4,2,,,,,,,3,,,,1,,,,,,,,2,,,
,,13,open,,,1,,3,,,,,,,,2,,,,,,,,,,,,,5,,
,,14,open,,,3,,3,,,,,,,,1,,2,,,,,,,,,,,3,,
,,15,open,,,,,7,,,,,,,,2,,1,,,,,,,,,,,,3,
,,16,open,,,,,,,,,,,,,2,,4,,,,,,,,,,6,,,
,,17,open,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,
,,18,open,,,1,,3,1,,,,,,,,,,,,,,,1,,,,,,,
,,19,open,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,
,,20,open,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,,21,open,,1,,,1,,3,,,,,,4,,1,,1,,,,,,,,,,,
,,22,open,,,7,,,,,,,,,,5,,,,1,,,,,,2,,1,15,,
,,23,open,,,,,,,,,,,,,2,,,,,,,,1,,,,,6,,
,,24,open,,,,,,,,,,,,,2,,,,,,,,,,,,1,2,,
,,25,open,,,,,2,,,,,,,,5,,,,,,,,,,,,5,5,,
,,26,open,,,,,,,,,,,,,3,,,,,,,,,,,,,6,,
,,27,open,,,,,5,,,,,,,,1,,2,,,,,,,,,,,,2,
,,28,open,,,,,1,,,,,,,,2,,2,,,,,,,,,,1,,,
,,29,open,,,3,,,,,,,,,,3,,,,,,,,,,,,,3,,
,,30,open,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,
,,31,open,,,1,,1,,,,,,,,2,,,,2,,,,,,,,,,,
,,32,open,,,,,,,,,,,,,2,,,,1,,,,,,,,,,1,
,,33,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34,open,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,35,open,,,,,1,,,,,,,,1,,,,,,,,,,,,,3,,
,,36,open,,,,,1,,1,,,,,,3,,,,,,,,,,,,,8,,
,,37,open,,,,,,,,1,,,,,1,,,,,,,,,,2,,,2,,
,,38,open,,,,,,,,1,,,,,1,,,,,,,,,,,,,4,,
,,39,open,,,,,10,,,1,,,,,,,,,,,1,2,,,,,1,5,,
,,40,open,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,
,,41,open,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
,,42,open,,,,,3,,2,,,,,,,,,,,,,1,,,,,1,,,
,,43,open,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,
,,44,open,,,,,2,,,,,,,,3,,,,1,,,,1,,1,,1,10,,
,,45,open,,,2,,,2,,,,,,,,,,,,,,1,,,,,,3,,
,,46,open,,,4,,,,,,,,,,2,,,,2,,,,,,,,,4,,
,,47,open,,,4,,,,,,,,,,,,,,,,,1,,,,,,3,,
,,48,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,49,open,1,1,,,,,,,,,,,,,,1,1,,,1,,,,,,1,,
,,50,open,,,3,,4,,,,,,,,2,,,,,,,,1,,,,1,6,,
,,51,open,,,1,,4,,,,,,,,1,,1,,,,,,,,,,1,,,
,,52,open,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,53,open,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
,,54,open,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
,,55,open,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,56,open,,,,,,,,,,,,,,,3,,,,,1,,,,,1,,,
,,57,open,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,
,,58,open,,,4,,,,2,,,,,,,,1,,,,,,,,,,,3,,
,,59,open,,,2,,3,,3,,,,,,,,,,,,,,,,,,1,,,
,,60,open,1,,,,,,,3,,,,,,,2,,,,,,,,,,,1,,
,,61,open,,,2,,,,,5,,,,,,,,,,,,,,,,,,,,
,,62,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63,open,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,64,open,,,,,4,,,3,,,,,,,,,,,,,,,,,,,,
,,65,open,,,2,,,,1,,,,,,1,,,,,,,,,,,,1,,,
,,66,open,,,5,,,,1,,,,,,,,,,,,,,,,,,,,,
,,67,open,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,68,open,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,
,,69,open,,,,,1,,4,,,,,,,,,,,,,,,,,,,3,,
,,70,open,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,
,,71,open,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,72,open,,,,,10,,1,,,,,,,,,,1,,,,,,,,,,,
,,73,open,,,,,1,,,,,,,,,,,,,,,,,1,,,1,3,,
,,74,open,,,,,1,2,,,,,,,,,,,,,,,,,,,,1,,
,,75,open,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,
,,76,open,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,
,,77,open,,,1,,,2,,,,,,,,,,,,,,,,,,,,1,,
,,78,open,,,,,2,1,,,2,,,,1,,,,,,,,,,,,,,,
,,79,open,,,,,,3,1,,,,,,1,,,,,,,,,,,,3,,,
,,80,open,,,1,,8,3,,,,,,,,,,,3,,,,,,,,,,,1
,,81,open,,,,,,4,,,,,,3,,,,,,,,,,,,,,,,
,,82,open,,,,,3,5,,,,,,1,,,,,,,,,,2,,,,,,
,,83,open,,,,,2,,,,,,,,,,2,,,,,,,,,,3,1,,
,,84,open,,,1,3,,,,,,,,,,,2,,,,,1,,1,,,1,,,
,,85,open,,,,,3,,,,,,,,1,,,,,,,,,,,,,5,,
,,86,open,,,,,3,,6,,,,,,,,,,,,,,,1,,,2,6,,
,,87,open,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,88,open,,,1,,6,,,,,,,,,,,,,,,,,,,,,,,
,,89,open,,,1,,,3,,,,,,,,,,,,,,,,,,1,,1,,
,,90,open,,,,,,,,2,,,,,2,,,,,,,,,,,,1,5,,
,,91,open,,,,,,,,4,,,,,1,,,,1,,,1,,,,,,5,,
,,92,open,,,,,,,,,,,,,3,,,,1,,,,,1,1,,2,2,,
,,93,open,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,
,,94,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,95,open,,,,,5,,1,,,,,,4,,,,,,,,,,,,2,5,,
,,96,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,97,open,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,
,,98,open,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,99,open,,,,3,8,,2,,,,,,1,,,,,,,,,,,,3,8,,
,,100,open,,,,,,8,,,2,,1,2,,,3,,,,,,,,,,,3,,
