"Site073","Saponaria_caespitosa","sample","cushion.open","Agrostis_sp1","Alchemilla_sp","Anthyllis_sp","Arenaria_sp1","Carex_sp8","Carex_sp9","CaryUnk3_sp","Cerastium_sp2","Cirsium_sp2","Crepis_sp","Daphne_sp","Draba_sp1","Dryas_octopetala","Erigeron_sp5","Erigeron_sp6","Festuca_sp4","Gentiana_sp2","Gentiana_sp3","Gentiana_sp4","Globularia_sp","Helianthemum_sp","Hieracium_sp","Hieracium_sp1","Koeleria_sp2","LamUnk_sp","Leontodon_sp2","Leucanthemum_sp","Linaria_sp1","Oreochloa_sp","Polygala_sp","Saxifraga_sp5","Saxifraga_sp6","Saxifraga_oppositifolia","Teucrium_sp","Veronica_sp"
,,92,"cushion",,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,
,,93,"cushion",,,2,,40,,,,,,,,,,,,,,,4,12,1,,,,,,3,9,,,,,,
,,1,"open",,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,
,,2,"open",,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,
,,3,"open",,,,,3,,,,,,,1,,,,,,,,,3,,,,,,,,1,,1,,,,
,,4,"open",,,,,12,,,,,,,,,,,1,,,,,4,,,,,,,,1,,2,,,,
,,5,"open",,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,2,,,,,,
,,6,"open",,,3,,8,,,,,,,,,,,,,,,,8,,,,,,,,2,,,,,,
,,7,"open",,,,,5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,8,"open",,,1,,7,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
,,9,"open",,,1,,20,,,,,,,,,,,,,,,,6,,,,,,,,1,,,,,,
,,10,"open",,,2,,30,,,,,,,,,,,,,,,,7,,,,,,,,1,,,,,,
,,11,"open",,,1,,11,2,,,,,,,,,,,,,,,3,,,,,,,,,,2,,,,
,,12,"open",,,1,,28,4,,,,,,,,,,,,,,,8,,,,,,,,1,,,,,,
,,13,"open",,,2,,45,,,,,,,1,,1,,,,,,,11,,,,,,,,,,,,,,
,,14,"open",,,1,,8,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
,,15,"open",,,1,,16,,,,,,,,,,,,,,,,5,,4,,,,,,,,,,,,
,,16,"open",,,1,,7,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,
,,17,"open",,,,,2,1,,,,,,,,,,,,,,,4,,,,,,,2,,,,,,,
,,18,"open",,,,,14,,,,,,1,1,,,,,,,,1,6,,,,,,,,,,,,,,
,,19,"open",,,1,,9,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,
,,20,"open",,,,,15,,,,,,,,,,,,,,,1,4,,,,,,,6,,,,,,,
,,21,"open",,,1,,11,,1,,,,,,,,,,,,,1,4,,,,,,,2,,,,,,,
,,22,"open",,,4,,19,,,,1,,,,,,,,1,,,1,4,,,,,,,,2,,,,,,
,,23,"open",,,2,,6,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,24,"open",,,1,1,22,,,,1,,,,,,,1,,,,1,4,,,,,4,,,,,,,,,
,,25,"open",,,1,,10,,,,,,,,,,,,1,,,,,,,1,,,,2,,,,,,,
,,26,"open",,,1,,6,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,27,"open",,,,,12,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,
,,28,"open",,,0,,0,,,,,,,0,,,,,,,,,4,,,,,,,,0,,,,,,
,,29,"open",,,0,,2,,,,,,,0,,,,,,,,,4,,,,,,,,0,,,,,,
,,30,"open",,,1,,2,,,,,,,,,,,,,,,,2,,,,,,,,10,,,,,,
,,31,"open",,,0,,3,,,,,,,,,,,,0,,,,5,,,,,,,,3,,,,,,
,,32,"open",,,0,,6,,,,,,,,,,,,0,,,,5,,,,,,,,0,,,,,,
,,33,"open",,,0,,28,,,,,,,,,,,1,1,,,,13,,,,,,,,6,,,,,,
,,34,"open",,,2,,19,,,,,,,2,,5,,,0,,,1,16,,,,,,,,2,,,,,,
,,35,"open",,,0,,18,,,,,,,,,,,,,,,,6,,,,,,,,0,,,,,,
,,36,"open",,,17,,26,,,,,,,,,,,,,,,,12,,,,,,,,2,1,,,,,
,,37,"open",,,6,,33,,,,,,,,,,,,,,,,7,,,,,,,,4,,,,,,
,,38,"open",,,0,,4,,,,,,,,,,,,,,,,2,,,,,,,,0,,,,,,
,,39,"open",,,1,,3,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,
,,40,"open",,,0,,8,,1,,,,,,,,,,,,,,3,,,,,,,,4,,,,,,
,,41,"open",,,0,,0,,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,
,,42,"open",,,3,,28,,,,,,1,,,,,6,,,,1,1,,,,,,,,0,,,,,,
,,43,"open",,,3,,9,,,,,,,,,,,,,,,,6,,,,,,,,2,,,,,,
,,44,"open",,,0,,13,,,,,,,,,,,,,,,2,1,,,,,,,,0,,2,,,,
,,45,"open",,,0,,12,,,,,,,,,,,,,,,2,0,,,,,,,,0,,,,,,
,,46,"open",,,0,,10,,,,,,,,,,,2,,,,1,0,,,,,,,,0,,,,,,
,,47,"open",,,2,,16,,,,,,,,,,,,,,,,4,,,,,,,1,0,,,,,,
,,48,"open",,,0,,12,,,,,,,,,,,5,,,,,4,,,,,,,,0,,,,,,
,,49,"open",,,5,,18,,,,,,,1,,,,,,,,3,4,,,,,,,5,0,,,,,,
,,50,"open",,,0,,9,,,,,,,,,,,,,,,,3,,,6,,,,12,0,,,,,,
,,51,"open",,,3,,12,,,,,,,,,8,,,,,,1,6,,,,,,,3,0,,,,,,
,,52,"open",,,3,,15,,,,,,,,,,,,,,,1,1,,,,,,,,0,,,,,,
,,53,"open",,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,1,,,,
,,54,"open",,,1,1,37,,,,,,1,,,,,,1,,,1,12,,,,,,,,1,,3,,,,
,,55,"open",,,,,5,,4,,,,,,,,,,,,,,4,,,,,,,,3,,,,,,
,,56,"open",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,57,"open",,,1,,24,,,,,,,,,,,,,,,1,9,1,,,,,,,,,1,,,,1
,,58,"open",,,1,,7,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,1,
,,59,"open",,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60,"open",,,,,13,,,,1,,,1,,4,,,,,,,11,,,,,,,,4,,,1,,,
,,61,"open",,,3,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,
,,62,"open",,,,1,,,,,,,,1,,,,,,,,2,2,,,,,,,,1,,1,1,,,
,,63,"open",,,2,,,,,,,,,,,,,,,,,,3,,,1,,,,2,,,,,,,1
,,64,"open",,,,,11,,,,,,,1,,,,,,,,,3,,,,,,,1,,,,,,,
,,65,"open",,,2,,,,1,,,,,,,,,,,,,,3,,,6,,,,6,,,3,,,,1
,,66,"open",1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,1,,
,,67,"open",,,,1,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
