Site044,Onobrychis_cornuta,sample,cushion.open,ApiUnk2_sp,Asperula_sp,Astragalus_sp,Bromus_sp,CaryUnk_sp,Centaurea_sp,Cerastium_sp1,Cirsium_sp,Crocus_sp,Festuca_sp2,Galium_sp,Marrubium_sp,Prunus_sp,Ranunculus_sp,Scilla_sp,ScrophUnk_sp,Senecio_sp3,Taraxacum_sp,Veronica_sp
,,48,cushion,5,,,75,,,,,,,,,,,,,,,
,,49,cushion,1,,,50,,,,,1,,,,,,,,,,
,,50,cushion,1,1,,60,,,,1,,,,,,1,,,,,
,,51,cushion,,,,29,,,,2,,,,,,,,,,,
,,52,cushion,10,,,60,,1,,,,,,,,,,,,,
,,53,cushion,15,,,65,,,,2,,,,,,,,,,,
,,54,cushion,6,,,60,,15,,2,,3,,,,3,3,,,,
,,55,cushion,10,,,25,,4,,5,,1,,,,,,1,,,
,,56,cushion,15,,,40,,20,,,,,,,,,,,,,
,,57,cushion,,,,50,,,,,,,,,,1,,,,,
,,58,cushion,25,,,,,1,,,,55,,,,,,,,,
,,59,cushion,30,,,25,,2,,2,,60,,,,,,10,,,
,,60,cushion,10,,,100,,,,,,,,1,,6,1,,,,
,,1,open,3,,,,,1,,1,,,,,,,,,,,
,,2,open,3,,,,,,,,,,,,,,,,,,
,,3,open,,1,,,,,,,,,,,,,,,,,
,,4,open,,1,,,,,,,,,,,,,,,,,
,,5,open,3,,,,,,,,,,,,,,,,,,
,,6,open,3,,,,,,,,,,,,,,,,,,
,,7,open,4,,,,,,,,,,,,,,,,,,
,,8,open,,2,,5,,,,,,,,,,,,,,,
,,9,open,3,,,,,,,,,,,,,,,,,,
,,10,open,3,,,,,,,,,,,,,,,,,,
,,11,open,,2,,,,,1,,,,,,,,1,,,,
,,12,open,2,5,,,,,,,,,,,,1,,,,,
,,13,open,,,,,,,,,1,,,,,,,,,,
,,14,open,5,,,2,,,,,,,,,,,,,,,
,,15,open,8,,,,,,,,,,,,,,,,,,
,,16,open,2,4,,,1,,,,,,,,,,,,,,
,,17,open,8,1,,,,,,,,,,,,,,,,,
,,18,open,5,,,,,,,,,,,,,,,,,,
,,19,open,2,5,,,,,,,1,,,,,,,,,,
,,20,open,6,,,,,,1,1,,,,,,,,,,,
,,21,open,,1,,,,,,1,,,,,,,1,,,,
,,22,open,2,,,,,,,,1,,,,,,,,,,
,,23,open,5,,,,,,,1,,,,,2,,,,,,
,,24,open,5,2,,,,,,,,,,,,,,,,,
,,25,open,1,,,5,,1,1,,,,,,,,,,,,
,,26,open,,,,,,,,,,,,,,,,,,,
,,27,open,4,,,,,3,,1,,,,,,,,,,,
,,28,open,3,2,,,,1,,,,5,,,,,,,1,,
,,29,open,8,,,5,,,,,,,,,,,,,,,
,,30,open,1,,,3,,1,,2,,,,,,,,,,,
,,31,open,1,3,,3,,,,2,,,,,,,,,,,
,,32,open,,,,25,,,,1,,,,,,,,,,,
,,33,open,,,,30,,10,,6,,5,,,,,,,,,
,,34,open,2,3,,5,,,,1,,,,,,,,,,,
,,35,open,,,,10,,,,16,,,,,,,,,,,
,,36,open,5,3,,3,,,,,1,,,,,,,,,,
,,37,open,8,,,,,,,3,,,,,,1,2,,,,
,,38,open,2,,,20,,,,1,,,,,,,,,,,
,,39,open,10,,,,,,,2,,,,,,,,,,,
,,40,open,2,10,,,,,,,1,,,,,,,,,,
,,41,open,5,,,,,,,1,1,,,,,,,,,,
,,42,open,8,,,,,,,8,,,,,,,,,,,
,,43,open,15,,,,,,,16,,20,,5,,,,,,,
,,44,open,10,,1,,,2,,2,,,,,,,,,,,
,,45,open,5,1,,10,,1,,,,,,,,,,,,,
,,46,open,10,,,8,,,,1,,,,,,,,,,,
,,47,open,20,,,5,,,,3,,,,,,,,,,,
,,48,open,18,,,20,,2,,1,,,,,,,,,,,
,,49,open,10,1,,,,,,,2,,,,,,,,,,
,,50,open,1,,,15,,,,9,,,,,,,1,,,,
,,51,open,10,,,,,1,,,,,,,,,,,,,
,,52,open,12,,,30,,,,,,3,,,,,,,,,
,,53,open,1,,,,,1,,1,,,,,,,,,,,
,,54,open,10,5,,5,,6,,1,,5,,,,,2,,,,
,,55,open,15,,,15,,1,,6,,,,,,,,,,,
,,56,open,8,1,,,,,,5,,,,,,,3,,,,
,,57,open,10,1,,1,,,,,,,,,,,,,,,
,,58,open,20,,,35,,3,,5,,5,,,,,,,,,
,,59,open,4,,,45,,1,,,,2,,,,,,,,,
,,60,open,20,1,,45,,1,,1,2,,,1,,,2,,,,
