Site087,Silene_acaulis,sample,cushion.open,Agoseris_glauca,Androsace_chamaejasme,Antennaria_lanata,Arenaria_rossii,Astragalus_alpinus,Carex_geyeri,Cerastium_arvense,Claytonia_megarhiza,Erigeron_canus,Erigeron_compositus,Festuca_idahoensis,Geum_rossii,Hulsea_algida,Oxytropis_campestris,Phacelia_sericea,Polemonium_viscosum,Potentilla_nivea,Saxifraga_bronchialis,Saxifraga_oppositifolia,Sedum_lanceolatum,Sedum_roseum,Smelowskia_calycina,Solidago_multiradiata,Stellaria_americana
,,38,open,,,,,,,,,,,1,,,,,,,,,,,,,
,,39,open,,,,,,,,,,,,,,,,,,,,,,1,,
,,40,open,,,1,,,3,,,,,1,,,,,,,,,,,,1,
,,41,open,,,,,,,,,,,,,,,,,,,,,,,,
,,42,open,,,,,,,,,,,,,,,,,,,,,,,,
,,43,open,,,1,,,,,,,,,,,,,,,,1,,,,,
,,44,open,,,1,,,,,,,,1,,,,,,1,,,,,,,
,,45,open,,,2,,,2,,,,,,,,,,,,,,,,,,
,,46,open,,,,,,,,,,,,,,,,,,,,,,,,
,,47,open,,,,,,,,,,,,1,,,,,,,,,,,,
,,48,open,,,1,,,,,,,1,,,,,,,,,,,,,,
,,49,open,,,,,,,,,,1,,,,,,,,,,,,,,
,,50,open,,,,,,,,,,1,,,,,,,,,,,,,,
,,51,open,,,,,,,,,,,,,,1,,,,,1,,,,,1
,,52,open,,,,,,,,,,,,,,,,,,,,,,,,
,,53,open,,,,,,,,,,,,,,,,,,,,,,1,,
,,54,open,,,,,,,,,,,,,,,,,,,,,,1,,
,,55,open,,,1,,,2,,,,,,,,,,,,,1,,,,,
,,56,open,,,1,,,,,,,2,,,,,,,,,,,,,,
,,57,open,,,,,,,,,,,,,,,,,,,,,,,,
,,58,open,,,,,,,,,,,,,,,,,,,,,,,,
,,59,open,,,,,,1,,,,1,,,,,,1,,,,,,1,,5
,,60,open,,,,,,,,,,,,,,,,,,,,,,,,7
,,61,open,,,,,,,,,,,,,,,,,,,,,,,,
,,62,open,,,,,,,,,,,,,,,,,,,,,,,,
,,63,open,,,,,,,,,,1,,,,,,,,,,,,,,1
,,64,open,,,,,,,,,,,,,,,,,,,,,,1,,
,,65,open,,,3,,,,,,,2,,,,,,1,,,,,,,,5
,,66,open,,,,,,,,,,,,,,1,,1,1,,,,,1,,
,,67,open,,,,,,,,,,,,,,1,,,1,,,,,,,
,,68,open,,,,,,1,,,,,,,,1,,,,,,,,,,
,,69,open,,,1,,,,,,,,,,,,,,,,,,,,,
,,70,open,,,,,,3,,,,2,1,,,,,,,,,1,,,,
,,71,open,,,,,,,,,,,,,,,,,,,,,,,,
,,72,open,,,1,,,1,,,,,,1,,,,,,,,,,,,
,,73,open,,,,,,3,,,,1,,,,,,,,,1,,,,,
,,74,open,,,,,,,,,,,,,,,,,,,,,,,,
,,75,open,,,,,,,,,,,,,,,,,,1,,,,,,
,,76,open,,,,,,,,,,,,,,,,,,,,,,,,
,,77,open,,,,,,,,,,,,,,,,,,,,,,1,,
,,78,open,,,,,,,,,,2,,,,,,,,,,,,2,,
,,79,open,,,,,,,,,,,,,,,,,,,,,,1,,1
,,80,open,,,,,,,,,,1,,,,,,,,,,,,,,
