Site013,Laretia_acaulis,sample,cushion.open,Adesmia_sp2,Adesmia_sp3,Adesmia_sp4,Anarthrophyllum_gayanum,Barneoudia_major,Berberis_empetrifolia,Bromus_catharticus,Bromus_setifolius,Calandrinia_caespitosa,Chaetanthera_euphrasioides,Chaetanthera_pusilla,Chuquiraga_oppositifolia,Erigeron_andicola,Euphorbia_collina,Haplopappus_scrobiculatus,Hordeum_comosum,Montiopsis_gayana,Nassauvia_axillaris,Nassauvia_uniflora,Nastanthus_agglomeratus,Oxalis_squamata,Perezia_carthamoides,Perezia_pilifera,Phacelia_secunda,Poa_alopecurus,Polygala_salasiana,Quinchamalium_chilense,Rhodophiala_uniflora,Senecio_bustillosianus,Senecio_polygaloides,Taraxacum_officinale,Thlaspi_magellanicum
,,80,cushion,1,,,,1,3,,,,,,,,3,,,,1,2,,,,19,,5,,,1,,1,1,
,,81,cushion,,,,,,,,6,1,,,,,1,2,,,,,,,,,,,,,,,1,,
,,82,cushion,,,,,,,,,,,,,,1,,,,,,,,,,,5,1,,,,2,,
,,83,cushion,1,,,,,3,,6,6,,,2,,,,2,,,1,,,,9,,31,2,1,,2,1,3,3
,,84,cushion,,,,,1,,,4,,,,1,,1,,,,1,,,,,,,2,1,2,,,1,2,
,,85,cushion,,,,,1,2,,11,2,,,3,,2,,3,,,1,,,,14,,7,2,,1,,2,1,
,,86,cushion,,,,,,,,,,,,,,,3,,,,,,,1,3,,,2,,,,1,,
,,87,cushion,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,88,cushion,,,,,,,,,,,,,,1,,2,,,1,,,,,,,1,,,,,,
,,89,cushion,,,,,,,,6,1,,,,,,,,,,1,,,,,,,2,,,1,,,
,,90,cushion,,,,,,2,,7,,,,1,,,,,,,,,,,,,,2,,,,2,,
,,91,cushion,,,,,,,,3,1,,,,,1,,,,,2,,,,,,4,,,,,2,,
,,92,cushion,,,,,3,,,14,,,,2,,6,,2,,,1,1,3,,14,,15,2,,1,,4,3,2
,,93,cushion,,,,,,2,,5,,,,,,5,,,,,,2,1,,17,,5,2,,,,1,,1
,,94,cushion,2,,,,,1,,,,,,2,,2,,,,,,3,,,,,,4,,1,,1,,
,,95,cushion,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,
,,96,cushion,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,1,,
,,97,cushion,,,,,,1,,3,,,,,,,,,,,,,,,,,,2,,,,,,
,,98,cushion,,,,,,,,8,,,,,1,,,,,,,,1,,,,3,,,,,,,
,,99,cushion,,,,,,,,5,1,,,,,,,,,,1,,,,,,,,,,,,,
,,100,cushion,,,,,,,,3,,,,,,,,,,,2,,,,,,,,,,,1,,
,,1,open,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,open,,,,,,,,,,,5,1,,,,,1,,1,,,,,,2,,,2,,1,,
,,3,open,1,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,1,,
,,4,open,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,
,,5,open,1,,1,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
,,6,open,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
,,7,open,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
,,8,open,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,2,,
,,9,open,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
,,10,open,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,
,,11,open,,,1,,,,,,,1,14,,,,,,,,1,,,,,,,,,2,,,,
,,12,open,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
,,13,open,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,
,,14,open,1,,,1,,,,,,,7,,,,,,,,,,,,,,,,,,,,,
,,15,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,open,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
,,17,open,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,
,,18,open,,,,,,,,,,,11,,,,,,,,3,,,,,,,,1,,,,,
,,19,open,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,1,,
,,20,open,,,,,,,,,,1,,,,,1,,,1,2,,,,,,,,,,,,,
,,21,open,,,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,1,,
,,22,open,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,
,,23,open,,3,,,,,,,,,5,,,1,,1,,,1,1,1,,,,1,,,1,,1,,
,,24,open,,,1,,,,,,,,,,,,,,,,1,,,,,,2,,,2,,1,,
,,25,open,,,3,,,,,,,,6,,,1,,1,,,5,1,,,,2,,,,,,1,,
,,26,open,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,27,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
