Site094,Silene_acaulis,sample,cushion.open,Alchemilla_sp1,Arabis_hirsuta,Arenaria_sp2,Campanula_sp,Carex_firma,Cerastium_sp3,Draba_sp3,Festuca_sp8,Galium_sp1,Helianthemum_sp1,Leontodon_sp3,Ligusticum_sp,Linaria_sp2,Oxytropis_sp2,Poa_sp4,Polygonum_viviparum,Pritzelago_sp,Ranunculus_sp2,Salix_restrata,Salix_serpyllifolia,Sesleria_sp,Silene_sp,Thlaspi_sp1,Thlaspi_sp2,Viola_sp1
,,23,cushion,,,,5,,,,7,,,1,,,,,,,,,,,,,,
,,24,cushion,,,,11,,,,,1,,12,,,,14,,,,,,1,,,,
,,25,cushion,,,,6,,,,,,,1,,,,19,,,,1,,,,,,
,,26,cushion,,,,,,,,,1,,1,,,,,,,,,7,38,,,,6
,,27,cushion,,,,,,,,,3,,,,,,,,,,,,,,,2,
,,28,cushion,,,,1,,,,49,,,,,,,,,,,,15,2,,,,
,,29,cushion,,,,,,,,14,1,,1,,,,,,,,,5,2,,,,
,,30,cushion,,,,,,,,34,1,,,,,,,,,,,4,,,,,
,,31,cushion,,,,7,,,,16,1,,1,,,,,,,,,,2,,3,,
,,32,cushion,,,,2,,,,7,,,,,,,,,,,,2,,,,,
,,33,cushion,,,,,,,,35,,,,,,,,,,,,1,4,,,2,
,,34,cushion,,,,,,,,83,2,,,,,,,,,,,,13,,,,
,,35,cushion,,,,,,,,5,17,,2,,,,13,,,,,,3,,,4,
,,36,cushion,,,,,,,,,4,,,,,,,,,,,,,,1,1,
,,37,cushion,,,,,,,,2,6,,,,,2,4,,,,,,,,,,
,,38,cushion,,,,,,,,,5,,1,,,,,,,,,,,,,,
,,39,cushion,,,,,,,,9,3,2,,,,2,,,,,,,,,,,
,,40,cushion,,,,,,,,42,9,27,1,,,10,,,,,,2,,,,,
,,41,cushion,,,,,,,,,,,,,,3,,1,,,,,,,,,
,,42,cushion,,,,,1,,,25,2,,,,,,,,,,,1,,,,,
,,43,cushion,,,,,,,,34,2,56,1,,,1,,,,,,3,,,,,
,,44,cushion,,,,,,,,20,,,,,,1,,,,,,4,25,,,,
,,45,cushion,,,,,,,,,,,,,,1,,,,,,,4,,,,
,,46,cushion,,,,2,,,,,,,,,,,7,,,,,,3,,,,
,,47,cushion,,,,2,,,,2,,,2,,,,21,,,,,,9,,,5,
,,48,cushion,,1,,1,,,,7,,,1,,3,,29,,,,,,7,,2,,
,,49,cushion,,,,1,,,,,,,1,,,,18,,,,,,2,,,6,
,,50,cushion,,,,4,,,,,,,3,,,,8,,,,,,2,,,,
,,51,cushion,,,,1,,,,,1,,,,,,,8,,,,,1,,,,
,,52,cushion,8,,,1,,,,6,,,,,,,,8,,,,,,,,,
,,53,cushion,,,,4,,,,36,4,,,3,,1,5,14,,,,,,,3,,
,,54,cushion,,,,,,,,,,,,,,,15,,,,,,,,1,,
,,55,cushion,,,,1,,,,25,4,,2,,,,1,,,4,,,,,,,
,,56,cushion,,,,2,,,,,,,,,,,15,,,,,,3,,,1,
,,57,cushion,,,,1,,,,80,45,,4,,,,4,,,,,,3,,,,
,,1,open,,,,,,,,,,,,,,2,1,,,,,,,1,,,
,,2,open,,,,,,,,,,,,,,1,,,,,,,,1,,,
,,3,open,,,,3,,,,,,,,,,1,,,,,,,,5,,,
,,4,open,,,,5,,1,,3,1,,1,,1,1,,,,,,,,1,2,,
,,5,open,,,,1,,,,,,,1,,,,,,,,,,,,,,
,,6,open,,,1,11,,,,,,,,,,1,,,,3,,,,,,,
,,7,open,,,,16,,,,,,,,,,,1,,,2,,,,,,,
,,8,open,,,3,12,,,1,3,2,,,,1,1,3,,,3,,,,,,,
,,9,open,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,open,,,,9,,,,,,,,,,,,,,1,,,,,,,
,,11,open,,,,,,,,,,,,,,1,,,,,,,,,,,
,,12,open,,,,2,,,,,1,,,,,,6,,,,1,,,,1,,
,,13,open,,,,2,,,,,,,11,,,,3,,,,7,,,,1,,
,,14,open,,,,2,,,,,1,,2,,,,4,,,,,,,1,5,,
,,15,open,,,,,,,,,,,1,,,,4,,,1,1,,,,2,,
,,16,open,,,,1,,,,,,,2,,,,3,,,1,7,,,1,,,
,,17,open,,,,,,,,,,,,,,,3,,,,,,,,,,
,,18,open,,,,4,,,,,,,,,,,1,1,,,,,,,,,
,,19,open,,,,,,,1,,,,,,,,3,1,,,,,,,,,
,,20,open,,,,1,,,,,,,,,,,7,,,,,,,,1,,
,,21,open,,,,12,,,,,,,,,,,13,,,,,,,,,,
,,22,open,,,,4,,,,,,,1,,,,5,,,,,,,,,,
,,23,open,,,,,,,,,,,5,,,,4,,,,,,,,,,
,,24,open,,,5,,,,,,,,4,,,,3,,,,,,,,5,,
,,25,open,,,,1,,,,,,,3,,,,2,,,,,,,1,,,
,,26,open,,,,,,,,,1,,3,,,,,,2,,,,,,,,
,,27,open,,,,,,,,,,,2,,,,,,,,,,2,,1,,
,,28,open,,,,,,,,1,,,,,,,,,,,,1,1,,,,
,,29,open,,,,,,,,3,1,,,,,,,,,,,1,3,,,,
,,30,open,,,,8,,,1,,,,,,,,,,,,,1,3,,,,
,,31,open,,,,,,,,,,,,,,,,,,,,,,,2,,
,,32,open,,,,,,,,,,,,,,,,,,,,,,,6,,
,,33,open,,,,,,,,,,,,,,,,,,,,,,,,16,
,,34,open,,,,,,,,,,,,,,,,,,,,,,,5,8,
,,35,open,,,,,,,,,1,,2,,,2,9,,,,,,,,,4,
,,36,open,,,,,,,,,,,3,,,,2,,,,,,,,,,
,,37,open,,,,,,,,,,,3,,,,4,,,,,,,,,,
,,38,open,,,,,,,,,,,,,,1,4,,,,,,1,,,,
,,39,open,,,,,,,,3,,,,,,2,,,,,,,,,1,,
,,40,open,,,,,,,,,,,1,,,,7,,,,,4,,,,,
,,41,open,,,,,,,,5,,,,,,,,2,,,,,,,,,
,,42,open,,,,,,,,2,,,,,,1,,,,,,,,,1,,
,,43,open,,,,,,,,,,1,,,,2,,,,,,,,,,,
,,44,open,,,,,,,,,,,,,,,,,,,,1,,,1,,
,,45,open,,,,,,,,,,,,,,1,,,,,,,1,,6,,1
,,46,open,,,,,,,,,,,2,,,,4,,,,,,,,,,
,,47,open,,,,6,,,,1,,,,,,,6,,,,,,,,,,
,,48,open,,,,,,,,1,,,5,,,,4,,,,,,,,,,
,,49,open,,,,,,,,,,,2,,,,7,,,,,,,,,,
,,50,open,,,,,,,,,,,5,,,,3,,,,,,,,,,
,,51,open,,,,1,,,,,,,,,,,1,,,,,,,,1,,
,,52,open,,,,3,,,,,,,,,,,,,,,,,2,,1,,
,,53,open,,,,,,,,,,,,,,,5,,,,,,,,1,,
,,54,open,,,,,,,,,,,,,,,3,,,,,,,,,,
,,55,open,,,,2,,,,,,,,,,,9,,,,,,,,,,
,,56,open,,,,,,,,,,,1,,,,5,,,2,,,,,,,
,,57,open,,,,,,,,,,,7,,,,,,,2,,,,,,,7
