Site024,Bolax_gummifera,sample,cushion.open,Abrotanella_sp,Acaena_antarctica,Acaena_diminuta,Acaena_magellanica,Acaena_pinnatifida,Adesmia_lotoides,Adesmia_parviflora,Adesmia_pumila,Adesmia_salicornioides,Astragalus_nivicola,Azorella_coespitosa,Azorella_fuegiana,Azorella_licopodioidis,Calceolaria_uniflora,Cerastium_sp,Colobanthus_subulatus,Colobanthus_lycopodioides,Draba_funiculosa,Draba_magellanica,Elymus_sp,Empetrum_rubrum,Erigeron_sp,Eudema_sp,Festuca_magellanica,Hamadryas_sp,Hypochaeris_incana,Leucheria_candidissima,Luzula_sp,Luzula_sp1,Nassauvia_aculeata,Nassauvia_revoluta,Oxalis_enneaphylla,Oxalis_patagonica,Perezia_magellanica,Perezia_pilifera,Pernettya_mucronata,Pernettya_pumila,Phleum_sp,Plantago_sp,Poa_alopecurus,Poa_fuegiana,Poa_pratensis,Poa_pusilla,Senecio_magellanicus,Trisetum_sp,Vicia_bijuga
,,14,cushion,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,,15,cushion,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
,,16,cushion,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,
,,17,cushion,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,cushion,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,
,,19,cushion,,,,,,,,1,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,1,
,,20,cushion,,,,,,,,,,1,1,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,1,,,1,,,
,,21,cushion,,,1,,1,,,1,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,1,,,
,,22,cushion,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,1,
,,23,cushion,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
,,24,cushion,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,1,
,,25,cushion,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,
,,26,cushion,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,1,,,,,,,,,
,,27,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,
,,28,cushion,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,cushion,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
,,30,cushion,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,1,,,
,,31,cushion,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,32,cushion,,,,,,1,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,1,,,,,
,,33,cushion,,,,1,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,
,,34,cushion,,,1,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,
,,35,cushion,,,,,,,,1,,,1,,,1,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
,,36,cushion,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,
,,37,cushion,,,,,,1,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,
,,38,cushion,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,
,,39,cushion,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
,,40,cushion,,,,,,1,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
,,41,cushion,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,1,
,,42,cushion,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,
,,43,cushion,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,
,,44,cushion,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,
,,45,cushion,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,
,,46,cushion,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
,,47,cushion,,,,,,1,,,,1,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,1
,,48,cushion,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,1,
,,49,cushion,,1,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,1,
,,50,cushion,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,1,1
,,1,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,3,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,4,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,5,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,8,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,
,,9,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,open,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,12,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,13,open,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,
,,14,open,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,15,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,
,,16,open,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
,,17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,,18,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,open,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,1,,,,,,,1,,1,,,,,,,,,
,,20,open,,,1,,,,,,,,1,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,
,,21,open,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,1,,,,
,,22,open,,1,,,,,,,,1,,1,,,,,,,,,,1,1,,,,,,,,,1,,,1,,,,,,,,,,,
,,23,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,
,,24,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
,,25,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,open,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,1,,,1,
,,27,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,28,open,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,
,,29,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,
,,30,open,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,
,,31,open,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,32,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34,open,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35,open,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
,,36,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,37,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,38,open,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,
,,39,open,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
,,40,open,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,
,,41,open,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,
,,42,open,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,
,,43,open,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,
,,44,open,,,1,,1,,,,,,,,,,,,,1,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,
,,45,open,,,,,,,,,,,1,,,,,1,,,,,,1,1,,,1,,,,,,,,,1,,,,1,,,1,,,1,
,,46,open,,,,,1,,,,,,1,1,,,,,,,,,,1,1,,,1,,,,,,,,,1,,1,,1,,,1,,,1,
,,47,open,,,,,,,,,,,1,,,,1,,,,1,,,1,1,,,,,,,,,,,,1,,1,,,,,,1,,,
,,48,open,,,,,,,,,,,,1,,,1,,,,1,,1,1,,,,,,,1,,,,,,1,,1,,1,,,,1,,1,
,,49,open,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,,,,,,,,,,1,,,,,,,1,,,,
,,50,open,,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,1,1,,,,,,1,,1,,1,,,,,,,1
