Site091,Silene_acaulis,sample,cushion.open,Achillea_sp1,Ajuga_sp,Androsace_sp1,Anthyllis_sp1,Arabis_alpina,Arabis_hirsuta,Arenaria_sp2,AstUnk3_sp,Bartsia_alpina,Bellis_sp,BrasUnk3_sp,Campanula_sp,Carex_curvula,Carex_firma,CaryUnk5_sp,Draba_sp3,Dryas_octopetala,Elyna_sp,Festuca_sp7,Festuca_sp8,Gentiana_sp5,Helianthemum_sp1,Leontopodium_sp,Papaver_sp,Pedicularis_sp1,Poa_sp4,Polygonum_viviparum,Salix_sp2,Salix_retusa,Saxifraga_caesia,Saxifraga_oppositifolia,Saxifraga_sp7,Sesleria_sp,Thlaspi_sp1,Viola_sp1
,,5,open,,,,,,1,2,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,
,,6,open,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,
,,7,open,,,,,,1,,1,,,,3,,,,,,,10,,,,,,,2,2,,,,,,,,
,,8,open,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,
,,9,open,,,,,,,,,,,,,,1,,,,,,3,,,,,,,1,,,,,,2,,
,,10,open,,,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,3,,
,,11,open,,,,,,,,,,,,6,,1,,,,,3,,,,,,,,,,,,,,,,
,,12,open,1,,,,2,,,,,,,8,,,,,,,4,2,,,,,,,,,,,,,,,
,,13,open,,,,,2,,,,,,,,,,,,,,2,5,,,,,,,1,,,,,,2,,
,,14,open,,,,,1,,,,,,,,,,,,,,1,3,6,,,1,,,,,,,,,,,
,,15,open,,,,,4,,,,,,,,,,,,,,7,2,2,,,,,,,,,,,,,,
,,16,open,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
,,17,open,,,,,2,,2,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,
,,18,open,,,,,2,,1,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,
,,19,open,,,,,1,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
,,20,open,,,,,1,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,
,,21,open,,,,,4,,2,,,,,,,,,,,,,2,,,,,,6,,,,,,,,,
,,22,open,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
,,23,open,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
,,24,open,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,
,,25,open,,,,,,,1,,,,,,,,1,,,,8,,,,,,,,,,,,,,,,
,,26,open,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,27,open,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,
,,28,open,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,3,,
,,29,open,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
,,30,open,,,,,,,1,,,,,2,,,,,,,5,,,,,,,,,,,,,,3,,
,,31,open,,,,,,,,,,,,2,,,,,,,4,,,,,,,1,,,,,,,,,
,,32,open,,,,,2,1,,,,,,,,,,,,,5,4,1,,,,,,,,,,,,,,
,,33,open,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,2,,
,,34,open,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,
,,35,open,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
,,36,open,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,37,open,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,
,,38,open,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
,,39,open,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,4,,,8,,
,,40,open,,,,,,,,,,,,11,,,,,,,2,,,,,,,,,,,,,,5,,
,,41,open,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,
,,42,open,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,
,,43,open,,,,,,,3,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,
,,44,open,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,46,open,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,,47,open,,,,,,1,,,,,,,,,,,1,,,3,,,,,,3,,1,,,,,,,
,,48,open,,,,,,,,,,,,,,,,,,,,10,,,,,,7,12,,,,,,2,,
,,49,open,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
,,50,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,
,,51,open,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,
,,52,open,,,,,,,,,,,,,,,7,,,,,,,,,,,,4,,,,,,2,,
,,53,open,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,2,,,,,3,,
,,54,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,56,open,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,
,,57,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,
,,58,open,,,,,,,,,,,,,,1,,,,,,,,2,,,,,1,,,,,,2,,
,,59,open,,,,,1,,,,,,,,,6,,,,,,,,1,,,,,,,,,,,1,,
,,60,open,,,,,,,,,,,,,,6,,,,,,,,2,,,,,,,,1,,,2,,
,,61,open,,,1,,,,,,,,,,,5,,,,,,,,2,,,,,1,,,,,,,,
,,62,open,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
,,63,open,,,,,1,,,,,,,,,4,,,,,,,,,,,,,1,,,,,,11,,
,,64,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,
,,65,open,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,66,open,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,
,,67,open,,,,,1,,,,,,,,,9,,,,,,,,,,,,,,,,,,,6,,
,,68,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,69,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,
,,70,open,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,4,,
,,71,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,4,,
,,72,open,,,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,,2,,
,,73,open,,,1,,,,,,,,,,,5,,,,,,,,1,,,,,,1,,,,,3,,
,,74,open,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
,,75,open,,,,2,,,,,,,,,,9,,,,,,,,3,,,,,1,,,,,,4,,
,,76,open,,,,2,,,,,,,,,,3,,,1,,,,,,,,,,1,1,,,,,,,
,,77,open,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,4,,
,,78,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,79,open,,,,,,,,,,,1,,,5,,,2,,,,,,,,,,,,,,,,2,,
,,80,open,,,,,,,,,,,,1,,5,,,,,,,,,,,,,,,,,,,2,,
,,81,open,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,
,,82,open,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
,,83,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,84,open,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,2,,
,,85,open,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3,,
,,86,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,87,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,
,,88,open,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,3,1,1
,,89,open,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,
,,90,open,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,
,,91,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
,,92,open,,,,,,,,,,,,,,2,,,,,,,1,3,,,,,,,5,,,,10,,
,,93,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,1
,,94,open,,,,,,,1,,,,,,,1,,,,,,,,4,,,,,,,,,,3,6,,
,,95,open,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,2,,
,,96,open,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,1,,
,,97,open,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,3,,1
,,98,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,99,open,,,,1,,,,,,,,,,6,,,,,,,,3,,,,,,,,,,,2,,
,,100,open,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,2,,
