Site060,Azorella_madreporica,sample,cushion.open,Adesmia_echinus,Adesmia_sp1,Adesmia_subterranea,Azorella_madreporica,Calandrinia_caespitosa,Calandrinia_sp,Carex_sp,Cerastium_arvense,Chaetanthera_lycopodioides,Chaetanthera_pentacaenoides,BrasUnk_sp,Erigeron_andicola,Gayophytum_micranthum,Hordeum_comosum,Jarava_chrysophylla,Kurzamra_pulchella,Menonvillea_sp,Montiopsis_copiapina,Nassauvia_cumingii,Olsynium_junceum,Oxalis_sp,Phacelia_secunda,Poa_holciformis,Senecio_sp,Trisetum_oreophilum,Viola_montagnei,Viola_philippii
,,71,open,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,72,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,73,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,74,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,75,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,76,open,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,77,open,,,,,,,,,,2,,,,,,,,,1,,,,,,,,
,,78,open,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,79,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,80,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,81,open,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,82,open,,,,,,,,,,3,,,,,,,,,,,,,,,,,
,,83,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,84,open,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
,,85,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,86,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,87,open,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
,,88,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,89,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,90,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,91,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,92,open,,,,,,,,,,5,,,,,,,,,,,,,,,,,
,,93,open,,,,,,,,,,,,,,,,,,,,,,,2,,,,1
,,94,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,95,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,96,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,97,open,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,98,open,,,,,,,,,,2,,,,,,,,,,,,,,,,,
,,99,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,100,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,
