site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Acaena leptacantha,Acaena pinnatifida,Adesmia sp4,Barneoudia major,Bromus catharticus,Bromus setifoluis,Calandrinia affinis,Calandrinia caespitosa,Calandrinia sp,Carex sp 1,Carex sp 2,Cerastium arvense,Chaetanthera apiculata,Chaetanthera euphrasioides,Chaetanthera lycopodioides,Chaetanthera pentacaenoides,Chaetanthera planiseta,Chaetanthera pusilla,Draba sp 2,Erigeron andicola,Festuca magellanica,Galium gilliesii,Gayophytum humile,Geranium sessiliflorum,Haplopappus scrobiculatus,Hordeum comosum,Hypochaeris tenuifolia,Jaborosa caulescens,Junellia uniflora,Loasa sigmoidea,Microsteris gracilis,Montiopsis potentilloides,Nassauvia lagascae,Nassauvia pyramidalis,Nastanthus agglomeratus,Olsynium scirpoideum,Oreopolus glacialis,Oxalis compacta,Perezia carthamoides,Perezia pilifera,Phacelia secunda,Poa alopecurus,Poa pratensis,Pozoa coriacea,Quinchamalium chilense,Rhodophiala uniflora,Rytidosperma violaceum,Sanicula graveolens,Senecio bustillosianus,Senecio looseri,Senecio polygaloides,Taraxacum officinale,Thlaspi magellanicum,Trisetum preslei,Tropaeolum polyphyllum,Viola philippii,dataset code
"Valle Nevado","Azorella madreporica",34,"open","","",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",35,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,,,,1,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",36,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",37,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,,,,,1,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",38,"open","","",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,38,1,,,,1,,,,,1,1,,,,,,,,,,1,2,2,,,57
"Valle Nevado","Azorella madreporica",39,"open","","",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",40,"open","","",,,1,,,,,1,,,,4,,,1,,,,,,,,2,,,,,1,,1,,,,,,,,1,,,1,1,1,,1,,,1,,,,1,,4,,,57
"Valle Nevado","Azorella madreporica",45,"open","","",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",46,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",47,"open","","",,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,1,,,,,,,,57
