"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena antarctica","Acaena magellanica","Acaena pinnatifida","Adesmia lotoides","Adesmia parviflora","Adesmia pumila","Arjona patagonica","Astragalus nivicola","Azorella coespitosa","Azorella fuegiana","Berberis buxifolia","Berberis empetrifolia","Calceolaria uniflora","Cerastium sp","Colobanthus subulatus","Draba funiculosa","Draba magellanica","Elymus sp","Empetrum rubrum","Erigeron sp","Festuca magellanica","Hamadryas sp","Hypochaeris incana","Leucheria candidissima","Leucheria leontopodioides","Luzula sp 1","Luzula sp 2","Nassauvia aculeata","Nassauvia pygmaea","Nassauvia revoluta","Oreobolus sp","Oxalis enneaphylla","Perezia pilifera","Pernettya mucronata","Phaiophleps biflora","Phleum sp","Plantago sp","Poa alopecurus","Poa fuegiana","Poa pratensis","Poa pusilla","Ribes cucullatum","Saxifraga sp","Senecio magellanicus","Trisetum sp","Vicia bijuga","Vicia magellanica"
"Torres del Paine Azorella monantha 900","Azorella monantha",25,28,"cushion",,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,1,1,,,,,1,,,,,,,,,,,,,1,1,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,29,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,30,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,31,"cushion",,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,32,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,1,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,33,"cushion",,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,1,,1,,,,,,,,1,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,34,"cushion",,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,35,"cushion",,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,36,"cushion",,,,1,,1,,1,,,,,,,,1,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,1,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,37,"cushion",,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,38,"cushion",,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,1,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,39,"cushion",,,,,,,,1,,,,,1,,,1,,,,,,,,1,,,,,,1,,,,1,,1,,,,,,,,,,,1,1,1,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,40,"cushion",,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,1,1,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,41,"cushion",,,,,,,,,,,,,,,,1,1,,,1,,,1,1,,,,,,1,,,,,,1,,,,,,,1,,,,,1,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,42,"cushion",,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,1,1,,,1,,,,,,,,,,1,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,43,"cushion",,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,44,"cushion",,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
