site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Agrostis castellana,Agrostis truncatula,Armeria caespitosa,Avenella iberica,Euphrasia willkommii,Festuca curvifolia,Festuca iberica,Hieracium myriadenum,Jasione crispa,Jurinea humilis,Luzula hispanica,Minuartia recurva,Nardus stricta,Paronychia polygonifolia,Plantago alpina,Polytrichum juniperinum,Polytrichum piliferum,Sedum brevifolium,Sedum candollei,Silene ciliata,dataset code
"Cabezas de Hierro","Minuartia_recurva",36,"open",26,20,14,,,,,,5,,,,,2,,,,,,2,2,,56
"Cabezas de Hierro","Minuartia_recurva",37,"open",12,11.5,3,5,,,,,,,,,,1,,,,,,2,,,56
"Cabezas de Hierro","Minuartia_recurva",38,"open",16.5,13.5,5,10,,,,,,,,,,1,,,,,,1,,,56
"Cabezas de Hierro","Minuartia_recurva",39,"open",13,11,3,2,,,,,,,1,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",40,"open",22,16,7,9,,,,,,,,,,,,,,,,1,,1,56
"Cabezas de Hierro","Minuartia_recurva",41,"open",18,16,6,6,,,,,,,2,,,2,,,,,,,1,,56
"Cabezas de Hierro","Minuartia_recurva",42,"open",20.5,15,,2,,,,,,,,,,,,,,,,2,2,,56
"Cabezas de Hierro","Minuartia_recurva",43,"open",20.5,19,,,,2,,,,,,,,1,,,,,10,1,1,,56
"Cabezas de Hierro","Minuartia_recurva",44,"open",14.5,12,,1,,,,,,,,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",45,"open",16,13,,,,,,,,,,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",47,"open",19,16,2,4,,,,,,,,,,1,,,,,,,1,,56
"Cabezas de Hierro","Minuartia_recurva",48,"open",25,17,,4,1,,,,,,,,,1,,,,,,1,2,,56
"Cabezas de Hierro","Minuartia_recurva",50,"open",18,17.5,,6,,,,2,,,,,,2,,,,,,,1,,56
"Cabezas de Hierro","Minuartia_recurva",51,"open",17.5,15,,2,,,,6,,,,,,,,,,,,1,2,,56
"Cabezas de Hierro","Minuartia_recurva",52,"open",20,18.5,,2,,,,,,,,,,1,,,,,,,5,,56
"Cabezas de Hierro","Minuartia_recurva",53,"open",21,17,,,,,,8,,,,,,,,,,,25,6,,,56
"Cabezas de Hierro","Minuartia_recurva",59,"open",12,12,,,,,,,,,,,,,,,,5,,,,,56
"Cabezas de Hierro","Minuartia_recurva",60,"open",24,21.5,,,1,,,,,,,,,1,,,,,,,1,,56
"Cabezas de Hierro","Minuartia_recurva",62,"open",25,19.5,,,1,,,,,,,,,1,,,,,,2,2,,56
"Cabezas de Hierro","Minuartia_recurva",63,"open",16,14,,,,,,,,,,,,,,,,,,,1,,56
"Cabezas de Hierro","Minuartia_recurva",64,"open",17.5,13,,,,,,12,,,,,,,,,,,,8,4,,56
"Cabezas de Hierro","Minuartia_recurva",65,"open",15,13,,,,,,5,,,,,,1,,,,,,,4,,56
"Cabezas de Hierro","Minuartia_recurva",67,"open",19,14,,,,,,,,,,,,,,,,,,3,,,56
"Cabezas de Hierro","Minuartia_recurva",68,"open",20,18,,,,,,,,,,,,,,,,,,8,,,56
"Cabezas de Hierro","Minuartia_recurva",69,"open",22,18,,4,1,,,,,,,,,4,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",71,"open",21,15,,1,1,,,3,,,,,,1,,,,,,,4,,56
"Cabezas de Hierro","Minuartia_recurva",72,"open",18,13,,,,,,2,,,,,,,,,,,,,1,,56
"Cabezas de Hierro","Minuartia_recurva",73,"open",20,10,,7,,,,,,,,,1,1,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",74,"open",9.5,9.5,,3,,,,,,,,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",75,"open",14.5,12.5,,,,,,1,,,,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",76,"open",14.5,10,,2,,,,,,,,,,,,,,,,,1,,56
"Cabezas de Hierro","Minuartia_recurva",77,"open",27,15,,6,,,,7,,,,,,,,,,,,2,1,,56
"Cabezas de Hierro","Minuartia_recurva",78,"open",30,25,,1,2,,,,,,,,,,,,,,,5,,,56
"Cabezas de Hierro","Minuartia_recurva",79,"open",13,11,,,,,,2,,,,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",80,"open",20,19,,,,,,,,,,,,,,,,,,2,1,,56
"Cabezas de Hierro","Minuartia_recurva",82,"open",30,20.5,,,1,,,2,,,,,,,,,1,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",83,"open",14.5,10.5,,,1,,,,,,,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",55,"cushion",17,16,,,,,,15,,1,,,,,,,,,,8,,,56
"Cabezas de Hierro","Minuartia_recurva",58,"cushion",18,16,,,,,,14,,1,,,,,,,,,,6,,,56
"Cabezas de Hierro","Minuartia_recurva",59,"cushion",12,12,,,,,,3,,1,,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",62,"cushion",25,19.5,,12,1,,,3,,1,1,,2,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",69,"cushion",22,18,,,1,,,30,,1,,,,,,,,,,,,1,56
"Cabezas de Hierro","Minuartia_recurva",91,"cushion",15,11.5,,,1,,,,,1,1,,,,,,,,,,2,,56
"Cabezas de Hierro","Minuartia_recurva",94,"cushion",14.5,10,,3,,,,,,1,1,,,,,,,,,,1,,56
"Cabezas de Hierro","Minuartia_recurva",32,"open",26,12,3,6,,,,,,1,,,,2,,,,20,,,1,,56
