Site,Cushion species,Sample,cushion/open,Flower gender,Diam 1 (cm),Diam 2 (cm),Sphagnum spp (y= yes),Moss (y= yes),Notes,Flower #,Aconitum delphinifolium,Anenome spp,Bistorta vivipara,Brown lichen,Bryoria spp,Carex spp,Cetraria cuc,Cladina,Cladonia spp,Cloud lichen,Cordalis possiflora,Dryas octapedala,Grass spp,Lupinus arcticus,Peltigera spp,Rock lichen,Salix spp,Saxifraga spp,Saxifraga tricuspidata,Thamnolia spp (worm lichen),Woody potentilla,Polytrichum spp,Rock,dataset code
"Pink Mountains 2","Silene acaulis",43,"cushion","",,9.5,"","","","",,,,,,,,,,,,,,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",43,"open","",,,"","","","",,,,,,,,1,,,,,,,,,,,,,,1,,71
"Pink Mountains 2","Silene acaulis",44,"open","",,,"","","","",,,,,,,10,,,,,,5,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",46,"open","",,,"","","","",,,,,,,5,1,,,,,,,,,1,,,,,15,1,71
"Pink Mountains 2","Silene acaulis",47,"open","",,,"","","","",,,,,,,20,,,,,,7,,,,,,,,,20,1,71
"Pink Mountains 2","Silene acaulis",48,"cushion","",190359856624740950438973133097154577076201388812670809165272761058689189058973173106691450830376465779741702913458347253530987492026244119291648375148836929370692238410043405936682336256,26.4,"","","","",,3,,,,,,,,,,,,10,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",48,"open","",,,"","","","",,4,,,,,,1,8,,,,,,,,,,,,,1,,71
"Pink Mountains 2","Silene acaulis",49,"cushion","",-0,20.7,"","","","",,1,,,,,,,,,,10,,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",49,"open","",,,"","","","",,,,,,,10,1,4,,,,4,,,,,,,,,6,,71
"Pink Mountains 2","Silene acaulis",50,"cushion","",190359856624740950438973133097154577076201388812670809165272761058689189058973173106691450830376465779741702913458347253530987492026244119291648375148836929370692238410043405936682336256,12.2,"","","","",,1,,,,,,,,,,,,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",50,"open","",,,"","","","",,,,,,,,,10,1,,,3,,,,,,,,,6,,71
"Pink Mountains 2","Silene acaulis",51,"cushion","",-0,21.7,"","","","",,2,3,,,,,,,,1,,,,,,2,,,,,,,71
"Pink Mountains 2","Silene acaulis",51,"open","",,,"","","","",,4,,,,,,,7,,,,5,,,4,20,,,,,,1,71
"Pink Mountains 2","Silene acaulis",52,"cushion","",,30.2,"","","","",,2,,,,,,,,,,,16,,,,,,,,,10,,71
"Pink Mountains 2","Silene acaulis",52,"open","",,,"","","","",,,,,,,,,,1,,,,,,,,,,,,10,,71
"Pink Mountains 2","Silene acaulis",53,"cushion","",0.0000000000000000000000000000000000000000000000000000000000000466726145838462,17.2,"","","","",,,,,,,,,,,,,2,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",53,"open","",,,"","","","",,,,,,,5,1,3,,,,8,,,,,,,,,10,,71
"Pink Mountains 2","Silene acaulis",54,"cushion","",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000513828271674896,9,"","","","",,,,,,,,,,,,,,,,,,,,,,3,,71
"Pink Mountains 2","Silene acaulis",55,"cushion","",0.0000000000000000000000000000000000000000000000000000000000000466726145838462,15.6,"","","","",,5,,,,,,,,,,,6,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",56,"open","",,,"","","","",,,,,,,,,,,,,,,,4,,,,,,,1,71
"Pink Mountains 2","Silene acaulis",57,"cushion","",,16.8,"","","","",,,,,,,,,,,,,,,,,,,,,3,,,71
"Pink Mountains 2","Silene acaulis",58,"open","",,,"","","","",,,,1,,,,,,,,,,,,,,,,,,,1,71
"Pink Mountains 2","Silene acaulis",59,"open","",,,"","","","",,,,,,,,,,,,,,,,3,,,,,,5,1,71
"Pink Mountains 2","Silene acaulis",60,"open","",,,"","","","",,,,,,,,,,,,,,,,5,,,,,,20,1,71
"Pink Mountains 2","Silene acaulis",61,"cushion","",-92559631349468662272996949040937966793500110611132923127005184,7.7,"","","","",,1,,,,,,,,,,,3,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",62,"open","",,,"","","","",,,,,,,,,,,,,,,,,,,,,,,1,71
"Pink Mountains 2","Silene acaulis",63,"cushion","",-0,7.4,"","","","",,,5,,,,,,,,,,,,,,,,,,,3,,71
"Pink Mountains 2","Silene acaulis",63,"open","",,,"","","","",,,2,,,,,,7,,4,,,,,,3,,,,,,,71
"Pink Mountains 2","Silene acaulis",64,"cushion","",,21.2,"","","","",,2,,,,,,,,,,,3,,,,,,,4,,,,71
"Pink Mountains 2","Silene acaulis",64,"open","",,,"","","","",,10,,,,,,,,,,,10,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",65,"cushion","",,14.3,"","","","",,,,,,,,,,,,,8,,,,,,,,,8,,71
"Pink Mountains 2","Silene acaulis",65,"open","",,,"","","","",,,,,,,,1,,1,,,3,,,,,,,,,1,,71
"Pink Mountains 2","Silene acaulis",66,"cushion","",,23.5,"","","","",,,,,,,,,,,,,3,,,,3,,,,,4,,71
"Pink Mountains 2","Silene acaulis",68,"cushion","",92559631349468685108960032336296063726075621803055105250951168,24.3,"","","","",,,,,,,4,,,,,,5,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",69,"cushion","",,29.5,"","","","",,4,,,,,,,,,,,10,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",70,"cushion","",,12.5,"","","","",,,,,,,,,,,,,2,,,,1,,,,,,,71
