Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Oxyria digyna,Viola biflora,Astragalus alpinus,Bistorta vivipara,Luzula sp,Taraxacum sp,Saxifraga cernua,Salix reticulata,Poa alpina,Gnaphalium supinum,Calamagrostis lapponica,Saxifraga oppositifolia,Equisetum sp,Saxifraga tenuis,Potentilla crantzii,Silene acaulis,Salix polaris,Arabis alpina,Cerastium alpinum,Salix herbacea,Festuca ovina or vivipara,Luzula spicata,Thalictrum alpinum,Dryas octopetala,Cardamine bellidifolia,Bartsia alpina,Carex lachenalii,Juncus trifidus,Juncus biglumis,Salix sp,Luzula arcuata,Ranunculus nivalis,Pinguicula sp,Euphrasia frigida,Cassiope hypnoides,Luzula multiflora,Selaginella selaginoides,Tofieldia pusilla,Carex bigelowii,Minuartia sp
89,"Latnja","Silene acaulis",24,"open",25,15,,,,13,,,2,,,,,,,,2,,,,,,,,,,,,8,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",25,"cushion",28,25,,,,14,,,1,,,,,,,,,,,,,,,7,,,,,,8,,1,,,,,,,,,,
89,"Latnja","Silene acaulis",25,"open",28,25,3,1,,8,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",26,"cushion",25,18,1,,,26,2,,,,,,,,,,1,,2,,,,,,,,,,1,,,,,2,,1,,,,,,
89,"Latnja","Silene acaulis",26,"open",25,18,1,,,6,,,,,,,10,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",27,"cushion",30,24,,,,12,,,,2,,,,1,,,,,5,,2,,,,,,,,,,,,6,,,,6,,,,,
89,"Latnja","Silene acaulis",27,"open",30,24,,,,5,,,,,,,4,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",28,"cushion",24,10,,,,8,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",28,"open",24,10,,,,17,,,1,,,,,,,1,,,10,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",29,"cushion",36,26,,,,17,,,,2,,,,,,,,,11,,,,,,,1,,,,,,,,,,,,10,,,,
89,"Latnja","Silene acaulis",29,"open",36,26,,,,7,4,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",30,"cushion",27,19,,,,18,2,,2,,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,5,,,,,
89,"Latnja","Silene acaulis",30,"open",27,19,,,,13,1,,,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,2,,,,,
89,"Latnja","Silene acaulis",31,"cushion",20,18,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",31,"open",20,18,,,,,,,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
