siten,sitespecies,sitehabscoremean,scorese,nmdsmeaneffectsize,nmdscveffectsize,diveffectsize,divalleffectsize,opendivmean,alldivmean,denseffectsize,densalleffectsize,opendensmean,alldensmean,metric
60,31,0.19643615,0.08400707,0.04459546,-0.834249,-17.696832,-10.601629,9.80033333,9.21633333,-10.17488,-8.305634,82.15946333,77.08865833,82
60,19,0.319893,0.07354154,2.9075328,-1.021856,36.78993248,61.21564034,3.47733333,5.5815,37.98500657,69.38389468,54.32133333,140.6,83
70,15,0.44728033,0.06731569,0.2176379,-0.926986,53.864296,97.18311693,3.44314286,5.61442857,3.17476692,64.85484289,38.79442857,79.34685714,84
82,55,0.20962441,0.05801362,1.22861862,0.62613449,54.76140825,94.93469771,10.72012195,16.66170732,18.29828014,92.30089655,174.92414634,374.1495122,85
80,27,0.56976151,0.06002684,0.57767939,1.33289131,78.70861869,96.79520614,1.034,3.779125,71.30227505,85.67465959,1.807625,11.232,86
80,25,0.61293258,0.05282439,3.41210469,-1.181502,116.75014557,139.43574712,1.38825,5.154625,85.53689677,98.475316,2.21325,14.18825,87
78,49,0.7668952,0.04427554,4.55325225,-3.038931,152.6277266,155.1216544,1.02884615,8.26025641,95.70647697,101.93221948,1.73115385,32.32141026,88
50,40,-0.001843,0.090479287,2.985819192,0.832611461,-1.67186,65.084259081,4.9248,7.6924,16.374045944,57.602578481,19.7364,45.0898,89
90,28,0.22398475,0.07433476,1.37556628,0.4984751,28.09813622,72.90902942,1.69133333,2.93755556,44.01309431,96.32906525,3.32444444,8.74288889,90
100,36,0.22170958,0.06224635,3.65815242,-1.227691,33.77875453,96.68669831,2.9038,4.7758,77.97244028,100.93183172,7.0828,24.7206,91
100,26,0.39970603,0.06829257,2.48512366,1.28092516,53.22104612,76.94308969,0.9606,2.3623,41.9415645,56.91377533,2.3216,8.2205,92
