Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Area cm2,Acronema sp,Anaphalis contorta,Androsaceae sermentosa,Arasaema jaqmontii,Artimisia gmelinii,Aster himailacus,Avena fatua,Bistorta vivipara,Calamogrostis pseudophragmites,Carex sp,Cortia depressa,Cyananthus himalaicus,Cyananthus microphyllus,Cyperus sp,Deyeuxia scabrescens,Dubyaea hispida,Elsholtzia eriostachya,Ephedra gerardiana,Epilobium cylindricum,Eritrichium nanum,Euphorbia stracheyi,Gentiana depressa,Gentiana ornata,Gentianella falcata,Geranium donianum,Grebera nivea,Herminium macrophyllum,Juncus thomsonii,Lentopodium jocacianum,Morane nepalensis,Neottianthe calcicola,Nepeta lamiopsis,Parnesia nubicola,Pedicularis roylei,Pedicularis siphonantha,Polygonatum sp,Potentilla microphylla,Potentilla multifida,Potentilla sp,Rhodiola fastigiata,Saxifraga brachypoda,Saxifraga moorcroftiana,Sedum sp,Silene gonosperma ssp himalayensis,Stellaria patens,Swertia ciliata,Thallictrum alpinum,Themeda trianda,Veronica ciliata,Veronica himailaica,Veronica sp,Viola biflora,Botrychium lunaria,Paraceterach marantae,Pteridophyte
85,"Langtang-Kyanngjing Valley","Astragalus sp.",17,"Open",,,7298.67,,6,,,,,,,29,,,,,50,28,,,,,3,,95,,4,,3,2,,29,,,7,,,,,,12,,,,19,,,,,,14,4,6,15,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",18,"Cushion",38,26,988,,19,,,,,,5,25,,,14,,12,6,,,,,,,,,,,1,,,,,,,,,,,,5,1,,,3,,,,,3,5,,1,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",18,"Open",,,988,,32,,,,,,5,,,,3,,18,10,,,,,,,,,,,2,,,,,,3,,,,1,,,1,,,2,,,,,1,,,2,1,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",19,"Cushion",71,37,2627,,,,,,,7,,15,,,,,25,29,,,,,,,22,,13,,,,,15,,1,,7,,,,,7,,,,15,4,1,,,2,,3,,,9,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",19,"Open",,,2627,,,,,,,,,18,,,11,,42,15,,,,,,,23,,,,,1,,,,,,11,,,,,12,7,,,17,,,,1,10,,3,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",20,"Cushion",80,50,4000,,12,,,,,,,25,,,18,,31,42,,,3,,,,32,,,4,2,,,,,,,,,,,,6,,,,13,,3,,,16,12,1,,2,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",20,"Open",,,4003.28,,,,,,,,,30,,,44,,22,12,,,1,,,,94,,3,1,,,,30,,,,,,,,,16,,,,26,,12,,,7,,7,,,6,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",21,"Cushion",74,34,2516,,7,22,,,4,,1,21,,,17,,35,5,2,,,,,,11,,,,,,,,,4,,3,1,1,,,9,,,,7,2,1,,,2,,1,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",21,"Open",,,2516.07,,1,23,,,,,1,71,,,15,,14,6,2,,,,,,52,,3,,,,,22,,,,30,,1,,,6,,,,17,,,,,,,1,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",22,"Cushion",71,49,3479,,,9,,,,1,5,40,,,,,31,29,7,,,,,,18,,1,3,1,,,5,1,,,9,,,,,,,,,9,,,,,,7,,1,,,3,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",22,"Open",,,3483.68,,,31,,,5,,13,22,,,10,,35,18,,,,,,,60,,,2,2,5,,,,,,24,,1,,,16,5,,,42,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",23,"Cushion",52,39,2028,,25,3,,,,2,,95,,,18,,10,18,,,,,,,,,,,,,2,33,,,,,,,,,7,,,,13,,,,2,,7,3,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",23,"Open",,,2028,,,15,,,,,,,,,17,,33,10,,,,,,,2,,,,,5,,8,,,,10,,,,,1,,,,50,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",24,"Cushion",45,40,1800,,,23,,,,17,,10,,,11,,33,18,,,,,,,,,3,,,13,2,6,,,,13,,,,,,,,,15,,,,4,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",24,"Open",,,1809,,1,5,,,,,,9,,,8,,29,6,,,,,,,44,,1,,,,,30,,,,18,2,,,,6,,,,19,,,,,,,,,,,,,
