"site","cushion","code","sample","cushion.open","diam1","diam2","area","Agrostis foliata","Azorella aretioides","Azorella pedunculata-corymbosa","Baccharis caespitosa","Bartsia stricta","Castilleja nubigena","Cerastium floccosum","Chuqiragua jussieui","Draba aretioides","Ephedra americana","Erigeron ecuadoriensis","Gentiana sedifolia","Huperzia crassa","Hypochaeris sessiliflora","Lucilia kunthiana","Lupinus microphyllus","Luzula racemosa","Moss","Myrosmodes sp","Nototriche hartwegii","Oreomyrrhis andicola","Pernettya prostrata","Poaceae spp","Ranunculus peruvianus","Senecio canescens","Senecio nivalis","Valeriana alypifolia","Valeriana rigida","Werneria nubigena","Werneria pumila","Xenophyllum rigidum (infrasp Level)"
"Ecuador Xenophyllum","Xenophyllum rigidum",2,13,"open",,,26,,,,4,,,1,,,,,,,,,,,,,,,,1,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,14,"open",,,79,2,,,16,,,,,,,,,1,7,,,,,2,,,,12,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,15,"open",,,34,,,,2,,,,,,,,,,7,,,,,,,,,4,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,16,"open",,,27,,,,4,,,,,,,,,,1,,,,,,,,,3,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,17,"open",,,35,1,,,12,,,,,,,1,6,,1,,,,,,,,,5,,,,,,,,1
"Ecuador Xenophyllum","Xenophyllum rigidum",2,18,"open",,,43,,,,9,,,,,,,,,,1,,,,,,,,,1,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,19,"open",,,37,,,,6,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,20,"open",,,40,,,,2,,,,,,,,,,3,,,,,,,,,1,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,21,"open",,,52,,,,1,,1,,,,,,,,3,,,,,10,,,1,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,22,"open",,,50,,,,15,,,1,,,,,,,1,,1,,,,,,,1,,,11,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,23,"open",,,32,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,24,"open",,,39,,,,11,,,,,,,,,,1,,,,,,,,,3,,,4,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,25,"open",,,48,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,26,"open",,,44,1,,,6,,,,,,,,,,2,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,27,"open",,,47,,,,18,,,,,,,,,,1,,,,,2,,,,2,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,28,"open",,,66,1,,,3,,1,,,,,,,,1,,,,,,,,,1,,,3,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,29,"open",,,27,1,,,13,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,30,"open",,,61,1,,,19,,,2,,,,,2,,,,,,,,,,,7,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,31,"open",,,33,4,,,8,,,1,,,,,,,1,,,,,,,,,2,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,32,"open",,,55,4,,,33,,,,,,,1,,,3,,,,,2,,,,3,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,33,"open",,,38,2,,,14,,,1,,,,,,,1,,,,,,,,,2,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,34,"open",,,44,,,,10,,,,,,,3,,,5,,,,,1,,,,9,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,35,"open",,,56,10,,,5,,,,,,,,,,4,,,,,,,,,,,,3,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,36,"open",,,38,1,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,37,"open",,,33,4,,,2,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,38,"open",,,33,3,,,12,,,,,,,,,,,,,,,,,,,2,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,39,"open",,,49,1,,,10,,,1,,,,,,,4,,,,,,,,,6,,,6,,,,,
