"site","cushion","code","sample","cushion.open","diam1","diam2","area","Azorella trifurcata","Calamagrostis curvula","Calamagrostis sp","Festuca sp","Moschopsis monocephala","Nototriche aruicoma","Parastrephia lepidophylla","Perezia atacamensis","Senecio puchii","Unknown","Werneria glaberrima"
"Atacama","Pycnophyllum bryoides",5,100,"cushion",,,,,,,,,,,,,,1
"Atacama","Pycnophyllum bryoides",5,1,"open",,,,,,,,,,,1,,,
"Atacama","Pycnophyllum bryoides",5,2,"open",,,,,,,2,,,,,,,
"Atacama","Pycnophyllum bryoides",5,3,"open",,,,,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,4,"open",,,,1,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,5,"open",,,,,,,2,,,,,,,
"Atacama","Pycnophyllum bryoides",5,6,"open",,,,,,,2,,,,,,,
"Atacama","Pycnophyllum bryoides",5,7,"open",,,,,,,1,,,,,1,,
"Atacama","Pycnophyllum bryoides",5,8,"open",,,,,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,9,"open",,,,,,,2,,,,,,1,
"Atacama","Pycnophyllum bryoides",5,10,"open",,,,,,,3,,,,,,,
"Atacama","Pycnophyllum bryoides",5,11,"open",,,,1,1,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,12,"open",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,13,"open",,,,,,,,1,,,,,,
"Atacama","Pycnophyllum bryoides",5,14,"open",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,15,"open",,,,1,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,16,"open",,,,,1,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,17,"open",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,24,"open",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,25,"open",,,,,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,26,"open",,,,,,,,,,,1,,,
"Atacama","Pycnophyllum bryoides",5,27,"open",,,,,,,2,,,,,,,
"Atacama","Pycnophyllum bryoides",5,28,"open",,,,,,,4,,,,,,,
"Atacama","Pycnophyllum bryoides",5,29,"open",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,30,"open",,,,,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,31,"open",,,,,,,,1,,,,,,
"Atacama","Pycnophyllum bryoides",5,32,"open",,,,1,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,33,"open",,,,,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,34,"open",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,35,"open",,,,,2,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,36,"open",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,37,"open",,,,,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,38,"open",,,,,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,39,"open",,,,,,,,,,,1,,,
"Atacama","Pycnophyllum bryoides",5,40,"open",,,,1,,2,4,,,,,,,
"Atacama","Pycnophyllum bryoides",5,41,"open",,,,,,,,,,,,,1,
"Atacama","Pycnophyllum bryoides",5,42,"open",,,,1,,2,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,43,"open",,,,,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,44,"open",,,,,,,2,,,,,,1,
"Atacama","Pycnophyllum bryoides",5,45,"open",,,,1,,,,,,,1,,,
"Atacama","Pycnophyllum bryoides",5,46,"open",,,,,,,2,,,,,,,
"Atacama","Pycnophyllum bryoides",5,47,"open",,,,1,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,54,"open",,,,1,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,55,"open",,,,,,,2,,,,,,,
