Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),no flowers,no species,no plants,aster,carex,caryo,draba,draba (yellow),festuca,Koeleria macrantha,penstemon heterodoxus,phlox,plantago,trifolium andersonii
101,"White Mountains","Eriogonum sp.",18,"on cushion",24,19,62,4,22,,3,,,,8,,,,2,9
101,"White Mountains","Eriogonum sp.",18,"in open",24,19,,,,,5,1,1,,,2,,,,9
101,"White Mountains","Eriogonum sp.",19,"on cushion",18,18,42,3,13,,,,,,3,5,,,,5
101,"White Mountains","Eriogonum sp.",19,"in open",18,18,,,,,,,1,,,4,,,,3
101,"White Mountains","Eriogonum sp.",20,"on cushion",17,15,35,2,9,,,,,,,5,,,,4
101,"White Mountains","Eriogonum sp.",20,"in open",17,15,,,,,1,,,,,4,,,,5
101,"White Mountains","Eriogonum sp.",21,"on cushion",35,20,40,4,21,,,,,,2,14,,,2,2
101,"White Mountains","Eriogonum sp.",21,"in open",35,20,,,,3,,,,,,15,,,,6
101,"White Mountains","Eriogonum sp.",22,"on cushion",22,15,40,3,20,,,,,,,7,,,1,12
101,"White Mountains","Eriogonum sp.",22,"in open",22,15,,,,,,,,,,6,,,,11
101,"White Mountains","Eriogonum sp.",23,"on cushion",27,18,45,4,17,1,,,,,,12,,2,,2
101,"White Mountains","Eriogonum sp.",23,"in open",27,18,,,,1,,,,,,,,,2,6
101,"White Mountains","Eriogonum sp.",24,"on cushion",21,18,42,4,10,,,,,,,3,,1,3,3
101,"White Mountains","Eriogonum sp.",24,"in open",21,18,,,,,,,,,,4,,2,,9
101,"White Mountains","Eriogonum sp.",25,"on cushion",30,26,88,6,18,1,1,,1,,,9,,,4,2
101,"White Mountains","Eriogonum sp.",25,"in open",30,26,,,,,,,,,,,,,,4
101,"White Mountains","Eriogonum sp.",26,"on cushion",36,21,60,4,13,1,3,,1,,,8,,,,
101,"White Mountains","Eriogonum sp.",26,"in open",36,21,,,,3,,,,,,8,,,1,
101,"White Mountains","Eriogonum sp.",27,"on cushion",35,28,65,4,19,3,,,1,,,14,,,1,
101,"White Mountains","Eriogonum sp.",27,"in open",35,28,,,,2,,,,,,22,,,2,3
101,"White Mountains","Eriogonum sp.",28,"on cushion",32,22,28,5,26,3,,,,,,13,,,4,5
101,"White Mountains","Eriogonum sp.",28,"in open",32,22,,,,,,,,,1,10,,,1,8
101,"White Mountains","Eriogonum sp.",29,"on cushion",22,12,15,3,20,,,,,,,10,,,5,5
101,"White Mountains","Eriogonum sp.",29,"in open",22,12,,,,,4,,,,,6,,,1,6
101,"White Mountains","Eriogonum sp.",30,"on cushion",36,24,75,6,27,,5,,1,,,7,,2,6,6
101,"White Mountains","Eriogonum sp.",30,"in open",36,24,,,,,,,,,,7,,,10,10
101,"White Mountains","Eriogonum sp.",31,"on cushion",34,15,22,5,17,,,,,1,3,9,1,,3,
101,"White Mountains","Eriogonum sp.",31,"in open",34,15,,,,4,,,6,,3,,,,,12
101,"White Mountains","Eriogonum sp.",32,"on cushion",15,23,70,3,23,,,,,,,10,,,5,8
101,"White Mountains","Eriogonum sp.",32,"in open",15,23,,,,3,,,,,,3,,,,5
101,"White Mountains","Eriogonum sp.",33,"on cushion",32,29,35,6,30,2,,,,,1,20,1,,1,5
101,"White Mountains","Eriogonum sp.",33,"in open",32,29,,,,3,,,,1,,2,3,,,3
101,"White Mountains","Eriogonum sp.",34,"on cushion",23,21,30,4,7,,,,,1,4,,,,,1
101,"White Mountains","Eriogonum sp.",34,"in open",23,21,,,,,,,,,1,,,,,3
101,"White Mountains","Eriogonum sp.",35,"on cushion",22,20,35,4,7,,,,1,,1,1,,,,1
101,"White Mountains","Eriogonum sp.",35,"in open",22,20,,,,,,,,,1,,6,,,
101,"White Mountains","Eriogonum sp.",36,"on cushion",24,15,32,5,27,6,,,,,3,12,,,1,5
101,"White Mountains","Eriogonum sp.",36,"in open",24,15,,,,1,,,,,1,5,,,2,5
101,"White Mountains","Eriogonum sp.",37,"on cushion",23,22,60,3,12,,,,,,5,2,,,,2
101,"White Mountains","Eriogonum sp.",37,"in open",23,22,,,,,,,,,,12,,,,
101,"White Mountains","Eriogonum sp.",38,"on cushion",16,17,55,4,14,6,,,,,,5,,,,2
101,"White Mountains","Eriogonum sp.",38,"in open",16,17,,,,5,,2,,,1,1,,,3,1
101,"White Mountains","Eriogonum sp.",39,"on cushion",19,18,55,4,18,5,,,1,,8,,,,,4
101,"White Mountains","Eriogonum sp.",39,"in open",19,18,,,,,,1,1,,,1,,,,5
101,"White Mountains","Eriogonum sp.",40,"on cushion",27,19,20,4,9,,,,,,6,1,,,1,1
101,"White Mountains","Eriogonum sp.",40,"in open",27,19,,,,,,,1,,,5,,,,
101,"White Mountains","Eriogonum sp.",41,"on cushion",25,28,69,5,17,3,3,,,,8,,,,1,3
101,"White Mountains","Eriogonum sp.",41,"in open",25,28,,,,1,,5,,,5,1,,,,6
101,"White Mountains","Eriogonum sp.",42,"on cushion",40,23,65,4,17,1,,10,,,2,4,,,,
101,"White Mountains","Eriogonum sp.",42,"in open",40,23,,,,,6,,,,,5,,,,
101,"White Mountains","Eriogonum sp.",43,"on cushion",15,16,32,4,12,2,6,,,,2,,,,,2
101,"White Mountains","Eriogonum sp.",43,"in open",15,16,,,,,5,,,,1,,,,,4
101,"White Mountains","Eriogonum sp.",44,"on cushion",24,21,55,2,15,,1,,,,4,,,,,
101,"White Mountains","Eriogonum sp.",44,"in open",24,21,,,,2,6,,,,1,1,,,,
101,"White Mountains","Eriogonum sp.",45,"on cushion",15,15,35,4,10,1,,,,,1,7,,,1,
101,"White Mountains","Eriogonum sp.",45,"in open",15,15,,,,,2,2,,,,,,,,
101,"White Mountains","Eriogonum sp.",46,"on cushion",34,29,75,8,36,5,1,,2,,10,7,,,2,4
101,"White Mountains","Eriogonum sp.",46,"in open",34,29,,,,1,4,,,,6,6,,1,,15
101,"White Mountains","Eriogonum sp.",47,"on cushion",13,18,28,3,15,,,,,,,6,,,6,3
101,"White Mountains","Eriogonum sp.",47,"in open",13,18,,,,,,,2,,,10,,,3,
