Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Achillea millefolium alpicola,Agoseris villosa,Agrostis spp1,Agrostis spp2,Anenome parviflora,Antenaria lanata,Aquilegia caerula,Aquilegia caerulea,Arenaria rossii,Arnica alpina,Artemisia frigida,Astrag bourgovii,Astragalus kentrophyta,Bessyea wyomingensis,Bromus spp,Bupleurum americanum,Carex geyeri,Carex parryana,Cerastium alpinum,Cerastrium vulgare,Claytonia megarhriza,Dodecatheon pulchellum,Draba oligosperma,Erigeron lanatus,Erigonum subalpinum,Festuca idahoensis,Fritillaria pudica,Galium boreale,Geum rossii,Gnaphalium decurrens,Hedysarum alpinum,Heuchera parviflora,Linum lewisii,Lupinus sericeus,Mertensia lanceolata,Minuartia obtusiloba,Myosotis sylvatica alpestris,Oxyria digyna,Oxytropis campestris,Pedicularis bracteosa,Penstemon lyallii,Phacelia sericea,Plantago tweedyi,Poa alpina,Poa sandbergii,Polemonium boreale,Polygonum viviparum,Potentila diversifolia,Potentilla fruiticosa,Saussarea weberi,Saxifraga occidentalis,Saxifraga bronchialis,Saxifraga ascendens,Saxifraga lyallii,Saxifraga rhomboidea,Sedum lanceolata,Sedum roseum,Senecio canus,Senecio triangularis,Smelowskia calycina,Stenanthium occidentale,Synthris pinnatifia,Taraxacum vulgare,Tofieldia glutinosa,UNK1,UNK2,UNK fuzzy
98,"Windy Pass 2","Silene acaulis",59,"open",19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",60,"cushion",21,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,1,1,1,,,,,,,,1,,,1,,,,,,,
98,"Windy Pass 2","Silene acaulis",60,"open",21,19,,,,,,,,,,,,,3,,,,1,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
98,"Windy Pass 2","Silene acaulis",61,"cushion",24,43,,,,,,,,,,,8,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,3,,,,,,,,,,,,4,,,,,,,
98,"Windy Pass 2","Silene acaulis",61,"open",24,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",62,"cushion",16,22,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,6,,,,2,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",62,"open",16,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",63,"cushion",24,34,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
98,"Windy Pass 2","Silene acaulis",63,"open",24,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",64,"cushion",26,22,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,3,,,,3,,,,2,,,,,,,
98,"Windy Pass 2","Silene acaulis",64,"open",26,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",65,"cushion",26,20,,,12,,,1,,,,,,,,,,,11,,,,,,,,,4,,,,,1,,,,,,,,,1,4,,,11,,,,3,1,1,,,,,,,,1,,4,,1,,,,,
98,"Windy Pass 2","Silene acaulis",65,"open",26,20,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",66,"cushion",25,27,,,,,,,,,,,2,,5,,,,11,,,,,,,,,,,,1,,2,,,1,,,1,,,,,,1,24,,2,,12,,3,,,,,,,,1,,7,,,,,,,
98,"Windy Pass 2","Silene acaulis",66,"open",25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",67,"cushion",31,28,1,,,,,,,,,,,,,2,,,4,,,,,,,,,3,,,,,,,,,2,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,4,,,
98,"Windy Pass 2","Silene acaulis",67,"open",31,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",68,"cushion",17,14,,,2,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",68,"open",17,14,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",69,"cushion",65,30,3,,,,,,,,,,,,2,2,,3,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,9,4,,,,,,,,,,,,4,,,,,,,
98,"Windy Pass 2","Silene acaulis",69,"open",65,30,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",70,"cushion",23,17,,,,,,,,,,,,,3,1,,2,10,,,,,,,,,,,,,,,,,,,,1,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",70,"open",23,17,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",71,"cushion",48,41,6,,,2,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,3,,,,1,,,,,2,,,6,,,,,,,
98,"Windy Pass 2","Silene acaulis",71,"open",48,41,,,,1,,,,,,,,,,,,,11,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",72,"cushion",54,32,7,,,3,,,,,,1,5,,,2,,,9,,,,,,,,,,,1,,,,,,,4,,,,,,,,,,,,2,2,2,,,3,,,,,,,,2,,,,,,,
98,"Windy Pass 2","Silene acaulis",72,"open",54,32,3,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,
98,"Windy Pass 2","Silene acaulis",73,"cushion",23,21,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,8,,,,,,,,12,,,,1,,,,,,,,,,,,1,,,,,,,
98,"Windy Pass 2","Silene acaulis",73,"open",23,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",74,"cushion",25,25,,,2,,,,,,,,,,,,,,6,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",74,"open",25,25,,,,2,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,2,,,,,,,,,,,1,,,1,,,,,,,
98,"Windy Pass 2","Silene acaulis",75,"cushion",31,28,,,12,,,3,,,1,,1,,5,,,,3,,,,,2,,4,,2,2,,,,2,1,,,,,,,4,,,1,,14,,1,,14,,1,,,,,,,,4,,12,,,,1,,,
98,"Windy Pass 2","Silene acaulis",75,"open",31,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",76,"cushion",32,34,,,2,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,1,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",76,"open",32,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",77,"cushion",29,21,,,2,,,,,,,,,,3,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",77,"open",29,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",78,"cushion",29,27,,,6,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",78,"open",29,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",79,"cushion",29,26,11,,3,,,,,,,,,,3,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,6,,,,,5,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",79,"open",29,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",80,"cushion",28,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,11,,,,,,,
98,"Windy Pass 2","Silene acaulis",80,"open",28,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",81,"cushion",25,26,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,5,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,
98,"Windy Pass 2","Silene acaulis",81,"open",25,26,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",82,"cushion",34,29,,,,,,,,,,,,,6,2,,,,,,,,,,,,2,,,,,,1,,,,1,,,,,,,,,,1,,14,,,,,,,,,1,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",82,"open",34,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",83,"cushion",39,22,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,4,,,,,3,,,3,,,,,3,,
98,"Windy Pass 2","Silene acaulis",83,"open",39,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",84,"cushion",26,23,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",84,"open",26,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
98,"Windy Pass 2","Silene acaulis",85,"cushion",42,28,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,6,,1,,,,,,,,3,,3,,,,,,,
98,"Windy Pass 2","Silene acaulis",85,"open",42,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,1,,,,,,,
98,"Windy Pass 2","Silene acaulis",86,"cushion",31,27,,,5,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,2,,,,,,,,,,3,2,4,,3,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",86,"open",31,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",87,"cushion",20,17,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
98,"Windy Pass 2","Silene acaulis",87,"open",20,17,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",88,"cushion",32,22,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",88,"open",32,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
98,"Windy Pass 2","Silene acaulis",89,"cushion",34,35,1,,3,,,,,,,,2,,2,1,,,12,,,1,,,,7,,,,,11,,,1,,,2,3,,1,,,,,,12,,,4,,,,,,,,,1,,2,,5,,,1,,,,
98,"Windy Pass 2","Silene acaulis",89,"open",34,35,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",90,"cushion",31,29,2,,3,,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,2,,,6,,3,,,,,,1,,,,3,,,,,,,
98,"Windy Pass 2","Silene acaulis",90,"open",31,29,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",91,"cushion",18,16,,,4,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",91,"open",18,16,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",92,"cushion",25,22,2,,,,,,,,,3,,,,,3,,1,,,,,,,,,2,,,,,5,,,,,,,,,,,,,1,,,,4,,,,1,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",92,"open",25,22,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",93,"cushion",47,26,3,,,5,,,,,,3,,,4,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,6,,,,,,,,1,,,,4,,,,,,,
98,"Windy Pass 2","Silene acaulis",93,"open",47,26,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",94,"cushion",34,25,15,,7,,,,,,,6,,,1,3,,,4,,,4,,,,,,6,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,1,,,,,,,
98,"Windy Pass 2","Silene acaulis",94,"open",34,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",95,"cushion",44,32,1,,6,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",95,"open",44,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,7,,,,,,,
98,"Windy Pass 2","Silene acaulis",96,"cushion",38,32,,,,,,,,,,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",96,"open",38,32,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",97,"cushion",12,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",97,"open",12,9,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
98,"Windy Pass 2","Silene acaulis",98,"cushion",10,20,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",98,"open",10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",99,"cushion",15,12,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,
98,"Windy Pass 2","Silene acaulis",99,"open",15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",100,"cushion",21,17,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,3,,,,,,,
98,"Windy Pass 2","Silene acaulis",100,"open",21,17,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",101,"cushion",28,20,1,,,,,,,,,,,1,,2,,1,12,,,,,,,,,3,,,,,,,,,,1,1,,,,,,,,,1,,4,,,,,,,,,,,,2,,,,1,,,
98,"Windy Pass 2","Silene acaulis",101,"open",28,20,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",102,"cushion",16,16,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,5,,,,,,,,2,,,,,,,
98,"Windy Pass 2","Silene acaulis",102,"open",16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",103,"cushion",21,17,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,4,,,,2,,,,,,,,,,,,4,,,,,,,
98,"Windy Pass 2","Silene acaulis",103,"open",21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",104,"cushion",32,22,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,3,,2,,,,,,,
98,"Windy Pass 2","Silene acaulis",104,"open",32,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",105,"cushion",26,16,,,2,,,,,,,,,,,,,,,2,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,,,,,,,
98,"Windy Pass 2","Silene acaulis",105,"open",26,16,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",106,"cushion",19,15,,,,,,,,,,,,,,,1,,6,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,
98,"Windy Pass 2","Silene acaulis",106,"open",19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",107,"cushion",22,15,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",107,"open",22,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",108,"cushion",21,15,,,,,,,,,,,,,,,,,,4,,,,,,,,1,5,3,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",108,"open",21,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",109,"cushion",14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,
98,"Windy Pass 2","Silene acaulis",109,"open",14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",110,"cushion",19,14,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,1,,,,,,,,,,1,,3,,,,1,,1,
98,"Windy Pass 2","Silene acaulis",110,"open",19,14,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",111,"cushion",19,10,,,2,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,3,,,,
98,"Windy Pass 2","Silene acaulis",111,"open",19,10,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",112,"cushion",20,14,,,2,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,4,,,,,,,,,,,,,2,,,,,,,,,,1,,1,,,1,,,,
98,"Windy Pass 2","Silene acaulis",112,"open",20,14,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",113,"cushion",30,18,,,3,,,,,,,,,1,,,,1,,,,,,,,1,,7,4,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,
98,"Windy Pass 2","Silene acaulis",113,"open",30,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",114,"cushion",13,13,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,3,,,,,,,
98,"Windy Pass 2","Silene acaulis",114,"open",13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
