Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Achillea millefolium alpicola,Agoseris villosa,Agrostis spp1,Agrostis spp2,Anenome parviflora,Antenaria lanata,Aquilegia caerula,Aquilegia caerulea,Arenaria rossii,Arnica alpina,Artemisia frigida,Astrag bourgovii,Astragalus kentrophyta,Bessyea wyomingensis,Bromus spp,Bupleurum americanum,Carex geyeri,Carex parryana,Cerastium alpinum,Cerastrium vulgare,Claytonia megarhriza,Dodecatheon pulchellum,Draba oligosperma,Erigeron lanatus,Erigonum subalpinum,Festuca idahoensis,Fritillaria pudica,Galium boreale,Geum rossii,Gnaphalium decurrens,Hedysarum alpinum,Heuchera parviflora,Linum lewisii,Lupinus sericeus,Mertensia lanceolata,Minuartia obtusiloba,Myosotis sylvatica alpestris,Oxyria digyna,Oxytropis campestris,Pedicularis bracteosa,Penstemon lyallii,Phacelia sericea,Plantago tweedyi,Poa alpina,Poa sandbergii,Polemonium boreale,Polygonum viviparum,Potentila diversifolia,Potentilla fruiticosa,Saussarea weberi,Saxifraga occidentalis,Saxifraga bronchialis,Saxifraga ascendens,Saxifraga lyallii,Saxifraga rhomboidea,Sedum lanceolata,Sedum roseum,Senecio canus,Senecio triangularis,Smelowskia calycina,Stenanthium occidentale,Synthris pinnatifia,Taraxacum vulgare,Tofieldia glutinosa,UNK1,UNK2,UNK fuzzy
98,"Windy Pass 2","Silene acaulis",11,"open",34,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",12,"cushion",22,18,1,,,,,,,,1,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",12,"open",22,18,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,1
98,"Windy Pass 2","Silene acaulis",13,"cushion",21,22,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,
98,"Windy Pass 2","Silene acaulis",13,"open",21,22,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",14,"cushion",22,22,,,,,,,,,1,,,,2,1,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,2,,,,,,,,1,,,2,1,,,,,,
98,"Windy Pass 2","Silene acaulis",14,"open",22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",15,"cushion",13,13,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",15,"open",13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",16,"cushion",25,18,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",16,"open",25,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",17,"cushion",55,25,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,16,2,,,,,,,,,,,6,,,,1,,,
98,"Windy Pass 2","Silene acaulis",17,"open",55,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,1,,,
98,"Windy Pass 2","Silene acaulis",18,"cushion",19,14,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,2,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",18,"open",19,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",19,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",19,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",20,"cushion",,,4,,,,,,,,,,,,9,,,1,1,,,,,,,,2,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,1,,,,,4,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",20,"open",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",21,"cushion",18,12,5,,,1,,,,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",21,"open",18,12,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",22,"cushion",21,12,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,
98,"Windy Pass 2","Silene acaulis",22,"open",21,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",23,"cushion",52,14,2,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,2,,,,,,,,1,,,,2,,,2,,,,,,,
98,"Windy Pass 2","Silene acaulis",23,"open",52,14,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,
98,"Windy Pass 2","Silene acaulis",24,"cushion",11,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,1,,2,,,,,,,
98,"Windy Pass 2","Silene acaulis",24,"open",11,10,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",25,"cushion",34,19,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,2,,2,,,,1,,,,2,,,,,,2,,5,,,,,,,
98,"Windy Pass 2","Silene acaulis",25,"open",34,19,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
