Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Agrostis nevadensis,Alyssum nevadense,Asperula aristata ssp scabra,Biscutella glacialis,Cytisus galianoi,Erigeron frigidus,Erophila verna,Eryngium glaciale,Euphorbia nevadensis ssp nevadensis,Euphrasia willkommii,Festuca indigesta,Galium pyrenaicum,Herniaria boissieri ssp boissieri,Jasione amethystina,Jurinea humulis,Leontodon boryi,Leucanthemopsis pectinata,Linaria aeruginea ssp nevadensis,Nevadensia purpurea,Pilosella sp,Poa ligulata,Ranunculus demissus,Rumex angiocarpus,Senecio boissieri,Thymus serpylloides ssp serpylloides
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",95,"cushion",26,26,3,,,,,,,,,,4,,,,,,,,,,4,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",95,"open",26,26,1,,,,,,,,,,2,,,,,,,,,,8,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",96,"cushion",20,19,12,,,,1,,,,,,,,,,1,,,,,,4,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",96,"open",20,19,1,,,,,,,,,,1,,,,,,,,,,9,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",97,"cushion",20,21,8,,,,,,,,,,1,,,,,,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",97,"open",20,21,5,,,,,,,,,,,,,,,,,,,,14,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",98,"cushion",19,18,,,,,,,,,,,1,,,,,,1,,,,4,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",98,"open",19,18,,,,,1,,,,,,1,,,,,,,,,,10,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",99,"cushion",20,16,7,,,,,,,,,,1,,,,,1,,,,,4,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",99,"open",20,16,,,,,,,,,,,2,,,,,,,,,,9,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",100,"cushion",22,21,10,,,,,,,,,,3,,,,,5,,,,,8,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",100,"open",22,21,1,,,,,,,,,,,,,,,,,,,,12,,,,
