Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Agrostis nevadensis,Alyssum nevadense,Asperula aristata ssp scabra,Biscutella glacialis,Cytisus galianoi,Erigeron frigidus,Erophila verna,Eryngium glaciale,Euphorbia nevadensis ssp nevadensis,Euphrasia willkommii,Festuca indigesta,Galium pyrenaicum,Herniaria boissieri ssp boissieri,Jasione amethystina,Jurinea humulis,Leontodon boryi,Leucanthemopsis pectinata,Linaria aeruginea ssp nevadensis,Nevadensia purpurea,Pilosella sp,Poa ligulata,Ranunculus demissus,Rumex angiocarpus,Senecio boissieri,Thymus serpylloides ssp serpylloides
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",35,"cushion",10,10,,,,,1,,,,,,1,,,,,1,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",35,"open",10,10,,,,,,,,,1,,,,,,,,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",36,"cushion",16,12,,,,,,,,,2,,3,,,,,1,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",36,"open",16,12,,,,,,,1,,,,,,,,,1,,,,,8,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",37,"cushion",13,20,4,,,,,,,,3,,,,,,,,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",37,"open",13,20,,,,,,,,,1,,,,,,,,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",38,"cushion",15,14,,,,,,,,,,,3,,,2,,1,,,,,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",38,"open",15,14,1,,,,,,,,1,,,,,,,1,,,,,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",39,"cushion",22,25,,,,,,,,,1,,6,,,1,,,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",39,"open",22,25,,,,,,,,,,,1,,,2,,,,,,,6,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",40,"cushion",22,23,6,,,,,,,,2,,,,,2,,,,,2,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",40,"open",22,23,,,,,,,3,,1,,,,,,,,,,,,8,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",41,"cushion",24,21,6,,,,,,1,,,,,,,,10,,,,,,7,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",41,"open",24,21,,,,,,,1,,,,,,,,,,,,1,,8,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",42,"cushion",16,15,1,,,,,,,,,,,,,,1,,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",42,"open",16,15,3,,,,,,3,,,,,,,,,,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",43,"cushion",23,20,,,,,2,,,,,,,,,,,,,,,,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",43,"open",23,20,,,,,,,,,,,,,,,,,,,,,12,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",44,"cushion",16,17,2,,,,1,,,,,,1,,,1,,,,,,2,3,,1,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",44,"open",16,17,1,,,,,,13,,,,,,,,,,,,,,9,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",45,"cushion",13,12,2,,,,,,,,,,,,,,,,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",45,"open",13,12,,,,,,,,,,,,,,,,,,,,,1,,2,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",46,"cushion",19,10,8,,,,,,,,,,,,,,1,4,,,,1,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",46,"open",19,10,,,,,,,5,,,,,,,,,,,,,,7,,2,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",47,"cushion",17,15,3,,,,,,,,,,,,,,15,,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",47,"open",17,15,,,,,,,7,,,,,,,,,,,,,,8,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",48,"cushion",26,28,9,,,,,,1,,4,,1,,,,1,6,,,,,3,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",48,"open",26,28,7,,,,,,1,,2,,,,,,5,,,,,,9,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",49,"cushion",19,20,4,,,,,,,,5,,,,,,2,7,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",49,"open",19,20,1,,,,,,1,,,,,,,,5,,,,,,16,,1,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",50,"cushion",11,12,2,,2,,,,,,1,,,,,,,,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",50,"open",11,12,,,,,,,2,,2,,,,,,,,,,,,3,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",51,"cushion",21,23,6,,,,,,,,,,1,,,,,,,,,,3,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",51,"open",21,23,,,,,,,10,,,,,,,,,,,,,,9,,3,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",52,"cushion",19,19,3,,,,,,,,,,2,,,,,3,,,,,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",52,"open",19,19,,,,,,,5,,,,,,,,,1,,,,,11,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",53,"cushion",22,21,1,,,,1,,,,,,1,,,,,1,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",53,"open",22,21,3,,,,,,,,,,,,,,,,,,,,5,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",54,"cushion",15,15,1,,,,,,,,,,,,,,,,,,,,4,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",54,"open",15,15,1,,,,,,,,,,,,,,,,,,,,7,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",55,"cushion",30,23,,,,,1,,,,,,5,,,,,1,,,,,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",55,"open",30,23,,,,,,,,,,,1,,,,,1,,,,,9,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",56,"cushion",19,17,1,,,,,,,,,,,,,,,2,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",56,"open",19,17,,,,,,,1,,,,,,,,,2,,,,,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",57,"cushion",25,20,1,,,,,,,,2,,,,,2,,5,,,1,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",57,"open",25,20,,,,,,,2,,,,1,,,,,1,,,,,5,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",58,"cushion",23,20,3,,,,1,,,,2,,,,,,,2,,,,,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",58,"open",23,20,,,,,1,,1,,,,,,,,,,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",59,"cushion",22,19,,,,,,,,,,,,,,,,2,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",59,"open",22,19,,,,,,,1,,1,,1,,,,,1,,,,,7,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",60,"cushion",20,20,1,,,,1,,,,,,,,,,,8,,,,,3,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",60,"open",20,20,,,,,,,,,,,,,,,,1,,,,,8,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",61,"cushion",12,14,,,,,,,,,,,1,,,,,4,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",61,"open",12,14,,,,,1,,,,,,,,,,,,,,,,9,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",62,"cushion",14,14,,,,,,,,,,,,,,,,,,,,,3,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",62,"open",14,14,,,,,,,,,1,,1,,,,,,,,,,5,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",63,"cushion",14,16,,,,,1,,,,2,,,,,1,,2,,,,,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",63,"open",14,16,6,,,,,,3,,2,,,,,,,,,,,,6,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",64,"cushion",20,21,1,,,,,,,,2,,1,,,,,1,,,,,4,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",64,"open",20,21,,,,,1,,14,,,,,,,,,,,,,,6,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",65,"cushion",16,13,4,,,,,,,,,,,,,,,4,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",65,"open",16,13,,,,,,,,,,,,,,,,,,,,,8,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",66,"cushion",21,22,7,,,,,,,,,,,,,,,,,,,,7,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",66,"open",21,22,2,,,,1,,1,,,,,,,,,,,,,,13,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",67,"cushion",27,27,11,,,,,,,,,,,,,,,,,,,,1,,8,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",67,"open",27,27,3,,,,,,,,,,1,,,,,,,,,,6,,3,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",68,"cushion",23,23,3,,,,,,,,,,2,,,,,,,,,,13,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",68,"open",23,23,,,,,,,1,,,,,,,,,,,,,,17,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",69,"cushion",33,35,10,,,,,,,,,,,,,,,,,,,,6,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",69,"open",33,35,7,,,,,,,,,1,,,,,,,,,,,14,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",70,"cushion",24,24,6,,,,1,,,,,,3,,,,,,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",70,"open",24,24,12,,,,1,,,,,,2,,,,,,,,,,5,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",71,"cushion",13,16,7,,,,,,,,,,,,,,,,,,,6,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",71,"open",13,16,,,,,,,,,,,,,,,,,,,,4,16,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",72,"cushion",14,14,4,,,,,,,,,,,,,,,,,,,,2,,,,
