"site","cushion","code","sample","cushion.open","diam1","diam2","area","Arenaria obtusifolia","Artemisia scopulorum","Aster alpigenus","Bupleurum americanum","Carex phaeocephala","Castilleja pallescens","Cerastium arvense","Cetraria aculeata","Cetraria islandica","cf Dactylina madreporiformis","Douglasia montana","Draba paysonii","Draba praealta","Erigeron caespitosum","Erigeron rydbergii","Eritrichium nanum","Festuca ovina","Gentiana algida","Geum rossii","Koeleria crassipes","Lupinus argenteus var depressum","Luzula spicata","Phlox pulvinata","Poa alpina","Polemonium viscosum","Polygonum bistortioides","Polytrichum piliferum","Potentilla diversifolia","Sedum lanceolatum","Selaginella densa","Senecio canus","Smelowskia calicina","Trifolium nanum"
"Beartooth","Silene acaulis",31,49,"cushion",,,,4,1,,,11,,,,,4,,,,,,,,,5,,,,,,,,,2,,,,,
"Beartooth","Silene acaulis",31,50,"cushion",,,,1,1,,,18,,,,,3,,,,,,1,,,9,,,,,,,,,2,,,,,
"Beartooth","Silene acaulis",31,51,"cushion",,,,1,2,,,13,,,,,2,,,,,,1,,1,2,,,,,,,2,,1,,,,,
"Beartooth","Silene acaulis",31,52,"cushion",,,,,5,,,5,,,,,,,,,,,1,,,5,,,,,,,2,,,,,,,
"Beartooth","Silene acaulis",31,53,"cushion",,,,,12,,,10,,,,,,,,,,2,2,,,4,,,,1,,,,,,,,,,
"Beartooth","Silene acaulis",31,54,"cushion",,,,,6,,,8,,,,,1,,,,,12,,,,7,,,1,,,,1,,,,1,,,
"Beartooth","Silene acaulis",31,55,"cushion",,,,1,14,,,14,,,,,1,,,,,,1,,,5,,,,2,,,1,,,,,,1,
"Beartooth","Silene acaulis",31,58,"cushion",,,,,3,,,10,,,,,1,,,,,2,2,2,,2,,,,1,,,,,,,,,,1
"Beartooth","Silene acaulis",31,59,"cushion",,,,,6,,,14,,,,,,,,,,2,,,,13,,,,1,,,,,,,,,4,
"Beartooth","Silene acaulis",31,60,"cushion",,,,,,,,7,,,,,,,,,,4,,1,,7,,,,1,,,,,,,,,7,
"Beartooth","Silene acaulis",31,61,"cushion",,,,4,5,,,15,,,,,5,1,,,,5,,,,10,,,,1,,,,,2,,,,14,
"Beartooth","Silene acaulis",31,62,"cushion",,,,2,2,,,4,,,,,,,,,,2,,,,8,,,,,,,,,,,,,,1
"Beartooth","Silene acaulis",31,63,"cushion",,,,2,5,,,15,,,,,,,,,,,,,,3,,,,1,,,,,1,,,,,
"Beartooth","Silene acaulis",31,64,"cushion",,,,4,1,,,2,,,,,1,,,,,5,,,,14,,,,3,,,,,,,,,2,4
"Beartooth","Silene acaulis",31,65,"cushion",,,,2,2,,,5,,,,,,,,,,,,,,12,,,1,1,,,,,,,,,,
"Beartooth","Silene acaulis",31,66,"cushion",,,,4,6,,,14,,,2,,,,,,,10,1,,,1,,,,2,,,,,,,,,,
"Beartooth","Silene acaulis",31,71,"cushion",,,,3,2,,,16,,,,,1,,,,,3,,,,9,,,,2,,,,,,,,,6,
"Beartooth","Silene acaulis",31,72,"cushion",,,,,4,,,16,,,,,,,,,,,1,2,,16,,,,2,,,,,,,1,,10,
"Beartooth","Silene acaulis",31,1,"open",,,,1,5,1,,9,,,,,,,,,,,,,,6,,,,,,,,1,1,,,,,
"Beartooth","Silene acaulis",31,2,"open",,,,,2,,,6,,,,,,,,,,,,,,8,,,,1,,,,5,,,10,,,
"Beartooth","Silene acaulis",31,3,"open",,,,,2,,,12,,,,,,,,,,,,,,2,,,,,,,,1,,,3,,,
"Beartooth","Silene acaulis",31,5,"open",,,,1,5,,,9,1,,,,,,,,,,,,,4,,,,,,,,2,,,6,,,
"Beartooth","Silene acaulis",31,12,"open",,,,4,11,,,6,,,,,,,,,,,,,,5,,3,,,,,,,,2,,,,
"Beartooth","Silene acaulis",31,13,"open",,,,2,2,,,8,,,3,6,,,,,,,,,,9,,,,2,,,,,,,,,,
"Beartooth","Silene acaulis",31,14,"open",,,,,10,,,4,,,4,4,,,,,,,,2,,4,,,,,,,,2,,,1,,,
