site,cushion sp,sample,cushion/open,diam1,diam2,Raoulia hectorii,Kelleria dieffenbachii,Poa colensis,Anisotome capillifolia,Dracophyllum muscoides,Brachyglottis bellidifolia,Luzula pumilia,Aciphyllum congestum,Agrostis mulleriana,Anistome hasstii,Anisotime imbricata,Celmisia bondplanii,Celmisia glandulosa,Celmisia laricifolia,Celmisia sessilflora,Celmisia viscosa,Chianochloa sp,Chianohebe ciliata,Colobanthus buchananii,Epilobium sp,Euphraisia sp,Gaultheria nubicola,Geum uniflorum,Gentiana divisa,Haastia sinclarii,Hebe hectorii,Hectorella caespitosa,Hectorella sp,Kelleria croizatii,Leptinella goyenii,Leptinella pectinata,Luzula crinita,Marsippospermum gracile,Myosotis pulvinasris,Ourisia glandulosa,Raoulia grandiflora,lichen (Hypogymnium),lichen (Thamnolia),moss (Dichrhomalema),moss (Polytrichum),moss (Racomitrum pruinosum),moss (Racomitrum pytchophylla),dataset code
"Mt. Burns","Phyllacne_colensoi",36,"open",30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",37,"cushion",45,45,,,,,4,1,,,,,1,,,,,,,,,,,10,,1,,,,,,,,,,,5,,,,,,1,1,43
"Mt. Burns","Phyllacne_colensoi",38,"cushion",40,40,,1,1,1,4,1,,,,,,,,1,,,,1,,,,10,,,,,,,,,,,,,1,,,,,,2,,43
"Mt. Burns","Phyllacne_colensoi",41,"cushion",50,35,,1,4,,5,3,,,,,,,,4,,,,,,,,,,1,,,,5,,,,,3,,,1,,,,,4,,43
"Mt. Burns","Phyllacne_colensoi",42,"cushion",50,35,,1,,1,6,,,,,,,,,1,,,,,,,,10,,,,,,,,,,,10,,,,,,,,3,,43
"Mt. Burns","Phyllacne_colensoi",43,"cushion",33,33,1,,,,5,,,,,,,,,4,,,,1,,,,10,,1,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",43,"open",33,33,,1,,,1,6,,,,,,,,4,,,,1,,,,6,,,,,,,,1,,,,,,,,,,,3,,43
"Mt. Burns","Phyllacne_colensoi",44,"open",35,35,1,,,,1,4,1,,,,,,,5,,,,1,,,,,,,,,,,,3,,,3,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",45,"cushion",30,30,,1,,,3,1,,,,,,,,6,,,,,,,,6,,1,,1,,,,,,,,,,1,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",46,"cushion",30,30,1,2,,,2,3,,,,,,,,5,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",49,"cushion",45,40,,1,,1,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",50,"cushion",32,32,,2,2,,2,1,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,1,,1,3,43
"Mt. Burns","Phyllacne_colensoi",51,"cushion",40,40,5,,,1,6,,,,,,,,,,,,,2,,,,,,,,,,,14,12,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",51,"open",40,40,,,,1,2,,6,,,,,,,,,,,1,1,,,,,,,,,,,10,,,,,,1,,,,,1,1,43
"Mt. Burns","Phyllacne_colensoi",52,"open",50,50,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",53,"cushion",30,30,4,,,,1,2,,,,,,,,,,,,5,1,,,,,,,,,,,1,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",54,"cushion",35,25,,,2,,1,,2,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,5,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",55,"cushion",20,20,,,3,1,,,,,,,,,,,,,1,,,,,6,,,,1,,,5,,,,,,2,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",57,"open",70,35,,,4,1,1,2,3,,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,43
