site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Agrostis,Alchemilla,Anthyllis,Arenaria,Carex 1,Carex 2,Caryophyllaceae,Cerastium,Cirsium,Crepis,Daphne,Draba,Dryas octopetala,Erigeron 1,Erigeron 2,Festuca,Gentiana 1,Gentiana 2 (blue),Gentiana 3 (pointed leaves),Globularia,Helianthemum,Hieracium 1,Hieracium 2,Koeleria,Lamiaceae,Leontodon,Leucanthemum,Linaria,Oreochloa,Polygala,Saponaria caespitosa,Saxifraga 1 (creeping),Saxifraga 2 (pink/leafy),Saxifraga oppositifolia,Teucrium,Veronica,dataset code
"Benasque 1","Saponaria_caespitosa",92,"cusion",11,10,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",93,"cusion",60,40,,,2,,40,,,,,,,,,,,,,,,4,12,1,,,,,,3,9,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",1,"open",34,40,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",8,"open",30,25,,,1,,7,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",9,"open",40,24,,,1,,20,,,,,,,,,,,,,,,,6,,,,,,,,1,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",10,"open",30,34,,,2,,30,,,,,,,,,,,,,,,,7,,,,,,,,1,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",11,"open",44,28,,,1,,11,2,,,,,,,,,,,,,,,3,,,,,,,,,,,2,,,,,73
"Benasque 1","Saponaria_caespitosa",12,"open",41,43,,,1,,28,4,,,,,,,,,,,,,,,8,,,,,,,,1,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",18,"open",64,40,,,,,14,,,,,,1,1,,,,,,,,1,6,,,,,,,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",19,"open",30,30,,,1,,9,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,73
