"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena leptacantha","Adesmia sp4","Barneoudia major","Bromus setifoluis","Carex sp 2","Chaetanthera apiculata","Chaetanthera euphrasioides","Chaetanthera planiseta","Chaetanthera pusilla","Cuscuta chilensis","Erigeron andicola","Haplopappus scrobiculatus","Hordeum comosum","Hypochaeris tenuifolia","Loasa sigmoidea","Nassauvia lagascae","Nassauvia pyramidalis","Nastanthus agglomeratus","Oxalis compacta","Perezia carthamoides","Perezia pilifera","Phacelia secunda","Poa alopecurus","Poa pratensis","Pozoa coriacea","Quinchamalium chilense","Rhodophiala uniflora","Rytidosperma violaceum","Senecio bustillosianus","Senecio looseri","Senecio polygaloides","Taraxacum officinale","Thlaspi magellanicum","Trisetum preslei","Tropaeolum polyphyllum","Viola philippii"
"La Parva","Laretia_acaulis",14,94,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2
"La Parva","Laretia_acaulis",14,95,"open",,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,1,,,,,
"La Parva","Laretia_acaulis",14,96,"open",,,,,1,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3
"La Parva","Laretia_acaulis",14,97,"open",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,
"La Parva","Laretia_acaulis",14,98,"open",,,,,,,,1,,,,1,,,,,,1,,1,,,,,,3,2,,1,,,,,,,,,,
"La Parva","Laretia_acaulis",14,99,"open",,,,,,,,2,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,100,"open",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,9,"cushion",,,,,,,,,,,,,,1,,1,,,,,,,,,,3,1,,,,1,,,,,,,,
"La Parva","Laretia_acaulis",14,10,"cushion",,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,
"La Parva","Laretia_acaulis",14,11,"cushion",,,,,,,1,,,,,,,,,,,,,,2,,,,,2,1,,,,,,,1,,,1,,
"La Parva","Laretia_acaulis",14,12,"cushion",,,,,,,1,,,,,,,4,,,,,,,1,,,,,2,3,,1,,,,,1,,,,,
"La Parva","Laretia_acaulis",14,13,"cushion",,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,14,"cushion",,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,
"La Parva","Laretia_acaulis",14,15,"cushion",,,,,,,,,,,,,,5,,1,,,,,,,,,,2,,,1,,2,2,,,1,,,,
"La Parva","Laretia_acaulis",14,16,"cushion",,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,1,,2,,,,,1,,
"La Parva","Laretia_acaulis",14,17,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,2,,
"La Parva","Laretia_acaulis",14,26,"cushion",,,,,,,2,,,,,,,,,2,,,,,,,,,,2,,,,,,4,,,,,,,
"La Parva","Laretia_acaulis",14,27,"cushion",,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,28,"cushion",,,,,,,,,,,,,,,,,,,1,,,,,,,3,2,,,,,3,,1,,,,,
"La Parva","Laretia_acaulis",14,29,"cushion",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,
"La Parva","Laretia_acaulis",14,30,"cushion",,,,,,2,,,,,,,,,,3,,,,2,,,,3,,3,,,,,,,,2,,,,,
"La Parva","Laretia_acaulis",14,31,"cushion",,,,,,,3,,,,,,,2,,2,,,,,,,,,,,3,,,2,1,,,2,,,,,
"La Parva","Laretia_acaulis",14,32,"cushion",,,,,,1,2,,,,,,,,,4,,,,,,,,,,,,,,1,3,,,,1,,,,
"La Parva","Laretia_acaulis",14,33,"cushion",,,,,,,,,,,,,,1,,2,,,,,2,,,,,2,2,,,1,,,,,,,,,
"La Parva","Laretia_acaulis",14,34,"cushion",,,,3,,,5,,,,,,,7,,5,,,2,,1,,1,,,6,5,,,1,,,,2,2,1,2,,
"La Parva","Laretia_acaulis",14,43,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,
"La Parva","Laretia_acaulis",14,44,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,
"La Parva","Laretia_acaulis",14,45,"cushion",,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,46,"cushion",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,47,"cushion",,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,2,,,,,
"La Parva","Laretia_acaulis",14,48,"cushion",,,,,,,2,,,,,,,3,,6,,,,1,2,,,1,,,,,,1,2,,,,,,,,
"La Parva","Laretia_acaulis",14,49,"cushion",,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,50,"cushion",,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,7,,
