"site","cushion","code","sample","cushion.open","diam1","diam2","area","Agoseris aurantiaca","Agoseris glauca","Antenaria lanata","Arenaria congesta","Arnica diversifolia","Carex bigelowii","Castilleja miniata","Cirsium etonii","Draba cana","Erigeron tomentosa","Erigeron simplex","Festuca arizonica","Ivesia gordoni","Minuartia macrantha","Poa alpina","Potentilla gracilis","Sedum debile","Senecio amplectum","Silene acaulis","Smelowskia calycina","Solidago multiradiata","Thalictrum fendleri","Thlaspi montanum","Trisetum spicatum","UNKleaf"
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,51,"cushion",45,15,,,,1,1,,,,,,,,,2,,,,,,,,"1",,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,51,"open",,,,,,,1,,,,,,,,,1,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,52,"cushion",35,30,,,,1,1,,,,,,,,,3,,,,,,,,"3",,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,52,"open",,,,,,,,,,,1,,,,,1,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,53,"cushion",25,15,,,,,1,,,,,,,2,,1,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,53,"open",,,,,,,,,,,,,,,,1,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,54,"cushion",35,10,,,,,1,,,,,,,,,,,1,,,,,,"1",,,2,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,54,"open",,,,,,,,,,,,,,,,1,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,55,"cushion",20,30,,,1,,,,,,,,,,3,3,,,,,,,,,,12,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,55,"open",,,,,,,,,,,,,,,,3,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,56,"cushion",35,40,,,2,,,,1,,,,,,2,,,,,1,,,,"1",,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,56,"open",,,,,1,,,,,1,,,,,,2,,,,,,,,,,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,57,"cushion",15,30,,,1,,,,,,,,,,1,4,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,57,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,58,"cushion",30,30,,,,,1,,,2,,,,,,1,,,,,,,,"1",,,4,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,58,"open",,,,,,,,,,1,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,59,"cushion",35,40,,,,,5,,,5,,,,,2,,,,,,1,,,,,1,3,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,59,"open",,,,,,,,,,1,,,,,3,,,,,,,,,,,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,60,"cushion",20,30,,,,,,,,,,,,,5,,,,,,,,,"1",,,2,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,60,"open",,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,61,"cushion",20,25,,1,,,,,,,,,,,2,2,,,,,,,,"5",,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,61,"open",,,,,1,,1,,,1,,,,,2,,,,,,,,,,,,2,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,62,"cushion",15,20,,,,,5,,,,,,,,,,,,,,,,,,,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,62,"open",,,,,,,,,,,,,,,,2,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,63,"cushion",50,15,,,,,,4,,,,,,,3,3,,3,,,,,,,,,5,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,63,"open",,,,,,,,,,,,,,,2,1,,,,,,,,"6",,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,64,"cushion",15,30,,,,,1,,,,,,,,,,,1,,,,,,,,,4,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,64,"open",,,,,,,,,,,,,,,,,,,,,,,,"1",,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,65,"cushion",20,30,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,65,"open",,,,,,,,,,,,,,,1,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,66,"cushion",20,50,,,,,,,,,,,,,1,,,,,,,,,,,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,66,"open",,,,,,,,,,,,,,,3,,,,,,,,,,,,2,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,67,"cushion",20,30,,,,,,,,,,,,,6,2,,,,,,,,,,,2,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,67,"open",,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,68,"cushion",20,25,,,,,,4,,,,,,,2,,,2,,,,,,,,3,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,68,"open",,,,,,,,1,,,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,69,"cushion",30,40,,,,,,6,,,,,,,4,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,69,"open",,,,,,,,,,,,,,,,,,2,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,70,"cushion",25,30,,,,,,,,,,,,1,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,70,"open",,,,,,,3,,,,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,71,"cushion",20,30,,,,,,,,,,,,,,1,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,71,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,72,"cushion",30,45,,,,,,,,,1,,,,,1,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,72,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,73,"cushion",80,25,,1,,,,8,,,,,,,2,,,1,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,73,"open",,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,74,"cushion",35,40,,,,,,,,,,,,,4,,,,,,,,,,,,2,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,74,"open",,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,75,"cushion",20,15,,,,1,,,,,,,,,1,1,,1,,,,,,,,,3,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,75,"open",,,,,,,2,,,,,,,,,,,,,1,,,,,,,2,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,76,"cushion",35,20,,,,,1,10,,,2,,,,1,1,,1,,,,,,,,,3,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,76,"open",,,,,,,,,,,,,,,,1,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,77,"cushion",25,40,,1,,,,,,,,,,,,,,4,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,77,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,78,"cushion",25,40,,,,,,3,,,,,,,,,,3,,,,,,,,,4,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,78,"open",,,,,,,,,,,,,,,,,,3,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,79,"cushion",20,40,,,,1,,11,1,,1,,2,,,,,,,,,,,,,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,79,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,80,"cushion",45,20,,,,1,,,,,,,,,,,,1,,,,,,,,,2,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,80,"open",,,,,,,,,,,,,,,,,,1,,,,,,,,,,
