"site","cushion","code","sample","cushion.open","diam1","diam2","area","Adesmia sp 3","Adesmia sp 4","Adesmia sp 6","Anarthrophyllum gayanum","Barneoudia major","Berberis empetrifolia","Bromus catharticus","Bromus setifolius","Calandrinia caespitosa","Chaetanthera euphrasioides","Chaetanthera pusilla","Chuquiraga oppositifolia","Ephedra chilensis","Erigeron andicola","Euphorbia collina","Haploppappus scrobiculatus","Hordeum comosum","Montiopsis gayana","Nassauvia axillaris","Nassauvia uniflora","Nastanthus agglomeratus","Oxalis squamata","Perezia carthamoides","Perezia pilifera","Phacelia secunda","Poa alopecurus","Polygala salasiana","Quinchamalium chilense","Rhodophiala uniflora","Senecio bustillosianus","Senecio polygaloides","Taraxacum officinale","Thlaspi magellanicum"
"La Parva","Laretia_acaulis",13,29,"open",,,,,1,,,,,,,,,,,,,1,,,,,8,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,47,"open",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,48,"open",,,,1,,,,,,,,,,2,1,,,,,,,,,,,1,,,,,,,,1,,
"La Parva","Laretia_acaulis",13,66,"open",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
"La Parva","Laretia_acaulis",13,67,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
"La Parva","Laretia_acaulis",13,85,"open",,,,,,1,,,,,,,,6,,,,1,,1,,,1,,,,,1,,,2,,,1,,
"La Parva","Laretia_acaulis",13,86,"open",,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,87,"open",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,88,"open",,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,
"La Parva","Laretia_acaulis",13,89,"open",,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,90,"open",,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,91,"open",,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,
"La Parva","Laretia_acaulis",13,92,"open",,,,,2,,,,,,,,,6,,,,2,,2,,,3,,2,3,,,,1,,,,1,,
"La Parva","Laretia_acaulis",13,93,"open",,,,1,2,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,
