Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),area (cm2),Acantholimon brachystachyum,Allium tuchalense,Alopecurus textilis,Arenaria insignis,Asperula glomerata,Astragalus capito,Astragalus macrosemius seedling,Bromus tomentosus,Campanula ruprechtii,Catabrosella parviflora,Crepis heterotricha,Draba pulchella,Elymus longaristatus,Festuca cf alaica,Galium decumbens,Helichrysum psychrophilum,Jurinella frijida,Oxytropis persicus,Physoptychis gnaphalodes,Piptatherum laterale,Poa araratica,Polygonum molliaeforme,Scorzonera meyeri,Trachydium depressum,Veronica kurdica subsp kurdica,Ziziphora clinopodioides subsp rigida
46,"Alborz Iran","Astragalus macrosemius",65,"cushion","","",5575,1,,,1,2,,,,,,,11,1,,,,,,,,,6,,,,
46,"Alborz Iran","Astragalus macrosemius",66,"cushion","","",4278,1,,,,,,,,,,,,2,,,,,,,,1,,,,,
46,"Alborz Iran","Astragalus macrosemius",67,"cushion","","",8645,3,,,2,1,,,,,,,,2,,,,,,1,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",68,"cushion","","",5751,2,,,1,1,1,,2,,,,7,3,,,,,,,,,6,,,,
46,"Alborz Iran","Astragalus macrosemius",69,"cushion","","",3895,2,,,3,3,,,,10,,,5,3,,,,11,,,,4,,,,,
46,"Alborz Iran","Astragalus macrosemius",70,"cushion","","",5625,1,,,,,,,,,,,,1,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",71,"cushion","","",2925,4,,,2,,,,,,,,,3,,,,,,2,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",72,"cushion","","",5390,,,,,,,,,,,,3,1,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",73,"cushion","","",20736,9,,,,,,,1,,,,9,6,7,,,,,,,3,,,,,
46,"Alborz Iran","Astragalus macrosemius",74,"cushion","","",4758,3,,,,,,,,,,,1,3,,,,1,,3,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",75,"cushion","","",4900,,,,1,1,,,,,,1,5,2,,,,,,1,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",76,"cushion","","",1575,2,,,3,1,,,,,,,,,,,,,,,,3,,,,,
46,"Alborz Iran","Astragalus macrosemius",77,"cushion","","",3456,1,,,,,,,,,,7,,2,,,,2,,2,,,,,,,
