"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena pinnatifida","Agrostis serranoi","Arenaria serpens","Berberis empetrifolia","Chaetanthera lycopodioides","Cyperus reflexus","Epilobium nivale","Erigeron andicola","Gaultheria pumila","Geranium sessiliflorum","Haplopappus diplopappus","Heliotropium geissei","Hypochaeris clarionoides","Hypochaeris radicata","Juncus bufonius","Juncus imbricatus","Juncus stipulatus","Plagiobothrys myosotoides","Plantago lanceolata","Poa sp 1","Poa sp2","Rumex acetosella","Spergularia rubra","Taraxacum officinale","Trifolium dubium","Trifolium repens","Viola subandina"
"Antuco","Azorella_trifurcata",16,2,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,3,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,4,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,5,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,6,"open",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,7,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,8,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,11,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,12,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,13,"open",,,,,,,,,,,,,,,,,,,,,,,1,,,,,7,,
"Antuco","Azorella_trifurcata",16,14,"open",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"Antuco","Azorella_trifurcata",16,15,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,16,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Antuco","Azorella_trifurcata",16,17,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,18,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,19,"open",,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
"Antuco","Azorella_trifurcata",16,20,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,21,"open",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,22,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
"Antuco","Azorella_trifurcata",16,23,"open",,,,,,5,,,,,,,,,,,,,1,,,,,,6,,,,,
"Antuco","Azorella_trifurcata",16,24,"open",,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,
"Antuco","Azorella_trifurcata",16,25,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
