site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Androsace chamaejasme,Antennaria lanata,Astragalus alpinum,Carex geyeri,Claytonia megarhriza,Dryas octopetala,Erigeron canus,Erigeron compositus,Festuca idahoensis,Geum rossii,Hulsia algida,Oxytropis campestris,Phacelia sericea,Phlox hoodii,Picea glauca,Poa alpina,Dasiphora fruticosa,Potentilla nivea,Saxifraga bronchialis,Saxifraga lyallii,Saxifraga occidentalis,Saxifraga oppositifolia,Sedum lanceolatum,Sedum rosea,Smelowskia calycia,Solidago multiradiata,Stellaria americana,UNKNOWN,dataset code
"Swiftcurrent Low","Silene_acaulis",45,"cushion",29,19,"",,"",3,"","","",1,1,,"","","","","","",,1,"","","","",1,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",45,"open",29,19,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",52,"cushion",24,17,"",,"",7,"","","",,,,"","","","","","",,2,"","","","",,"",,2,,"",86
"Swiftcurrent Low","Silene_acaulis",52,"open",24,17,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",53,"cushion",21,13,"",,"",4,"","","",,1,,"","","","","","",,,"","","","",,"",,1,,"",86
"Swiftcurrent Low","Silene_acaulis",53,"open",21,13,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",54,"cushion",33,28,"",,"",,"","","",,1,,"","","","","","",,,"","","","",,"",4,,,"",86
"Swiftcurrent Low","Silene_acaulis",60,"open",17,14,"",,"",,"","","",,,1,"","","1","","","",,,"","","","",,"",,3,,"",86
"Swiftcurrent Low","Silene_acaulis",61,"cushion",22,15,"",,"",,"","","",2,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",61,"open",22,15,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",62,"cushion",28,14,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",1,,,"",86
"Swiftcurrent Low","Silene_acaulis",62,"open",28,14,"",,"",,"","","",,,,"","","","","","",,1,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",69,"cushion",11,13,"",,"",,"","","",,1,,"","","","","","",,,"","","","",,"",,,,"",86
