Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Saussurea gnaphalodes (Royle) Sch-Bip,Barbarea orthoceras Ledeb,Aster alpinus L,Elymus nutans Griseb,Leontopodium nanum(HookfetThoms)HandMazz,Potentilla sericea L,Poa pratensis L,Capsella Bursa-pastoris (L) Medic,Androsace tapete Maxim,Pedicularis pilostachya Maxim,Astragalus suleatus L,Ephedra gerardiana Wall,Comastoma pulmonarium(Turez) Toyohuni,Carex Stenophylloides V Krecz,Festuca ovina L
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",32,"open",25,30,35,18,,,,,,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",33,"cushion",36,28,4,5,,,8,2,3,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",33,"open",36,28,8,15,21,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",34,"cushion",36,46,13,23,,8,23,1,6,1,,,1,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",34,"open",36,46,29,58,1,,8,,,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",35,"cushion",24,25,5,2,,,3,,2,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",35,"open",24,25,10,29,,,,,2,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",36,"cushion",24,32,21,,,,5,1,1,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",36,"open",24,32,18,11,,,,,1,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",37,"cushion",32,38,2,8,,,40,2,5,,,,1,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",37,"open",32,38,,36,49,,,,1,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",38,"cushion",32,26,16,3,,,,,3,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",38,"open",32,26,59,8,,,,,,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",39,"cushion",31,34,4,,3,,8,2,2,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",39,"open",31,34,33,6,3,,,1,,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",40,"cushion",30,25,3,3,2,,55,,2,1,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",40,"open",30,25,10,24,20,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",41,"cushion",33,43,55,5,,,,,,2,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",41,"open",33,43,54,9,,,,,,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",42,"cushion",38,47,79,47,,,70,,2,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",42,"open?",38,47,46,9,,,2,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",43,"cushion",33,37,53,6,,,4,,2,,1,,,,,,
