"site","cushion","code","sample","cushion.open","diam1","diam2","area","Agrostis","Apiacees","Arabis","Carex","Cerastium","Crucif Jaune","Elymus","Grass cap","Grosse Rosette","Koel","Mertensia","Rubiacee","Saxifraga","Senecio","Silene","Solidago","Thlaspi"
"San Francisco Mt.","Geum_rossii",38,40,"open",29,20,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,49,"open",28,24,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,50,"open",27,25,,,,1,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,51,"open",30,25,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,52,"open",46,17,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,53,"open",34,25,,,,,,,,,,,,,1,,3,,,
"San Francisco Mt.","Geum_rossii",38,54,"open",50,17,,,,,,,,,,,,,,,3,,,
"San Francisco Mt.","Geum_rossii",38,55,"open",45,20,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,56,"open",37,25,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,65,"open",40,38,,,,,,,,2,,,,,,,,5,,
"San Francisco Mt.","Geum_rossii",38,66,"open",61,25,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,67,"open",55,28,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,68,"open",52,30,,,,,,,,,,,,,,,5,,,
"San Francisco Mt.","Geum_rossii",38,69,"open",50,33,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,70,"open",48,35,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,71,"open",50,35,,,,,,,,,,,,,,,10,,,
"San Francisco Mt.","Geum_rossii",38,72,"open",60,30,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,6,"cushion",13,5,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,7,"cushion",11,7,,,,,,,,,,,2,,,,,,,
"San Francisco Mt.","Geum_rossii",38,8,"cushion",17,5,,,,,,,,2,,,,,,,8,,,
"San Francisco Mt.","Geum_rossii",38,9,"cushion",15,8,,1,,3,,,,,,,,,3,,,,,
"San Francisco Mt.","Geum_rossii",38,10,"cushion",15,8,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,11,"cushion",16,8,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,12,"cushion",13,10,,,,2,,,,2,,,1,,,,,,,
"San Francisco Mt.","Geum_rossii",38,13,"cushion",13,10,,,,2,,,,,,,1,,1,,1,,,
"San Francisco Mt.","Geum_rossii",38,14,"cushion",15,9,,,,,,,,1,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,15,"cushion",15,10,,,,3,,,1,3,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,16,"cushion",15,12,,,,,,,,1,,,,,,,5,,,
"San Francisco Mt.","Geum_rossii",38,22,"cushion",28,9,,,,,,,,2,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,23,"cushion",17,15,,,,,,,,2,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,24,"cushion",20,15,,,2,1,,,,,,,,,,,3,,,
"San Francisco Mt.","Geum_rossii",38,25,"cushion",26,12,,,7,3,,,,10,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,26,"cushion",23,14,,,,1,,,,3,,,1,,,,,,,
"San Francisco Mt.","Geum_rossii",38,27,"cushion",22,15,,,,1,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,28,"cushion",30,12,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,29,"cushion",30,13,,,,1,,1,,1,1,,2,,5,,,2,,
"San Francisco Mt.","Geum_rossii",38,30,"cushion",41,10,,,,,,,,6,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,31,"cushion",21,20,,1,,1,,1,,2,,,,,1,,3,,,
"San Francisco Mt.","Geum_rossii",38,32,"cushion",23,19,,,,2,,,1,,,,1,,,,,,,
"San Francisco Mt.","Geum_rossii",38,38,"cushion",28,20,,,,,,,,4,,,,,1,,2,,,
"San Francisco Mt.","Geum_rossii",38,39,"cushion",33,17,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,40,"cushion",29,20,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,41,"cushion",33,18,,,,3,,,,1,,,2,,1,,,,,
"San Francisco Mt.","Geum_rossii",38,42,"cushion",26,23,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,43,"cushion",40,15,,,,,,,,4,,,,,,,1,,,
"San Francisco Mt.","Geum_rossii",38,44,"cushion",40,15,,,1,1,,,,1,2,,3,,,,,,,
"San Francisco Mt.","Geum_rossii",38,45,"cushion",30,20,,1,,,,1,,2,1,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,46,"cushion",28,23,,1,,3,,,,1,,,,,2,,1,,,
"San Francisco Mt.","Geum_rossii",38,47,"cushion",26,25,,,,1,,,,1,,,1,,,,,,,
"San Francisco Mt.","Geum_rossii",38,48,"cushion",30,22,,,,2,,,,1,1,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,54,"cushion",50,17,,,,2,,,,8,,,,,2,,1,,,
"San Francisco Mt.","Geum_rossii",38,55,"cushion",45,20,,,,1,,,,2,,,3,,1,,,,,
"San Francisco Mt.","Geum_rossii",38,56,"cushion",37,25,,,2,4,,,,3,3,,,,3,,,,,
"San Francisco Mt.","Geum_rossii",38,57,"cushion",33,30,,,,2,,,,4,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,58,"cushion",38,27,,,,,,,,1,,,,,1,,,,,
"San Francisco Mt.","Geum_rossii",38,59,"cushion",42,25,,,,1,,1,,2,,,,,1,,,,,
"San Francisco Mt.","Geum_rossii",38,60,"cushion",44,24,,,,5,,10,,11,,,,,6,,1,,,
"San Francisco Mt.","Geum_rossii",38,61,"cushion",50,27,,,,4,,,1,5,3,,,,20,,,,,
"San Francisco Mt.","Geum_rossii",38,62,"cushion",50,28,,2,,,,3,,12,1,,2,,4,,,,,
"San Francisco Mt.","Geum_rossii",38,63,"cushion",46,32,,,15,2,4,2,,7,,4,2,,1,,1,,,
"San Francisco Mt.","Geum_rossii",38,64,"cushion",50,30,,1,,3,,,,5,4,,,,2,,,,,
"San Francisco Mt.","Geum_rossii",38,70,"cushion",48,35,,1,,1,,,,4,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,71,"cushion",50,35,,,,1,,,,4,1,,1,,1,,1,,,
"San Francisco Mt.","Geum_rossii",38,72,"cushion",60,30,,,10,,,4,,6,9,,2,,5,,,,,
"San Francisco Mt.","Geum_rossii",38,73,"cushion",55,38,,,,4,,,,5,2,,,,2,,,,,
"San Francisco Mt.","Geum_rossii",38,74,"cushion",70,30,,3,15,4,,2,,2,5,,4,,7,,,,,
"San Francisco Mt.","Geum_rossii",38,75,"cushion",54,40,,,5,,,5,,8,3,,,,2,,8,,,
"San Francisco Mt.","Geum_rossii",38,76,"cushion",58,39,,1,10,1,2,,,5,4,,1,,5,,,,,
"San Francisco Mt.","Geum_rossii",38,77,"cushion",60,45,,12,15,2,2,3,,5,8,,4,,1,,,,,
"San Francisco Mt.","Geum_rossii",38,78,"cushion",72,42,,,,,,,,2,,,,,2,,,,,
"San Francisco Mt.","Geum_rossii",38,79,"cushion",72,65,,2,,2,,,,3,,,1,,3,,,,,
"San Francisco Mt.","Geum_rossii",38,80,"cushion",110,45,,1,,1,,1,,1,1,,3,,5,,,,,
"San Francisco Mt.","Geum_rossii",38,9,"open",15,8,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,10,"open",15,8,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,11,"open",16,8,,,,,,,,,,,,,,,12,,,
"San Francisco Mt.","Geum_rossii",38,12,"open",13,10,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,13,"open",13,10,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,14,"open",15,9,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,15,"open",15,10,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,16,"open",15,12,,,,,,,,1,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,25,"open",26,12,,,,,,,,,,,,,,,1,,,
"San Francisco Mt.","Geum_rossii",38,26,"open",23,14,,,,,,,,2,,,,,,,5,,,
"San Francisco Mt.","Geum_rossii",38,27,"open",22,15,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,28,"open",30,12,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,29,"open",30,13,,,,2,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,30,"open",41,10,,,,,,,,1,,,,,,,,,,
