Site,Cushion sp,sample,cushion/open,Flower #,Flower gender,diam1  (cm),diam 2 (cm),Notes,Anenome occidentalis (tiny anenome),Antennaria alpina,Carex spp,Bistorta vivipara,Cetraria cuculata,Draba oligosperma (ylw flower cushion),Grass spp,Lupinus arcticus,Masonhalea richardsonii (brown lichen),Moss,Pedicularis spp (Lousewort),Peltigera spp,Phyllodoce spp (Heather),Polemonium spp,Polytrichum spp,Potentilla spp (Cinquefoil),Rock lichen,Salix spp,Salix cascadensis (Salix 2),Saxifraga serpyllifolia (Yellow flower),Selaginella densa,Thamnolia spp,Saxifraga nelsoniana (Lobe leaf),Sedum spp (stonecrop),Saxifraga nivalis (Dandel),dataset code
"Cathedral Lake 1","Silene acaulis",78,"cushion","","",17,13.5,"",,,,,,1,3,,,1,,,1,,,2,,9,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",78,"open","","",,,"",,,,,,1,2,,,,,,,,,,1,15,,,,,,1,,67
"Cathedral Lake 1","Silene acaulis",1,"cushion","","",26,19.5,"",,,5,,,,24,1,,,3,,,,,,,1,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",2,"open","","",,,"",,,,,,,,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",3,"open","","",,,"",,,,,,,,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",5,"cushion","","",22,19.5,"",,,,,,,10,,,,,,2,,,10,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",5,"open","","",,,"",,,,,,,,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",6,"cushion","","",23.5,20,"",,,9,,10,,6,,,,,,1,,,4,,,,,,3,,,,67
"Cathedral Lake 1","Silene acaulis",6,"open","","",,,"",,,3,,2,2,,,,,,,,,,4,4,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",7,"cushion","","",17,10,"",,,2,,2,,7,,,,,,1,,,1,,,,,,1,,,,67
"Cathedral Lake 1","Silene acaulis",7,"open","","",,,"",3,,9,,10,,2,,,,,,5,,,,2,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",8,"cushion","","",18,14.5,"",,,,,,,1,,,,,,1,,,5,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",8,"open","","",,,"",1,,7,,10,1,,,,,,,5,1,,,,,,,1,,,,,67
"Cathedral Lake 1","Silene acaulis",9,"cushion","","",25,13.2,"",,,3,,1,1,6,,,,,,,,,1,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",9,"open","","",,,"",,,,,,,,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",10,"cushion","","",23,18.5,"",1,,3,,,,5,,,,,,2,,,2,,,,,,1,,,,67
"Cathedral Lake 1","Silene acaulis",10,"open","","",,,"",,,,,,,,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",11,"cushion","","",17.5,16.5,"",,,3,,,3,5,,,,,,1,,,,,,,1,,,,,,67
"Cathedral Lake 1","Silene acaulis",11,"open","","",,,"",,,,,,6,,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",13,"cushion","","",22.5,17.5,"",,,,,10,1,19,,,,,,,4,,3,,,,,,1,,,,67
"Cathedral Lake 1","Silene acaulis",14,"open","","",,,"",,,,,,,,,,,,,,,,,1,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",15,"open","","",,,"",,,,,,,,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",16,"open","","",,,"",,,4,,5,,,,1,,,,,,,,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",17,"cushion","","",21.2,9.8,"",1,,,,,,4,,,,,,,15,,2,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",17,"open","","",,,"",,,6,1,1,,8,,,,,,,1,,,3,15,,1,,,1,,,67
"Cathedral Lake 1","Silene acaulis",18,"cushion","","",20,15.2,"",,,,4,1,,9,,,,,,,7,,,,,,,,,,1,,67
"Cathedral Lake 1","Silene acaulis",18,"open","","",,,"",,,2,,,,3,,,1,,,5,,,,,15,,,,1,,,,67
"Cathedral Lake 1","Silene acaulis",19,"cushion","","",35.5,22.3,"",,,,8,,,10,,,,,,,3,,2,,4,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",19,"open","","",,,"",,,,,,,,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",20,"cushion","","",30.2,21.5,"",,,10,,1,,4,,,,,,,,,8,,8,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",20,"open","","",,,"",,,,,,,,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",21,"cushion","","",22.4,20.3,"",,,,5,5,,14,,,,,,3,,,3,,,,,,1,,,,67
