"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena antarctica","Acaena magellanica","Acaena pinnatifida","Adesmia lotoides","Adesmia parviflora","Adesmia pumila","Arjona patagonica","Astragalus nivicola","Azorella coespitosa","Azorella fuegiana","Berberis buxifolia","Berberis empetrifolia","Calceolaria uniflora","Cerastium sp","Colobanthus subulatus","Draba funiculosa","Draba magellanica","Elymus sp","Empetrum rubrum","Erigeron sp","Festuca magellanica","Hamadryas sp","Hypochaeris incana","Leucheria candidissima","Leucheria leontopodioides","Luzula sp 1","Luzula sp 2","Nassauvia aculeata","Nassauvia pygmaea","Nassauvia revoluta","Oreobolus sp","Oxalis enneaphylla","Perezia pilifera","Pernettya mucronata","Phaiophleps biflora","Phleum sp","Plantago sp","Poa alopecurus","Poa fuegiana","Poa pratensis","Poa pusilla","Ribes cucullatum","Saxifraga sp","Senecio magellanicus","Trisetum sp","Vicia bijuga","Vicia magellanica"
"Torres del Paine Azorella monantha 700","Azorella monantha",23,17,"open",,,,,1,,,,,,,,,1,,1,1,,,,,,1,,,1,,1,,,,,,,,,,,1,1,,,1,,,,,,,1
"Torres del Paine Azorella monantha 700","Azorella monantha",23,18,"open",,,,,1,,,,,,,,1,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1
"Torres del Paine Azorella monantha 700","Azorella monantha",23,19,"open",,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,1,,,,,,,,,1,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,20,"open",,,,,1,,,,,,,,,1,,,,,,,,,1,,,1,,1,,,1,,,,,,1,,,,,,,,1,,,,,1
"Torres del Paine Azorella monantha 700","Azorella monantha",23,21,"open",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,24,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,25,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,26,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,27,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,28,"open",,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,29,"open",,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,1,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,30,"open",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,31,"open",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,32,"open",,,,,1,,,,,1,,,,,,1,,,,1,,,1,,,,,1,,1,,,,,,,,,,,,1,1,,,1,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,33,"open",,,,,1,1,,,,,,1,1,,,1,,,,,1,,1,1,,1,,,,1,,,,,,,,,,,,1,,,,,,,,1
"Torres del Paine Azorella monantha 700","Azorella monantha",23,36,"open",,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,1,1,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,37,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,38,"open",,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,39,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,40,"open",,,,,1,,,,,,,1,1,1,,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,41,"open",,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,1
"Torres del Paine Azorella monantha 700","Azorella monantha",23,42,"open",,,,,1,1,,,,,,1,,,,1,1,,,,1,,,1,,,,1,,,1,,,,,,1,,,,,,,,,1,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,43,"open",,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,44,"open",,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,45,"open",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
