"site","cushion species","sample","cushion/open","diam1 (cm)","diam2 (cm)","Apiacees","Asperula","Astragalus blanc","Bromus","Caryophyllacees","Centaurea","Cerastium","Chardon dor","Chardon gris","Crocus","Festuca","Galium","Marrubium","Prunus","Renoncule glauque","Scilla","Scrophulariacees","Senecio","Taraxacum","Veronica","dataset code"
"Lebanon","Onobrychis_cornuta",4,"open",16,10,,1,,,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",5,"open",17,12,3,,,,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",6,"open",15,15,3,,,,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",7,"open",18,13,4,,,,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",8,"open",20,18,,2,,5,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",9,"open",27,15,3,,,,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",13,"open",25,20,,,,,,,,,,1,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",14,"open",24,22,5,,,2,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",15,"open",30,25,8,,,,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",16,"open",30,25,2,4,,,1,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",17,"open",30,25,8,1,,,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",18,"open",35,25,5,,,,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",19,"open",35,25,2,5,,,,,,,,1,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",20,"open",35,25,6,,,,,,1,1,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",21,"open",30,30,,1,,,,,,,1,,,,,,,1,,,,,44
"Lebanon","Onobrychis_cornuta",22,"open",35,28,2,,,,,,,,,1,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",23,"open",40,25,5,,,,,,,,1,,,,,2,,,,,,,44
"Lebanon","Onobrychis_cornuta",24,"open",35,30,5,2,,,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",25,"open",40,30,1,,,5,,1,1,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",26,"open",35,35,,,,,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",27,"open",37,35,4,,,,,3,,,1,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",28,"open",40,35,3,2,,,,1,,,,,5,,,,,,,1,,,44
"Lebanon","Onobrychis_cornuta",29,"open",40,35,8,,,5,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",30,"open",42,38,1,,,3,,1,,,2,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",31,"open",50,35,1,3,,3,,,,,2,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",32,"open",55,35,,,,25,,,,,1,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",33,"open",50,40,,,,30,,10,,,6,,5,,,,,,,,,,44
