Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Alyssum nevadense,Anthyllis vulneraria ssp pseudoarundana,Avenella flexuosa ssp iberica,Cytisus galianoi,Erigeron frigidus,Eryngium glaciale,Galium pyrenaicum,Hormathophylla spinosa,Jasione amethystina,Leontodon boryi,Leucanthemopsis pectinata,Lotus corniculatus ssp glacialis,Nevadensia purpurea,Ranunculus demissus,Sideritis glacialis,Thymus serpylloides ssp serpylloides,Vaccinium uliginosum var nana,Viola crassiuscula
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",17,"cushion",19,19,,,,,,,12,,4,,,,10,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",17,"open",19,19,,,,,,,2,,,,,,,,1,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",18,"cushion",13,14,,,,,,,1,,3,,,,4,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",18,"open",13,14,,,,,,,13,,,,,,3,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",19,"cushion",17,11,,,,,,,,,8,,,,5,,1,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",19,"open",17,11,,,,,,,1,,1,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",20,"cushion",22,11,,,,,,,,,5,26,,,3,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",20,"open",22,11,,,,,,,,,,,,,3,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",21,"cushion",10,15,,,,,,,,,,,,,4,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",21,"open",10,15,,,,,,,,,,,,,3,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",22,"cushion",18,13,,,,,,,4,,,,,,5,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",22,"open",18,13,,,,,,,1,,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",23,"cushion",25,19,,,,,,,,,4,,,,5,,,,,2
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",23,"open",25,19,,,,,,,1,,,,,,2,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",24,"cushion",22,19,,,,,,,8,,9,,,,6,,1,,,
