"site","cushion","code","sample","cushion.open","diam1","diam2","area","Adesmia sp 1","Adesmia sp 2","Barneoudia major","Bromus setifoluis","Carex sp 1","Chaetanthera euphrasioides","Chaetanthera pusilla","Erigeron andicola","Hordeum comosum","Montiopsis andicola","Nassauvia lagascae","Nassauvia pyramidalis","Nastanthus agglomeratus","Oxalis compacta","Pozoa coriacea","Rytidosperma pictum","Senecio looseri","Taraxacum officinale","Thlaspi magellanicum","Trisetum preslei"
"Tres Puntas","Azorella madreporica",12,51,"cushion",,,,,,,,,,,1,5,5,,,,,,,,,4,
"Tres Puntas","Azorella madreporica",12,52,"cushion",,,,,,,1,,,,5,18,5,,,1,,,,,,6,5
"Tres Puntas","Azorella madreporica",12,53,"cushion",,,,,,,,2,,,1,2,1,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,54,"cushion",,,,,,,,5,,,,7,6,,,1,,,,,1,,
"Tres Puntas","Azorella madreporica",12,55,"cushion",,,,,,,,,,,,2,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,56,"cushion",,,,,,,,,,,,,2,,,1,,,,,,,
"Tres Puntas","Azorella madreporica",12,57,"cushion",,,,,,,,,,,,8,1,,,,,,,,,2,1
"Tres Puntas","Azorella madreporica",12,58,"cushion",,,,,,,,,,,2,2,1,,,1,,,,,,,3
"Tres Puntas","Azorella madreporica",12,59,"cushion",,,,,,,,1,,,,9,1,,,,,,,,2,,2
"Tres Puntas","Azorella madreporica",12,60,"cushion",,,,,,,,,,,2,2,2,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,61,"cushion",,,,,,,,,,,,3,5,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,62,"cushion",,,,,,,,,,,,1,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,63,"cushion",,,,,,,,,,,,2,,,,1,,,,,,,
"Tres Puntas","Azorella madreporica",12,64,"cushion",,,,,,,,,,,,3,,,,2,,,,,,1,
"Tres Puntas","Azorella madreporica",12,65,"cushion",,,,,,,,4,,,2,12,6,,,3,,,,,,1,2
"Tres Puntas","Azorella madreporica",12,66,"cushion",,,,,,,,,,,,3,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,71,"cushion",,,,,,,,,,,4,11,2,,,1,,,,,,1,
"Tres Puntas","Azorella madreporica",12,72,"cushion",,,,,,,,,,,3,9,,,,,,,1,,,,
"Tres Puntas","Azorella madreporica",12,73,"cushion",,,,,,,,,,,1,11,2,2,,1,,,,,,7,
"Tres Puntas","Azorella madreporica",12,74,"cushion",,,,,,1,,1,,,2,,4,,,,,,,,2,12,4
"Tres Puntas","Azorella madreporica",12,75,"cushion",,,,,,,,,,,1,8,2,,,3,,,,,,6,
"Tres Puntas","Azorella madreporica",12,76,"cushion",,,,,,,,,,,,1,,,,1,,,,,,,
"Tres Puntas","Azorella madreporica",12,77,"cushion",,,,,,,,,,,,2,,,,,,,,,,,3
"Tres Puntas","Azorella madreporica",12,78,"cushion",,,,,,,,,,,,1,,1,,,,,,,,1,6
"Tres Puntas","Azorella madreporica",12,79,"cushion",,,,,,,,,,,,2,,,,1,,,,,,2,7
"Tres Puntas","Azorella madreporica",12,80,"cushion",,,,,,,,,,,,2,,,,,,,,,,,1
"Tres Puntas","Azorella madreporica",12,81,"cushion",,,,,,,,4,,,3,7,1,,,,,,,,1,3,
"Tres Puntas","Azorella madreporica",12,82,"cushion",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,83,"cushion",,,,,,,,,,,2,,,2,,,,,,,,,4
"Tres Puntas","Azorella madreporica",12,84,"cushion",,,,,,,,,,,1,,,,,,,,,,,,1
"Tres Puntas","Azorella madreporica",12,85,"cushion",,,,,,,,,,,1,2,2,,,,,,,,1,,4
"Tres Puntas","Azorella madreporica",12,86,"cushion",,,,,,,,,,,1,3,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,87,"cushion",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,88,"cushion",,,,,,,,,,,3,4,,,,,,,,,1,3,
"Tres Puntas","Azorella madreporica",12,96,"cushion",,,,,,,,,,,,2,1,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,97,"cushion",,,,,,,,,,,,2,,,,,,,,,,1,
"Tres Puntas","Azorella madreporica",12,98,"cushion",,,,,,,,,,,,2,1,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,99,"cushion",,,,,,,,,,,,1,,,,,,,,,,,1
"Tres Puntas","Azorella madreporica",12,100,"cushion",,,,,,,,,,,1,4,2,,,,,,,,2,3,2
"Tres Puntas","Azorella madreporica",12,1,"open",,,,,,,,,,,,1,,1,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,2,"open",,,,,,1,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,3,"open",,,,,,,,,,,,,,,,,3,1,,,,,
"Tres Puntas","Azorella madreporica",12,4,"open",,,,,,,,,,4,,3,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,5,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,6,"open",,,,,,,,,,,,,,,,,1,,,,,,
"Tres Puntas","Azorella madreporica",12,7,"open",,,,,,,,,1,,,,,,,,1,,,,,,
"Tres Puntas","Azorella madreporica",12,8,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,9,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,10,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,12,"open",,,,,,,,,,,,3,,,,,2,,,,,,
"Tres Puntas","Azorella madreporica",12,13,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,14,"open",,,,,,,,,,2,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,15,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,16,"open",,,,,,,,,,,,1,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,17,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,18,"open",,,,,,,,,,2,,1,,,,,2,,,,,,
"Tres Puntas","Azorella madreporica",12,19,"open",,,,,,,,,,,,1,,,,,1,,,,1,,
"Tres Puntas","Azorella madreporica",12,20,"open",,,,,,,,,5,,,,,,,,1,,,,,,
"Tres Puntas","Azorella madreporica",12,21,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,22,"open",,,,,,,,,4,4,,2,,,,1,,1,,,,,
"Tres Puntas","Azorella madreporica",12,23,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,24,"open",,,,,,,,,,3,,,,,,,1,,,,1,,
"Tres Puntas","Azorella madreporica",12,25,"open",,,,,,,,,8,,,1,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,26,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,27,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,28,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,29,"open",,,,,,,,,,,,,,1,1,,,,,,,,
"Tres Puntas","Azorella madreporica",12,30,"open",,,,,,,,,,,,,,,,,1,,1,,,,
"Tres Puntas","Azorella madreporica",12,31,"open",,,,,,,,,,,,,,2,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,32,"open",,,,,,,,,,,,,1,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,33,"open",,,,,,,,,14,,,1,,,,,2,,1,,,,
"Tres Puntas","Azorella madreporica",12,35,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,36,"open",,,,,,,,,,2,,2,,,,,2,,,,,,
"Tres Puntas","Azorella madreporica",12,37,"open",,,,,1,,,,,,,2,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,38,"open",,,,,1,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,39,"open",,,,,,,,,,,,,,,,,1,,,,,,
"Tres Puntas","Azorella madreporica",12,40,"open",,,,,2,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,41,"open",,,,,1,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,42,"open",,,,,,,,,,11,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,43,"open",,,,,,,,,,,,,,1,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,44,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,45,"open",,,,,,,,1,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,46,"open",,,,,,,,,,,,,,,,,1,,1,,,,
"Tres Puntas","Azorella madreporica",12,47,"open",,,,,,,1,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,48,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,49,"open",,,,,,,,,,,,,,1,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,50,"open",,,,,,,,1,,,,2,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,51,"open",,,,,,,,,,,,,,1,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,52,"open",,,,,,,,1,,,,3,,,,,2,,,,,,
"Tres Puntas","Azorella madreporica",12,53,"open",,,,,,,,,,,,1,,2,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,54,"open",,,,,,,,,,,,4,,,1,,,,,,,,
"Tres Puntas","Azorella madreporica",12,55,"open",,,,,,,,,,,,3,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,56,"open",,,,,,,,,,,,1,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,58,"open",,,,,,,,,,,,5,,2,,,1,,,,,,
"Tres Puntas","Azorella madreporica",12,59,"open",,,,,,,,,,,,6,,1,,,3,,,,1,,
"Tres Puntas","Azorella madreporica",12,60,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,61,"open",,,,,,,,,,,,2,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,62,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,63,"open",,,,,,,,,,,,,,,,,1,,,,,,
"Tres Puntas","Azorella madreporica",12,64,"open",,,,,,,,,,,,1,1,,,,1,,,,,,
"Tres Puntas","Azorella madreporica",12,65,"open",,,,1,,,,,,,,,,,,,1,,,,,,
"Tres Puntas","Azorella madreporica",12,66,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,67,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,68,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,69,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,70,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,71,"open",,,,1,,,,,,,,1,,1,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,72,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,73,"open",,,,,,1,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,74,"open",,,,,,,1,,,,,6,,1,,,2,,,,,,
"Tres Puntas","Azorella madreporica",12,75,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,76,"open",,,,,1,,,,,,,1,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,77,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,78,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,79,"open",,,,,,2,,,,,,,,1,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,100,"open",,,,,,,,,,2,,1,,1,,,2,,,,,,
