"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena macrocephala","Acaena pinnatifida","Anemone multifida","Armeria maritima","Azorella monantha","Berberis empetrifolia","Calandrinia gayana","Carex aphylla","Carex caduca var ortegae","Cerastium arvense","Chuquiraga avellanae","Discaria nana","Drava gilliesii","Erigeron sp","Gamocarpa selliana","Gaultheria pumila","Geranium sessiliflorum","Hordeum comosum","Hypochaeris tenuifolia var eurylepis","Leucheria millefolium","Luzula chilensis","Montiopsis gayana","Mulinum leptacanthum","Nastanthus caespitosum","Oreopolus glacialis","Plantago barbata subsp barbata","Polygala salasiana","Senecio pachyphyllos","Senecio portalesianus","Sisysrinchium patagonicum","Trisetum barbinode","Tristagma nivale","Viola cotyledon"
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,100,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,83,"cushion",,,,,,,,,,,,,2,,,,,,,,1,,,2,,,,,,,3,,,,,1
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,84,"cushion",,,,,,1,,,,,,,,,,1,,,,,3,,,,,,,,,6,,,,,,1
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,7,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,8,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,9,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,10,"cushion",,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,11,"cushion",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,12,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,13,"cushion",,,,,,,9,,1,,,,,,,1,,,,,3,,,,,,,,,,,,,,,3
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,14,"cushion",,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,21,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,22,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,23,"cushion",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
