Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Androsace chamaejasme,Arenaria ciliata,Artemisia eriantha,Astragalus frigidus,Bartsia alpina,Botrychium lunaria,Campanula alpina,Campanula cochleariifolia,Campanula tatrae,Carex atrata,Carex capillaris,Carex firma,Carex fuliginosa,Carex sempervirens,Cerastium lanatum,Comastoma tenellum,Crepis jacquinii,Delphinium oxysepalum,Doronicum clusii,Draba aizoides,Draba tomentosa,Dryas octopetala,Erigeron alpinus,Erigeron uniflorus,Euphrasia salisburgensis,Euphrasia tatrae,Festuca versicolor,Galium anisophyllon,Gentianella lutescens,Hedysarum hedysaroides,Helianthemum alpestre,Helianthemum grandiflorum,Chamorchis alpina,Ligusticum mutellinoides,Lloydia serotina,Luzula spicata,Minuartia gerardii,Minuartia sedoides,Myosotis alpestris,Oxytropis campestris,Oxytropis carpatica,Oxytropis halleri,Parnassia palustris,Pedicularis oederi,Pedicularis verticillata,Persicaria bistorta,Persicaria vivipara,Phyteuma orbiculare,Poa alpina,Pseudorchis albida,Ranunculus alpestris,Ranunculus breyninus,Ranunculus pseudomontanus,Rhodiola rosea,Salix alpina,Salix herbacea,Salix reticulata,Salix retusa,Saussurea alpina,Saxifraga aizoides,Saxifraga paniculata,Scabiosa lucida,Sedum atratum,Sesleria tatrae,Silene acaulis,Thymus alpestris,Trisetum alpestre,Trisetum flavescens
47,"The Hlupy peak","Silene acaulis",54,"open",28.5,26.5,12,,,,,,,,,,,,,,1,7,,,,,,,,,2,,51,,5,,2,,,,6,,,,,,1,11,3,6,,,14,,,,,2,,,,,,,,,,,,,1,5,,
47,"The Hlupy peak","Silene acaulis",55,"cushion",44,28.5,13,,,,,,,,,,1,,,,,,,,,,,,,,,,10,,,,,,,,7,,,,,,,,,8,,,29,,,,,7,,,,,,,,,,,,,,14,,
47,"The Hlupy peak","Silene acaulis",55,"open",44,28.5,15,,,,,,,,,,,,,,,,2,,,,,,,,10,,175,,,,,,,,27,,,,,,2,4,11,12,2,,29,,,,,11,,,,,,,,4,2,,,6,,26,,
47,"The Hlupy peak","Silene acaulis",56,"cushion",40.5,23,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,9,,,3,,,,27,,,,,,,,,,8,,16,,,,,5,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",56,"open",40.5,23,2,,,,,,,,,,,,,,,,6,,,,,,,,,,180,3,,,,,,,,,,,,,2,,,,9,,16,,,,,4,,,,,,,,5,,,,,,,,
47,"The Hlupy peak","Silene acaulis",57,"cushion",51,19.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,4,,,,,,,1,,,,,6,,,,,,,,,,,,,,,,,,,2,,
47,"The Hlupy peak","Silene acaulis",57,"open",51,19.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,2,,,,,,6,,,2,,,35,,,,,1,,2,,,,,,,,,,4,,,,
47,"The Hlupy peak","Silene acaulis",58,"cushion",74.5,64,9,2,,,,,,,,,,,,,,,7,,,,,,,,,,240,21,,,,,,,3,,,,,,7,,,7,2,,56,,,,,4,,1,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",58,"open",74.5,64,19,22,,,,,,,,,,,,,6,,19,,,,1,,,,4,,254,3,,,,2,,,,,2,,,,15,,1,,,,43,,,,,2,,5,,,,,,,12,,,17,2,2,,
47,"The Hlupy peak","Silene acaulis",59,"cushion",51,32.5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,14,,,,,,,,,1,,,39,,,,,1,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",59,"open",51,32.5,18,5,,,,,,,,,,,6,,3,,23,,,,,,,,,,56,7,,,,,,,12,,,,,,4,6,,5,3,,15,,,,,4,,2,,,,,1,,26,,,,,,,
47,"The Hlupy peak","Silene acaulis",60,"cushion",110.5,41,18,,,,,,,,,,,,,,,,,,,,,,,,,,27,14,,,,,,,9,,,,,,11,,,,,,84,,,,,4,,3,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",60,"open",110.5,41,6,12,,,,,,,,,1,,,,9,,3,6,,,,,,,6,,460,3,,,,,,,16,,,,,,31,,,,4,,34,,,,,7,,1,,,,,,,,,,,3,2,,
47,"The Hlupy peak","Silene acaulis",61,"cushion",68,56,32,,,,,,,,,,,,,,,,2,,,,,,,,,,55,56,,,,,,,1,,,,,,11,,,,,,67,,,,,4,,4,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",61,"open",68,56,45,12,,,,,,,,,,,6,,,,27,,,,,,,,,,295,,,,,,,,3,,,,,,18,,,,,,38,,,,,2,,,,,,,1,,,,,,,8,,
47,"The Hlupy peak","Silene acaulis",62,"cushion",62,23.5,29,,,,,,,,,,,,,,,,,,,,,,,,,,39,2,,,,,,,7,,,,,,13,,,1,,,74,,,,,,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",62,"open",62,23.5,13,17,,,,,,,,,,,,,,,21,,,,,,,,6,,190,,,,,,,,7,,,,,,24,,,,,,34,,,,,4,,4,,,,,,,22,,,,,6,,42
47,"The Hlupy peak","Silene acaulis",63,"cushion",24,23,,15,,,,,,,,,,,4,,,,,,,,,,,,,,,4,,,,,,,8,,,,,,5,,,,,,41,,,,,,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",63,"open",24,23,21,16,,,,,,,,,,,,,2,,,,,,,,,,2,,210,,1,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,35,,,,,2,,
47,"The Hlupy peak","Silene acaulis",64,"cushion",53.5,37,,,,,,,,,,,,,,,,,,,,,,,,,,,4,17,,,,,,,17,,,,,,2,,,,,,26,,,,,1,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",64,"open",53.5,37,26,23,,,,,,,,2,,,5,,,,10,,,,,,,,4,,72,,,,,,,,2,,,,,,16,,,,,,34,,,,,2,,8,,,,,,,1,,,,,14,,
47,"The Hlupy peak","Silene acaulis",65,"cushion",26,18,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",65,"open",26,18,1,8,,1,,,,,,,,,,,,,2,,,,,,,,,,5,,,,,,,,3,,,,,,3,,,,,,5,,,,,,,2,,,,,,,,,,,,6,,
47,"The Hlupy peak","Silene acaulis",66,"cushion",27,20.5,,,,2,,,,,,,,,6,,,,,,,,,,,,,,12,,,,,,,,,,,,,,3,,,,,,14,,,,,,,,,,,,,,,,,,,8,,
47,"The Hlupy peak","Silene acaulis",66,"open",27,20.5,,5,,8,,,,,,,,,,,,,3,,,,,,,,,,56,,,,,,,,,,,4,,,,,,,,,10,,,,,2,,,,,,,,9,,,,,,5,,
47,"The Hlupy peak","Silene acaulis",67,"cushion",55,44.5,24,,1,,,,,,1,,,,,,,,11,,,,,,,,,,59,,,,,,,,43,,,,,,9,,,,,,37,,,,,4,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",67,"open",55,44.5,,4,1,,,,,,,2,,,5,,,,5,,,,,,,,6,,142,,,,,,,,8,,,,,,7,,,,,,37,,,,,1,,,,,,,,11,,,,2,,10,,
47,"The Hlupy peak","Silene acaulis",68,"cushion",31,25,8,,,,,,2,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,8,,,,,,,,
47,"The Hlupy peak","Silene acaulis",68,"open",31,25,12,,,,,,,,,,,8,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,22,,,,,1,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",69,"cushion",32.5,24.5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,43,,,,,,6,,,,5,18,,,,,,4,,2,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",69,"open",32.5,24.5,,,,,,1,,,,,,,,,,,,,,,,,,,,,11,6,,,,,,,,,,,,,,,5,,3,,3,,,,,2,,1,,,,,,,4,,,2,,4,,
47,"The Hlupy peak","Silene acaulis",70,"cushion",67,44,80,,,,,1,,,,,,,,,,,2,,,,,,,,,1,,12,,,,,,,16,,,,,,1,,,,33,,64,,,,,12,,4,,,,,,,,,,1,,,,
47,"The Hlupy peak","Silene acaulis",70,"open",67,44,7,,,,,,,,,,,,,,1,,5,,,,,,,,4,,4,,,,,,,,1,,,,,,,,,,1,,4,2,,,,3,,3,,,,,,,,1,,2,,6,,
47,"The Hlupy peak","Silene acaulis",71,"cushion",29,19.5,21,,,,,,,,,,,,,,2,1,,,,,,,,,,,6,11,,,,,,,13,,,,,,1,,,,1,,16,,,,,2,,2,,,,,,,,,,,,2,,
47,"The Hlupy peak","Silene acaulis",71,"open",29,19.5,,,,,,,,,,,,,,,,,2,,,,,,,,,,12,,,,,,,,,,,,,,,,,,5,,,,,,,,,1,,,,,,,,2,,8,,4,,
47,"The Hlupy peak","Silene acaulis",72,"cushion",36,22,17,,,,,,,,9,,,,,,3,,3,,,,,,,,,,,,,,,,,,10,,,,,,8,,,,1,,2,,,,,4,,2,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",72,"open",36,22,20,,,,,,,,1,,,,,,2,,5,,,,,,,,,,4,15,,,,,,,,,,,,,3,,,,2,,9,,,,,,,7,,,,,,,14,,,,,10,,
47,"The Hlupy peak","Silene acaulis",73,"cushion",70,52,28,,,,,,,,2,,,,,3,,1,,,,,,,,,1,,,14,,,,,10,,1,,,,1,,,,,,15,,35,,,,,3,,1,,,,,,,,,,5,,7,,
47,"The Hlupy peak","Silene acaulis",73,"open",70,52,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,2,,,,,,9,,13,,,,,,1,7,,,,,,,,,,37,,5,,
47,"The Hlupy peak","Silene acaulis",74,"cushion",34,23,37,,,,,,,,,,,,,,4,,,,,,,,,,,,4,4,,,,,,,5,,,,,,1,,,,9,,10,,,,,,,,,,,,,,4,,,1,,4,,
47,"The Hlupy peak","Silene acaulis",74,"open",34,23,12,2,,,,,,,,,,,,,2,,,,,,,,,,,,10,,,,,,,,,,,,,,4,,,,1,,2,,,,,,,1,,,,,,,,,,1,,,,
47,"The Hlupy peak","Silene acaulis",75,"cushion",21.5,12.5,4,,,,,,,,,,,,,,1,,,,,,,,,,,,4,6,,,,,,,4,,,,,,1,,,,1,,9,,,,,,,1,,,,,,,,,,5,,,,
47,"The Hlupy peak","Silene acaulis",75,"open",21.5,12.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,1,,,,2,,4,,1,,,,,1,,,,,,,2,,,,,2,,
47,"The Hlupy peak","Silene acaulis",76,"cushion",21,12,4,,,,,,,,,,,,,,,,1,,,,,,,,,,1,8,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,2,,
47,"The Hlupy peak","Silene acaulis",76,"open",21,12,1,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,2,,2,,,,,,,,,,,,,,,,,2,,,,
47,"The Hlupy peak","Silene acaulis",77,"cushion",31,20,7,,,,,,,,,,,,,,3,,2,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,5,,,,,,,2,,,,,,,1,,,,,1,,
47,"The Hlupy peak","Silene acaulis",77,"open",31,20,,,,,,,,,,,,,,,,,1,1,,,,,,,,,12,2,,,,,,,,,,,,,4,,3,,,,3,,,,,1,,,,,,,,,,,,,,5,,
47,"The Hlupy peak","Silene acaulis",78,"cushion",33,27,3,,,,,,,,,,,,,,,,2,,,,,,,,,,5,,,,,,,,,,,,,,3,,,,,,28,,,,,2,,1,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",78,"open",33,27,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,
47,"The Hlupy peak","Silene acaulis",79,"cushion",24,19,,,,,,,,,2,,,,,,,,7,,,,,,,,,,150,,,,,,,,1,,,,,,,,,,2,,2,,,,,,,2,,,,,,,,,,,,13,,
47,"The Hlupy peak","Silene acaulis",79,"open",24,19,1,,,,,,,,,,,,,,,,1,,,,,,,,,,43,,,,,,,,,,,,,,1,,,,,,11,,,,,,,1,,,,,,,3,,,,,5,,
47,"The Hlupy peak","Silene acaulis",80,"cushion",25.5,20,12,,,,,,,,,,,,,,4,,2,,,,,,,,,,2,15,,,7,,,,,,,,,,1,,,,3,,12,,,,,,,,,,,,,,,,,,,8,,
47,"The Hlupy peak","Silene acaulis",80,"open",25.5,20,4,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,1,,8,,,,,,,1,,,,,,,,,,,,3,,
47,"The Hlupy peak","Silene acaulis",81,"cushion",60,25,37,,,,,,,,,,,,,,2,,1,,,,,,,,1,,25,27,,,,,,,2,,,,,,12,,,,10,,30,,,,,9,,,,,,,,,,,,,,13,,
47,"The Hlupy peak","Silene acaulis",81,"open",60,25,3,1,,,,,,,,,,,,,1,1,,,,,,,,,,,11,9,,,,,,,,,,,,,4,,,,,,7,,,,,,,1,,,,,,,,,,,,5,,
47,"The Hlupy peak","Silene acaulis",82,"cushion",32,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,30,39,,,,,,,10,,,,,,5,,,,1,,25,,,,,2,,1,,,,,,,,,,,,10,,
47,"The Hlupy peak","Silene acaulis",82,"open",32,29,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,1,,,,,,,,,,,,,,,,5,,,,,1,,,,,,,,,2,,,,,,,
47,"The Hlupy peak","Silene acaulis",83,"cushion",35,25,9,,,,,,,,,,,,,,,,,,,,,,,,,,17,13,,,,,,,2,,,,,,1,,,,1,,12,,,,,,,,,,,,,,,,,,,10,,
47,"The Hlupy peak","Silene acaulis",83,"open",35,25,1,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,,6,,,,
47,"The Hlupy peak","Silene acaulis",84,"cushion",29,17,16,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,6,,,,
47,"The Hlupy peak","Silene acaulis",84,"open",29,17,2,,,,,,,,,,,,2,,,,,,,,,,,,,,5,,,,,,,,1,,,,,,1,,,,1,,2,,,,,,,,,,,,,,,,,,,3,,
47,"The Hlupy peak","Silene acaulis",85,"cushion",16.5,8.5,,2,,,,,,,,,,,,,,,,,,,,,,,1,,8,,,,5,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",85,"open",16.5,8.5,,3,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",86,"cushion",41,30,9,,,,,,,,4,,,,,,5,,,,,,,,,,,,23,16,,,,,,,10,,,,,,5,,,,3,,11,,,,,,,,,,,,,,4,,,,,,,
47,"The Hlupy peak","Silene acaulis",86,"open",41,30,,2,,,,,,,,,,,,,,,,,,,,,,,,,17,9,,,1,,,,,,,,,,2,,,,,,12,,,,,,,1,,,,,,2,,,,,,3,,
47,"The Hlupy peak","Silene acaulis",87,"cushion",14,11.5,3,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,4,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",87,"open",14,11.5,,5,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",88,"cushion",35,18,,6,,,,,,,1,,,42,,,10,,2,,,,,,,,,,23,,,,,,,,,,,,,,,,,,5,,8,,,,,2,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",88,"open",35,18,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,1,,4,,3,,
47,"The Hlupy peak","Silene acaulis",89,"cushion",23,17.5,,2,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,2,,,,,,,,,,4,,,,,,6,,,,,,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",89,"open",23,17.5,7,,,,,,,,,,,9,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,2,,2,,
47,"The Hlupy peak","Silene acaulis",90,"cushion",16,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
47,"The Hlupy peak","Silene acaulis",90,"open",16,10.5,,,,,,,,,,,,4,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,2,,
