Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Androsace chamaejasme,Arenaria ciliata,Artemisia eriantha,Astragalus frigidus,Bartsia alpina,Botrychium lunaria,Campanula alpina,Campanula cochleariifolia,Campanula tatrae,Carex atrata,Carex capillaris,Carex firma,Carex fuliginosa,Carex sempervirens,Cerastium lanatum,Comastoma tenellum,Crepis jacquinii,Delphinium oxysepalum,Doronicum clusii,Draba aizoides,Draba tomentosa,Dryas octopetala,Erigeron alpinus,Erigeron uniflorus,Euphrasia salisburgensis,Euphrasia tatrae,Festuca versicolor,Galium anisophyllon,Gentianella lutescens,Hedysarum hedysaroides,Helianthemum alpestre,Helianthemum grandiflorum,Chamorchis alpina,Ligusticum mutellinoides,Lloydia serotina,Luzula spicata,Minuartia gerardii,Minuartia sedoides,Myosotis alpestris,Oxytropis campestris,Oxytropis carpatica,Oxytropis halleri,Parnassia palustris,Pedicularis oederi,Pedicularis verticillata,Persicaria bistorta,Persicaria vivipara,Phyteuma orbiculare,Poa alpina,Pseudorchis albida,Ranunculus alpestris,Ranunculus breyninus,Ranunculus pseudomontanus,Rhodiola rosea,Salix alpina,Salix herbacea,Salix reticulata,Salix retusa,Saussurea alpina,Saxifraga aizoides,Saxifraga paniculata,Scabiosa lucida,Sedum atratum,Sesleria tatrae,Silene acaulis,Thymus alpestris,Trisetum alpestre,Trisetum flavescens
47,"The Hlupy peak","Silene acaulis",6,"cushion",25,20,26,,,,,,,,,,,,,,2,,1,,,,,,,,,,12,,,,,,,,,,1,,,,1,,,,5,,6,,1,,,,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",6,"open",25,20,9,,,,,,,,,,,,,,2,,,,,,,,,,,,45,2,,,,,,,,,,,,,2,,,,3,,,,,,,1,,,,,,,,2,,,,,,7,,
47,"The Hlupy peak","Silene acaulis",7,"cushion",63.5,40,34,,,,,,,,,,,,,2,,,,,,,,,,,,,32,7,,,,,,,4,,,,,,1,,,,10,,12,,,,,3,,3,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",7,"open",63.5,40,7,,,,,2,,,,,,,,,2,2,,,,,,,,,,,97,7,,,,14,,,,2,,,1,,,,6,,2,,11,,,,,,,,,,,,,,,,,,,8,,
47,"The Hlupy peak","Silene acaulis",8,"cushion",49,37.1,3,,,,,,,,,,,,,,1,2,,,,,,,,,,,23,18,,,,,,,,,,,,,1,,,,5,,27,,,,,3,,,,,,,,,1,,,,,,,
47,"The Hlupy peak","Silene acaulis",8,"open",49,37.1,3,3,,,,3,,,,,,,,10,2,,,,,,,,,,,,90,,,,7,,1,,,3,3,,,,,,4,,14,,9,,,,,1,,1,,,,,,,,,,12,,16,,
47,"The Hlupy peak","Silene acaulis",9,"cushion",42,30,7,,,,,,,,,,,,,,7,,,,,,,,,,,,21,12,,,,,,,8,,,,,,,,1,,3,,21,,,,,,,2,,,,,,,,,,10,,,,
47,"The Hlupy peak","Silene acaulis",9,"open",42,30,,,,,,,,,3,,,,,,5,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,1,,12,,,,1,,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",10,"cushion",49,44,19,,,,,,,,3,,,,,,,,,,,,,,,,,,31,15,,,,,,,,,,,,,,,,,2,,11,,,,,2,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",10,"open",49,44,12,1,,,,,,,,,,,,2,,,1,,,,,,,,1,,13,8,,,,3,,,,,,,,,1,,,,4,,3,,,,,2,,1,,,,,,,,,,8,,4,,
