site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Adesmia echinus,Adesmia sp 2,Adesmia subterranea,Azorella madreporica,Calandrinia caespitosa,Calandrinia sp,Carex sp,Cerastium arvense,Chaetanthera lycopodioides,Chaetanthera pentacaenoides,Crucifera,Erigeron andicola,Gayophytum micranthum,Hordeum comosum,Jarava chrysophylla,Kurzamra pulchella,Menonvillea sp,Montiopsis copiapina,Nassauvia cumingii,Olsynium junceum,Oxalis sp,Phacelia secunda,Poa holciformis,Senecio sp,Trisetum oreophilum,Viola montagnei,Viola philippii,dataset code
"Elqui","Azorella madreporica",27,"open","","",,,,,,,,,,1,,,,,,,,,,,,,,,,1,,59
"Elqui","Azorella madreporica",28,"open","","",,,,,,,,,,,,,,,,,,,,,2,,,,,,,59
"Elqui","Azorella madreporica",29,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",30,"open","","",,,,,,,,,,12,,,,,1,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",31,"open","","",,1,,,,,,,,1,,1,,,,,,,,,,,,,,1,,59
"Elqui","Azorella madreporica",32,"open","","",,,,,,,,,,1,,,,,1,,1,,,,,,2,,,,,59
"Elqui","Azorella madreporica",33,"open","","",,,,,,,,,,11,,1,,,,,,,,1,,,,,,1,,59
"Elqui","Azorella madreporica",34,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",35,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",36,"open","","",,,,,,,,,,,,,,,,,,,1,,,1,2,,,,1,59
"Elqui","Azorella madreporica",37,"open","","",,1,,,,,,1,,24,,,,,1,,,,,,,2,,,,1,1,59
"Elqui","Azorella madreporica",38,"open","","",,,,,,,,,,3,,,,,,,,,,,,,,,,5,,59
"Elqui","Azorella madreporica",39,"open","","",,,,,,,,1,,6,,,,,,,,,,,1,,,,,5,1,59
"Elqui","Azorella madreporica",40,"open","","",,,,,,,,,,12,,,,,,,,,,,,,,,,,1,59
"Elqui","Azorella madreporica",41,"open","","",,,,,,,,,,4,,1,,,,,,,,,,,,,,2,,59
"Elqui","Azorella madreporica",42,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",45,"open","","",,,,,,,,,,5,,1,,,,,,,,,,,,,,2,,59
"Elqui","Azorella madreporica",46,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",47,"open","","",,,,,,,,,,3,1,,,,,,,,,,,,,3,,,,59
"Elqui","Azorella madreporica",48,"open","","",,,,,,,,,,1,,,,,,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",49,"open","","",,,,,,,,,,2,,,,,,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",50,"open","","",,,,,,,,,,4,,,,,,,,,,,,,,2,,,,59
"Elqui","Azorella madreporica",51,"open","","",,,,,,2,,,,1,9,,,,,,,,,,,,,,,1,,59
"Elqui","Azorella madreporica",52,"open","","",,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,1,59
"Elqui","Azorella madreporica",53,"open","","",,1,,,,,,,2,1,,,,,,,,,,,,,,,,1,,59
"Elqui","Azorella madreporica",54,"open","","",,1,,,,2,,,3,2,3,,,,,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",55,"open","","",,,,,,,,,7,2,,,,,,,,,,,,,,1,,,,59
"Elqui","Azorella madreporica",56,"open","","",,,,,,,,,,1,2,,,,,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",57,"open","","",,,,,,13,,1,2,26,,1,,,,,,,,,,,,3,,,,59
"Elqui","Azorella madreporica",58,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",59,"open","","",,,,,,1,,,,4,,,,,,,,,,,,,,1,,,,59
"Elqui","Azorella madreporica",60,"open","","",,,,,,,,,,3,,,,,,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",61,"open","","",,,,,,,,,,2,4,2,,,,,,,,,,,,1,,,,59
"Elqui","Azorella madreporica",62,"open","","",,,,,,1,,,,1,,,,,,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",63,"open","","",,,,,,,,,,13,1,,1,,,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",66,"open","","",,,,,,,,,,12,,,,,,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",67,"open","","",,1,,,,,,,,13,,,,,,,1,,,,,,,,,,,59
"Elqui","Azorella madreporica",68,"open","","",,,,,,,,,,9,,,,,,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",69,"open","","",,,,,,,,,,3,,,,,,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",70,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",71,"open","","",,,,,,,,,,11,,,,,,,,,,,1,,,,,,,59
"Elqui","Azorella madreporica",72,"open","","",,,,,,,,,,2,,,,,,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",73,"open","","",,,,,,,,,,4,,,,,,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",74,"open","","",,1,,,,,,1,,,,,,,1,,,,,,,,,,,,1,59
"Elqui","Azorella madreporica",75,"open","","",,,,,,,,,,2,,,,,,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",76,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",77,"open","","",,,,,,,,,,1,,,,,,,,,,,,,,,,1,,59
"Elqui","Azorella madreporica",78,"open","","",,,,,,,,,,,,,,,,,,,,,2,,,,,,,59
"Elqui","Azorella madreporica",79,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,1,59
"Elqui","Azorella madreporica",80,"open","","",,,,,,,,,,12,,,,,1,,,,,,,,,,,,,59
"Elqui","Azorella madreporica",81,"open","","",,1,,,,,,,,1,,1,,,,,,,,,,,,,,1,,59
"Elqui","Azorella madreporica",82,"open","","",,,,,,,,,,1,,,,,1,,,,,,,,2,,,,,59
"Elqui","Azorella madreporica",83,"open","","",,1,,,,,,,,11,,,,,,,,,,1,,,,,,1,,59
"Elqui","Azorella madreporica",84,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,59
