"site","cushion","code","sample","cushion.open","diam1","diam2","area","Poaceae sp","Agrostis foliata","Bromus lanatus","Pentacalia microdon"
"Ecuador1","Pentacalia_microdon",1,65,"cushion",25,25,,,,,
"Ecuador1","Pentacalia_microdon",1,66,"cushion",33,33,,6,,,
"Ecuador1","Pentacalia_microdon",1,67,"cushion",26,26,,,,,
"Ecuador1","Pentacalia_microdon",1,68,"cushion",33,33,,,,,
"Ecuador1","Pentacalia_microdon",1,69,"cushion",41,41,,12,,1,
"Ecuador1","Pentacalia_microdon",1,70,"cushion",28,28,,,,,
"Ecuador1","Pentacalia_microdon",1,71,"cushion",20,20,,,12,,
"Ecuador1","Pentacalia_microdon",1,72,"cushion",25,25,,,,,
"Ecuador1","Pentacalia_microdon",1,73,"cushion",36,36,,3,,15,
"Ecuador1","Pentacalia_microdon",1,74,"cushion",28,28,,1,,,
"Ecuador1","Pentacalia_microdon",1,75,"cushion",42,42,,13,1,,
"Ecuador1","Pentacalia_microdon",1,76,"cushion",29,29,,5,,,
"Ecuador1","Pentacalia_microdon",1,77,"cushion",27,27,,1,,,
"Ecuador1","Pentacalia_microdon",1,78,"cushion",35,35,,5,,,
"Ecuador1","Pentacalia_microdon",1,79,"cushion",32,32,,1,2,,
"Ecuador1","Pentacalia_microdon",1,80,"cushion",35,35,,8,5,,
"Ecuador1","Pentacalia_microdon",1,81,"cushion",35,35,,4,,,
"Ecuador1","Pentacalia_microdon",1,82,"cushion",33,33,,,,,
"Ecuador1","Pentacalia_microdon",1,83,"cushion",35,35,,,,,
"Ecuador1","Pentacalia_microdon",1,84,"cushion",43,43,,,1,,
"Ecuador1","Pentacalia_microdon",1,85,"cushion",38,38,,,,,
"Ecuador1","Pentacalia_microdon",1,1,"open",26,26,,,,,
"Ecuador1","Pentacalia_microdon",1,2,"open",24,24,,,,,
"Ecuador1","Pentacalia_microdon",1,10,"open",40,40,,,,,
"Ecuador1","Pentacalia_microdon",1,11,"open",36,36,,,,,
"Ecuador1","Pentacalia_microdon",1,12,"open",32,32,,,,,
"Ecuador1","Pentacalia_microdon",1,13,"open",31,31,,,,,
"Ecuador1","Pentacalia_microdon",1,14,"open",32,32,,,,,
"Ecuador1","Pentacalia_microdon",1,15,"open",31,31,,,,,
"Ecuador1","Pentacalia_microdon",1,16,"open",42,42,,,,,
"Ecuador1","Pentacalia_microdon",1,17,"open",33,33,,,,,
"Ecuador1","Pentacalia_microdon",1,18,"open",23,23,,,,,
"Ecuador1","Pentacalia_microdon",1,19,"open",39,39,,,,,
"Ecuador1","Pentacalia_microdon",1,20,"open",39,39,,,,,
"Ecuador1","Pentacalia_microdon",1,21,"open",29,29,,,,,
"Ecuador1","Pentacalia_microdon",1,22,"open",29,29,,,,,
"Ecuador1","Pentacalia_microdon",1,23,"open",26,26,,,,,
"Ecuador1","Pentacalia_microdon",1,24,"open",28,28,,,,,1
"Ecuador1","Pentacalia_microdon",1,25,"open",20,20,,,,,
"Ecuador1","Pentacalia_microdon",1,26,"open",47,47,,,,,
"Ecuador1","Pentacalia_microdon",1,27,"open",34,34,,,,,
"Ecuador1","Pentacalia_microdon",1,28,"open",33,33,,,,,
"Ecuador1","Pentacalia_microdon",1,29,"open",25,25,,,,,
"Ecuador1","Pentacalia_microdon",1,30,"open",42,42,,,,,
"Ecuador1","Pentacalia_microdon",1,31,"open",29,29,,,,,
"Ecuador1","Pentacalia_microdon",1,32,"open",62,62,,,,,
"Ecuador1","Pentacalia_microdon",1,40,"open",53,53,,,,,
"Ecuador1","Pentacalia_microdon",1,41,"open",28,28,,,,,
"Ecuador1","Pentacalia_microdon",1,42,"open",30,30,,,,,
"Ecuador1","Pentacalia_microdon",1,43,"open",30,30,,,,,
"Ecuador1","Pentacalia_microdon",1,44,"open",29,29,,,,,
"Ecuador1","Pentacalia_microdon",1,45,"open",30,30,,,,,
"Ecuador1","Pentacalia_microdon",1,46,"open",32,32,,,,,
"Ecuador1","Pentacalia_microdon",1,47,"open",23,23,,,,,
"Ecuador1","Pentacalia_microdon",1,48,"open",26,26,,,,,
"Ecuador1","Pentacalia_microdon",1,49,"open",27,27,,,,,
"Ecuador1","Pentacalia_microdon",1,50,"open",36,36,,,,,
"Ecuador1","Pentacalia_microdon",1,51,"open",43,43,,,,,
"Ecuador1","Pentacalia_microdon",1,52,"open",37,37,,,,,
"Ecuador1","Pentacalia_microdon",1,53,"open",33,33,,,,,
"Ecuador1","Pentacalia_microdon",1,54,"open",49,49,,,,,
"Ecuador1","Pentacalia_microdon",1,55,"open",35,35,,,,,
"Ecuador1","Pentacalia_microdon",1,56,"open",38,38,,,,,
"Ecuador1","Pentacalia_microdon",1,57,"open",25,25,,,,,1
"Ecuador1","Pentacalia_microdon",1,58,"open",32,32,,,,,
"Ecuador1","Pentacalia_microdon",1,59,"open",32,32,,,,,
"Ecuador1","Pentacalia_microdon",1,60,"open",25,25,,,,,
"Ecuador1","Pentacalia_microdon",1,61,"open",34,34,,,,,
"Ecuador1","Pentacalia_microdon",1,62,"open",29,29,,,,,
