site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Anthyllis,Carex 1,Carex 2,Caryophyllaceae,Cerastium,Cirsium,Daphne,Draba,Erigeron,Festuca,Gentiana 1,Gentiana 2 (blue),Globularia,Gnaphalium,Gregoria vitaliana,Helianthemum,Hieracium 1,Hieracium 2,Koeleria,Lamiaceae,Leontodon,Oreochloa,Oxytropis,Plantago,Pritzelago alpina,Saponaria caespitosa,Saxifraga 1,unk-folded leaf,Agrostis,Alchemilla,Arenaria,Gentiana 3 (pointed leaves),Linaria,Poa,Potentilla,Saxifraga 2,Sedum,Stellaria,Taraxicum,Teucrium,dataset code
"Benasque 2","Silene_acaulis",80,"cushion",18,10,,5,,,"",,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",81,"cushion",25,20,,,,3,"",,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",82,"cushion",25,25,,,,,"",,,,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,,74
"Benasque 2","Silene_acaulis",83,"cushion",15,10,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",5,"open",22,16,1,13,,,"",,,,,,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",6,"open",15,21,,10,,,"",,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",7,"open",45,60,4,58,,,"",,,1,,,,,,,,15,,1,,,,3,1,,,,,,,,1,,,,,,,,,,74
"Benasque 2","Silene_acaulis",8,"open",43,35,1,14,,,"",,,,,,,,,,,4,,,,,,,,,1,1,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",9,"open",36,30,,4,,,"",,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",10,"open",21,24,,9,,,"",,,,,,1,,,,,3,,,,,,,,,,,2,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",11,"open",30,30,,4,,,"",,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",13,"open",27,31,,13,,,"",,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",17,"open",41,38,6,22,,,"",,,,,,,,,,,10,2,,,,,3,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",18,"open",32,29,0,15,,,"",,,,,,,,,,,7,,,,,,0,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",19,"open",13,9,0,7,,,"",,,,4,,,,,,,3,,,,,,0,,,,,,,,,1,,,,,,,,,,74
"Benasque 2","Silene_acaulis",20,"open",20,8,0,0,,,"",,,,,,,,,,,3,,,,,,0,,,,,,,,,,,,2,,,,,,,74
"Benasque 2","Silene_acaulis",21,"open",16,4,0,5,,,"",,,,,,,,,,,6,,,,,,0,,,,,,,,,,,,1,,,,,,,74
"Benasque 2","Silene_acaulis",22,"open",30,15,2,19,,,"",,,,4,,,,,,,8,,,,,,0,,,,,,,,,,,,,7,,,,,,74
"Benasque 2","Silene_acaulis",24,"open",25,18,0,11,,,"",,,,,1,,,,,,6,,,,,,0,,2,,,2,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",25,"open",35,16,0,30,,,"",,,,,,,6,,,,18,,,,,,0,2,,,,2,,,,,,,3,,,,,,,74
"Benasque 2","Silene_acaulis",29,"open",31,27,,,,,"",,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",30,"open",15,8,,,,,"",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,74
"Benasque 2","Silene_acaulis",31,"open",40,37,,8,,,"",,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,74
"Benasque 2","Silene_acaulis",32,"open",24,16,1,23,,,"",,,,1,,,,,,,7,,,,,,,,,,,,,,,1,,,,,,,,,,74
"Benasque 2","Silene_acaulis",33,"open",39,27,3,30,,,"",,,,10,,,,,,,15,,,,,,,20,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",34,"open",21,15,,0,,,"",,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",36,"open",22,15,,26,,,"",,,,,,1,,,,,10,,,,,,,,,,,,,,,,,,2,,,,,,,74
"Benasque 2","Silene_acaulis",41,"open",60,45,11,8,,,"",,,2,,,,1,1,,,15,6,,,,,0,,,,,,,,,,,,10,,,,,,,74
"Benasque 2","Silene_acaulis",42,"open",50,50,4,15,,,"",,,2,,,,,,,,15,,,,1,,1,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",43,"open",30,25,1,12,,,"",,,1,,,,,,,,10,,,,,,1,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",44,"open",20,20,2,4,,,"",,,1,,,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",45,"open",70,50,2,20,,,"",,,1,2,,,,,1,,14,,,,,,,3,,,,,,,2,1,1,,,,,,,,,74
"Benasque 2","Silene_acaulis",46,"open",30,30,,2,,,"",,,,,,,,,,,5,,,,,,1,,,1,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",48,"open",16,12,,6,,,"",,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",49,"open",30,20,3,6,,,"",,,,,,,,1,,,4,,,,1,,3,,,,,1,,,,,,,,,,,,,1,74
"Benasque 2","Silene_acaulis",53,"open",20,17,,15,,,"",,,2,,,,,,,,,3,,1,,,,,,,,,,,,1,,,,,,,,,,74
"Benasque 2","Silene_acaulis",54,"open",32,23,3,24,,,"",,,2,,,,,1,,,,14,,3,,,,,,,,3,,6,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",55,"open",21,14,1,10,,,"",,,1,,,,,2,,,,1,,3,,,,5,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",56,"open",36,22,3,,,,"",,,,,,,,,,,,9,,,,,,,,,,1,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",57,"open",44,37,5,30,,,"",,,10,,,,,1,,,,16,,3,,,,,,,,5,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",58,"open",26,19,4,14,,,"",,,,,,,,,,,9,,,18,,,,,,,,2,,,,,,,,,,,,,,74
