dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Arabis,Brassicaceae,Draba,Draba red,Festuca,Poa alpina,Polygonum,Ranunculus,Saxifraga,Silene,Hutchinsia alpina,Minuartia
93,"Dolomites 4","Cerastium alpinum",91,"cushion",28,21,,,,,,6,,,,,,
93,"Dolomites 4","Cerastium alpinum",1,"open",34,30,,,,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",2,"open",31,38,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",3,"open",25,25,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",4,"open",21,11,,,,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",5,"open",22,24,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",6,"open",35,20,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",7,"open",26,27,,,,,,1,,,,,1,
93,"Dolomites 4","Cerastium alpinum",8,"open",33,24,,,1,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",9,"open",19,19,,,,,,4,,,,,1,
93,"Dolomites 4","Cerastium alpinum",10,"open",24,27,,,,,,3,,,,,,
93,"Dolomites 4","Cerastium alpinum",11,"open",27,28,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",12,"open",22,23,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",13,"open",23,20,,,2,,,1,,,,,1,
93,"Dolomites 4","Cerastium alpinum",14,"open",41,24,,,,,,1,,,1,,,
93,"Dolomites 4","Cerastium alpinum",15,"open",24,20,,,,,,,,,1,,,
93,"Dolomites 4","Cerastium alpinum",16,"open",38,33,,,,,,9,,,,,,
93,"Dolomites 4","Cerastium alpinum",17,"open",26,25,,,,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",18,"open",15,13,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",19,"open",30,28,,,,,,1,,,1,,1,
93,"Dolomites 4","Cerastium alpinum",20,"open",24,12,,,,,,4,,,,,,
93,"Dolomites 4","Cerastium alpinum",21,"open",23,26,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",22,"open",18,21,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",23,"open",14,17,,,,,,3,,,,,,
93,"Dolomites 4","Cerastium alpinum",24,"open",39,12,,,,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",26,"open",30,20,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",27,"open",21,15,,,,,,,,,1,,,
93,"Dolomites 4","Cerastium alpinum",28,"open",20,20,,,,,,7,,,,,,
93,"Dolomites 4","Cerastium alpinum",29,"open",22,23,,,1,,,4,,,1,,,
93,"Dolomites 4","Cerastium alpinum",30,"open",20,20,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",31,"open",16,12,,,,,,3,,,,,1,
93,"Dolomites 4","Cerastium alpinum",32,"open",15,18,,,,,,3,,,,,,
93,"Dolomites 4","Cerastium alpinum",33,"open",27,28,1,,,,,3,,,,,1,
93,"Dolomites 4","Cerastium alpinum",34,"open",26,21,,,,,,3,,,,,,
93,"Dolomites 4","Cerastium alpinum",35,"open",29,14,,,,,,4,,,,,,
93,"Dolomites 4","Cerastium alpinum",36,"open",26,27,,,,,,8,,,,,,
93,"Dolomites 4","Cerastium alpinum",37,"open",19,14,,,1,,,,,,,,1,
93,"Dolomites 4","Cerastium alpinum",38,"open",16,16,,,,,,1,,,,,1,
93,"Dolomites 4","Cerastium alpinum",39,"open",19,10,,,,,,,,,1,,,
93,"Dolomites 4","Cerastium alpinum",40,"open",18,19,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",41,"open",48,18,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",42,"open",22,22,,,,,,4,,,,,,
