dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Achillea,Ajuga,Androsacaea,Anthyllis,Arabis alpina,Arabis hirsuta,Arenaria,Asteracaea,Bartsia alpina,Bellis,Botrychium lunaria,Brassicacaea,Campanula,Carex curvula,Carex firma,Caryophyllacaea,Draba,Dryas octopetala,Elyna,Festuca dark,Festuca sp,Gentiana sp,Helianthemum,Leontopodium,Papaver,Pedicularis,Poa sp,Polygonum vivparum,Salix,Salix retusa,Saxifraga caesia,Saxifraga oppositifolia,Saxifraga with tooth,Sesleria,Silene acaulis,Thlaspi,Viola
91,"Dolomites 2","Silene acaulis",23,"cushion",22,11,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",23,"open",22,11,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",24,"cushion",20,20,,,,,1,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",24,"open",20,20,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",25,"cushion",26,22,,,,,3,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",25,"open",26,22,,,,,,,1,,,,,,,,,1,,,,8,,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",26,"cushion",23,21,,,,,,,,,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",26,"open",23,21,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",27,"cushion",16,12,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",27,"open",16,12,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",28,"cushion",43,38,,,,,1,,,,,,,,,,,3,,,,14,,,,,,,4,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",28,"open",43,38,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,3,,,
91,"Dolomites 2","Silene acaulis",29,"cushion",12,11,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1,,,
