dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Achillea,Ajuga,Androsacaea,Anthyllis,Arabis alpina,Arabis hirsuta,Arenaria,Asteracaea,Bartsia alpina,Bellis,Botrychium lunaria,Brassicacaea,Campanula,Carex curvula,Carex firma,Caryophyllacaea,Draba,Dryas octopetala,Elyna,Festuca dark,Festuca sp,Gentiana sp,Helianthemum,Leontopodium,Papaver,Pedicularis,Poa sp,Polygonum vivparum,Salix,Salix retusa,Saxifraga caesia,Saxifraga oppositifolia,Saxifraga with tooth,Sesleria,Silene acaulis,Thlaspi,Viola
91,"Dolomites 2","Silene acaulis",95,"cushion",14,10,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,3,,,
91,"Dolomites 2","Silene acaulis",95,"open",14,10,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",96,"cushion",30,14,,,,,,1,1,,,,,,,,6,,,,2,,,,,,,,,,,,,,,9,,,
91,"Dolomites 2","Silene acaulis",96,"open",30,14,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,1,,,
91,"Dolomites 2","Silene acaulis",97,"cushion",43,22,,,,,,,,,,,,,,,9,,,,3,,,,2,,,,,,,,,,,4,,,
91,"Dolomites 2","Silene acaulis",97,"open",43,22,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,3,,,1
91,"Dolomites 2","Silene acaulis",98,"cushion",18,13,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,2,,,,1,,,
91,"Dolomites 2","Silene acaulis",98,"open",18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
91,"Dolomites 2","Silene acaulis",99,"cushion",36,20,,2,,1,,,,,,,,,,,12,,,,,,,,6,,,,,,,2,,,,2,,,
91,"Dolomites 2","Silene acaulis",99,"open",36,20,,,,1,,,,,,,,,,,6,,,,,,,,3,,,,,,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",100,"cushion",17,13,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,2,,,
91,"Dolomites 2","Silene acaulis",100,"open",17,13,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,2,,,
