Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Saussurea gnaphalodes (Royle) Sch-Bip,Soroseris erysimoides (Hand-Mazz) Shih,Aster alpinus L,Poa poiphagorum Ber,Poa sibirica Roshev,Koeleria litwinowii Domin,Astragalus Tanguticus Batalin,Festuca ovina L,Potentilla sericea L,Leontopodium nanum(HookfetThoms)HandMazz,Draba altaica (C A Mey) Bunge,Rhodiola juparensis (Frod) SHFu,Draba oreades Schrenk var ciliolata O E Schulz,Taraxacum mongolicum Hand-Mazz,Potentilla tanacetifolia Willd,Comastoma pulmonarium(Turez) Toyohuni,Astragalus Polycladus Bur Et Franch,Pedicularis pilostachya Maxim,Erigeron eriocalyx (Ledb) Vierth
83,"Qilian Shan","Arenaria kansuensis Maxim. ",55,"cushion",20,23,20,2,9,,,,4,6,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",55,"open",20,23,3,15,,,,9,,,1,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",56,"cushion",32,21,17,,15,,1,,,,6,,,2,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",56,"open",32,21,3,,20,,,,,,3,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",57,"cushion",35,28,17,27,,,,,10,1,1,,1,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",57,"open",35,28,15,45,26,,,,,1,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",58,"cushion",31,31,,49,,,,,,4,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",58,"open",31,31,,35,,,,,,1,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",59,"cushion",42,30,39,14,4,,,,,1,4,,3,1,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",59,"open",42,30,34,38,2,,,,,4,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",60,"cushion",32,24,,47,,,,,,5,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",60,"open",32,24,,38,,,,,,,,,,,,,,,,,
