Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Androsace chamaejasme,Arenaria ciliata,Artemisia eriantha,Astragalus frigidus,Bartsia alpina,Botrychium lunaria,Campanula alpina,Campanula cochleariifolia,Campanula tatrae,Carex atrata,Carex capillaris,Carex firma,Carex fuliginosa,Carex sempervirens,Cerastium lanatum,Comastoma tenellum,Crepis jacquinii,Delphinium oxysepalum,Doronicum clusii,Draba aizoides,Draba tomentosa,Dryas octopetala,Erigeron alpinus,Erigeron uniflorus,Euphrasia salisburgensis,Euphrasia tatrae,Festuca versicolor,Galium anisophyllon,Gentianella lutescens,Hedysarum hedysaroides,Helianthemum alpestre,Helianthemum grandiflorum,Chamorchis alpina,Ligusticum mutellinoides,Lloydia serotina,Luzula spicata,Minuartia gerardii,Minuartia sedoides,Myosotis alpestris,Oxytropis campestris,Oxytropis carpatica,Oxytropis halleri,Parnassia palustris,Pedicularis oederi,Pedicularis verticillata,Persicaria bistorta,Persicaria vivipara,Phyteuma orbiculare,Poa alpina,Pseudorchis albida,Ranunculus alpestris,Ranunculus breyninus,Ranunculus pseudomontanus,Rhodiola rosea,Salix alpina,Salix herbacea,Salix reticulata,Salix retusa,Saussurea alpina,Saxifraga aizoides,Saxifraga paniculata,Scabiosa lucida,Sedum atratum,Sesleria tatrae,Silene acaulis,Thymus alpestris,Trisetum alpestre,Trisetum flavescens
100,"The Hlupy peak","Minuartia sedoides",6,"cushion",27,11,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,2,,,,,7,,
100,"The Hlupy peak","Minuartia sedoides",6,"open",27,11,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,10,,,,1,,,,,,1,,,,,,3,,,,,,,,,,,,,,6,,,,,21,,
100,"The Hlupy peak","Minuartia sedoides",7,"cushion",14,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,
100,"The Hlupy peak","Minuartia sedoides",7,"open",14,9,,,,,,,,,,,,,,,,,,,,,,,,,3,,21,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,6,,,,,,2,,
100,"The Hlupy peak","Minuartia sedoides",8,"cushion",16,12,12,,,,,,,,,,,4,,3,,,,,,,,,,,,,10,,,,,,,,3,,,,,,5,,,,,,17,,,,,,,,,,,,,20,,,,,,2,,
100,"The Hlupy peak","Minuartia sedoides",8,"open",16,12,,,,,,,,,,,,30,,,,,2,,,,,,,,,,110,,,,7,,,,,,,,,,1,,,,,,2,,,,,1,,,,,,,,,,,,,,,,
100,"The Hlupy peak","Minuartia sedoides",9,"cushion",34,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,11,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,4,,,
100,"The Hlupy peak","Minuartia sedoides",9,"open",34,16,3,,,,,,,,,,,4,,,,,,,,,,,,,,,40,,,,7,,,,3,,,,,,1,,,,2,,6,,,,,1,,,,,,,,,,,,,,,,
100,"The Hlupy peak","Minuartia sedoides",10,"cushion",22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,
100,"The Hlupy peak","Minuartia sedoides",10,"open",22,10,,8,,,,,,,,,,,,1,,,,,,,,,,,,,7,,,,12,,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,4,,,4,,,,
100,"The Hlupy peak","Minuartia sedoides",11,"cushion",12,9,14,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,4,,,,,,8,,,,,1,,,,,,,,,3,,,,,2,,
100,"The Hlupy peak","Minuartia sedoides",11,"open",12,9,,,,,,,,,,5,,,,,4,,,,,,,,,,,,21,14,,,4,,,,,,,,,,1,,2,,2,,,,,,,,,,,,,,,,,5,,,,16,,
100,"The Hlupy peak","Minuartia sedoides",12,"cushion",31,22,16,,,,,,,,,,,,,,,,,,,,,,,1,1,,12,,,,,,1,,,,,,,,1,,1,,3,,12,,,,,1,,,,,,,,,,,,1,,10,,
