"site","cushion","code","sample","cushion.open","diam1","diam2","area","Rytidiosperma setifolium","Aciphylla big","Aciphylla monroi","Anisotome flexuosa","Anisotome haastii","Blechnum pennamarina","Brachyglottis bellioides","Brachyscome sinclairii","Cardamine bilobata","Celmisia lyallii","Celmisia spectabilis","Chianochloa","Colobanthus aciculatus","Dracophyllum pronum","Dracophyllum uniflorum","Elymus rectisetus","Epilobium pycnostachyium","Gaultheria depressa","Gentiana corymbifera","Geranium sessiliflorum","Helichrysum bellidioides","Hieracium","Koeleria","Leptinella atrata","Leucopogon frazeri","Lobelia roughii","Luzula rufa","Melicytus alpinus","Ourisia caespitosa","Poa colensoi","Racometrum ptycophylla","Rumex acetosella","Schizeilema trifoliatum","Viola cunninghamii","Wahlenbergia albomarginata","moss (green)"
"Mt. Hutt","Raoulia eximia",41,90,"open",49,40,,2,,,,,,,,,,,,1,1,,,2,,,,,,,,,,,,,,,10,,,6,
"Mt. Hutt","Raoulia eximia",41,1,"cushion",43,52,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,1,"open",43,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,3,"cushion",43,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,6,"cushion",96,35,,14,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,64,
"Mt. Hutt","Raoulia eximia",41,6,"open",96,35,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,8,"cushion",123,90,,12,,1,,,,,,,,,3,,,,,,2,,,,,,,,,2,,,,1,,,,116,1
"Mt. Hutt","Raoulia eximia",41,8,"open",123,90,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Mt. Hutt","Raoulia eximia",41,10,"open",90,55,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,11,"open",160,90,,9,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,4,
"Mt. Hutt","Raoulia eximia",41,12,"cushion",60,50,,11,,,,,,,,,,,1,1,,,,,,,,,,,,,,2,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,13,"cushion",60,50,,11,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,28,
"Mt. Hutt","Raoulia eximia",41,14,"open",137,89,,12,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,15,"cushion",55,34,,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Mt. Hutt","Raoulia eximia",41,16,"cushion",44,22,,5,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,1
"Mt. Hutt","Raoulia eximia",41,17,"open",63,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,18,"cushion",51,46,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,18,"open",51,46,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,19,"cushion",45,36,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,5,,,,,,
"Mt. Hutt","Raoulia eximia",41,19,"open",45,36,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,25,"cushion",71,49,,10,,,,,,,,,,,,,,,1,,,,,,,,5,,,2,,,4,,,,,2,
"Mt. Hutt","Raoulia eximia",41,26,"cushion",107,28,,11,,,,,,,,,,,1,1,,,,,,,,,,,2,,,,,,1,,,,,,
"Mt. Hutt","Raoulia eximia",41,27,"cushion",71,37,,12,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,28,"cushion",125,88,,7,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,2,,,,,56,
"Mt. Hutt","Raoulia eximia",41,28,"open",125,88,,4,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,31,"cushion",47,41,,8,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,2
"Mt. Hutt","Raoulia eximia",41,31,"open",47,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,34,"open",53,50,,1,,,,,1,,,,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,35,"open",52,51,,3,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,36,"cushion",74,30,,6,1,1,,,,,,,,,2,,,,,,2,,,,,,7,,,,,,3,,,,,8,
"Mt. Hutt","Raoulia eximia",41,36,"open",74,30,,,,,,,,,,,,,1,,,,1,,,,,,,,5,,,,,,,,,,,,
