"site","cushion","code","sample","cushion.open","diam1","diam2","Acaena pinnatifida","Acaena splendens","Adesmia sp 1","Adesmia sp 2","Bromus setifolius","Euphorbia collina","Juncus sp","Mulinum spinosum","Olsynium frigidum","Perezia recurvata","Perezia sp","Poa sp","Senecio francisci","Senecio sp","Sisyrinchium arenarium","Tarasa humilis","Viola cotyledon","Unidentified Poaceae"
"Antuco","Oreopolus glacialis",15,55,"open",,,,,,,,,,,,,,,,1,,,,
"Antuco","Oreopolus glacialis",15,4,"cushion",,,,,,2,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,5,"cushion",,,,1,,,1,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,6,"cushion",,,,,,1,4,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,7,"cushion",,,,,,,2,,,,,,,,,1,1,,,
"Antuco","Oreopolus glacialis",15,8,"cushion",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,9,"cushion",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,10,"cushion",,,,1,,,,,,,,,,,,1,,,,
"Antuco","Oreopolus glacialis",15,11,"cushion",,,,,,,6,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,12,"cushion",,,,1,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,13,"cushion",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,14,"cushion",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,15,"cushion",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,16,"cushion",,,,,,1,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,17,"cushion",,,,,,,1,,,,,,,,,,,,2,
"Antuco","Oreopolus glacialis",15,18,"cushion",,,,,,,3,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,19,"cushion",,,,2,,,5,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,20,"cushion",,,,,,,9,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,21,"cushion",,,,,,,1,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,22,"cushion",,,,1,,1,2,,,,,,,,,5,,,,
"Antuco","Oreopolus glacialis",15,23,"cushion",,,,1,,1,2,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,24,"cushion",,,,,,,4,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,25,"cushion",,,,1,,,2,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,29,"cushion",,,,,,,1,1,,,,,,,,1,,,,
"Antuco","Oreopolus glacialis",15,30,"cushion",,,,,,,3,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,31,"cushion",,,,3,,,1,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,32,"cushion",,,,,,,1,2,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,33,"cushion",,,,1,,,3,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,34,"cushion",,,,,,,12,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,35,"cushion",,,,,,,11,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,36,"cushion",,,,,,,5,1,,,,,,,,,1,,,
"Antuco","Oreopolus glacialis",15,37,"cushion",,,,,,,4,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,38,"cushion",,,,,,,,,,,,,,,,6,,,,
"Antuco","Oreopolus glacialis",15,39,"cushion",,,,,,,9,1,,,,,,,,2,,,,
"Antuco","Oreopolus glacialis",15,40,"cushion",,,,,,,6,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,41,"cushion",,,,,,,5,,,,,,1,,1,1,,,,
"Antuco","Oreopolus glacialis",15,42,"cushion",,,,,2,,3,,,,,5,,,2,,,,,
"Antuco","Oreopolus glacialis",15,43,"cushion",,,,,,,2,,,,,,,,,2,,,,
"Antuco","Oreopolus glacialis",15,44,"cushion",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,45,"cushion",,,,,,,5,,,,,,,,4,,,,,
"Antuco","Oreopolus glacialis",15,46,"cushion",,,,,,,1,,,1,,,,,,2,,,,2
"Antuco","Oreopolus glacialis",15,47,"cushion",,,,1,,,2,,,,,,,,,12,,,,
"Antuco","Oreopolus glacialis",15,48,"cushion",,,,1,,,,2,,,,,1,,,,,,,
"Antuco","Oreopolus glacialis",15,49,"cushion",,,1,1,,,,1,,,,,1,,3,1,,1,,
"Antuco","Oreopolus glacialis",15,50,"cushion",,,,,,,,1,,,,,,,,,,2,,1
"Antuco","Oreopolus glacialis",15,52,"cushion",,,,,,,,,,,,1,,,,1,,,,
